id,name,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,climb_category,city,state
2000000,Charles River Esplanade â€” Cambridge,Run,4828.0,0.50,1.80,15.0,3.0,0,Cambridge,MA
2000001,Park crescent â€” Cambridge,Ride,3200.0,0.80,2.10,18.0,8.0,0,Cambridge,MA
2000002,Bridge climb â€” Cambridge,Ride,1500.0,4.50,7.20,60.0,12.0,1,Cambridge,MA
2000003,Reservoir flat â€” Cambridge,Ride,4800.0,0.30,1.00,12.0,6.0,0,Cambridge,MA
2000004,Porter Square to BU Bridge â€” Cambridge,Run,6437.0,0.20,1.20,14.0,3.0,0,Cambridge,MA
2000005,Old town circuit â€” Cambridge,Ride,2400.0,1.50,4.00,30.0,10.0,0,Cambridge,MA
2000006,Memorial Drive sprint — Cambridge,Run,1447.0,1.83,7.44,22.0,5.0,1,Cambridge,MA
2000007,Harvard Bridge crossing — Cambridge,Ride,3061.0,1.32,4.38,15.0,5.0,0,Cambridge,MA
2000008,Fresh Pond loop — Cambridge,Ride,6150.0,1.95,6.89,70.0,9.0,0,Cambridge,MA
2000009,Minuteman path North — Cambridge,Ride,5880.0,3.50,6.67,48.0,7.0,1,Cambridge,MA
2000010,Somerville hill repeat — Cambridge,Ride,6370.0,0.99,4.10,55.0,6.0,0,Cambridge,MA
2000011,BU Bridge to Kendall — Cambridge,Run,1982.0,3.51,3.36,24.0,14.0,1,Cambridge,MA
2000012,Cambridge Common circuit — Cambridge,Run,4050.0,2.83,4.89,16.0,10.0,0,Cambridge,MA
2000013,Alewife greenway — Cambridge,Ride,4984.0,2.71,5.68,55.0,7.0,1,Cambridge,MA
2000014,Mystic River flat — Cambridge,Run,4398.0,0.51,5.43,58.0,6.0,0,Cambridge,MA
2000015,Danehy Park loop — Cambridge,Run,1650.0,0.18,4.01,67.0,11.0,0,Cambridge,MA
2000016,Longfellow Bridge climb — Cambridge,Ride,4548.0,2.35,6.63,49.0,9.0,0,Cambridge,MA
2000017,Beacon Hill ascent — Cambridge,Run,2128.0,1.18,5.13,57.0,6.0,1,Cambridge,MA
2000018,Esplanade east — Cambridge,Run,4344.0,2.95,7.95,64.0,9.0,0,Cambridge,MA
2000019,Cambridgeport dash — Cambridge,Ride,5322.0,2.62,4.54,49.0,7.0,0,Cambridge,MA
2000020,North Point sprint — Cambridge,Run,4838.0,0.59,2.90,67.0,12.0,1,Cambridge,MA
