id,key,name,type,status,description
cfsp_chandler,CHANDLER,Chandler Electric Projects,global,current,"Job-spec, as-builts, permit docs"
cfsp_wpb,WPB,Walker's Point Builders - Harborview,global,current,Joint space with GC Walker's Point Builders
SPOK2B,Space gv99,global,desc 20c87fghzv,,zat7 0f0v6q
SPUTO2,Space l17c,global,desc fdkonmpzom,,7qg0 6a19qu
SPV3WU,Space vhyf,global,desc dvybwjyxjf,,h8gv v6s6gi
SPY6G4,Space dl4c,global,desc ylj6e89b6p,,i47q g1b9db
SPXFTO,Space 0tld,global,desc i3clqurrvu,,vztj hjppf8
SPSEEH,Space x4hz,global,desc zzfxx1b2j7,,79pl 0o2659
SPHQSS,Space u56e,global,desc 6yvyr6cqch,,xhyi j4ejmn
SPBJES,Space li8n,global,desc qsr3iynj8w,,t6j3 lgx17k
SPQF9V,Space d9wi,global,desc uj00n63aut,,r6mp rzf18w
SPPPRA,Space n37l,global,desc htjvnhugel,,bx8q h5u9t4
SP2XI0,Space 0plz,global,desc dfmupu6cno,,fvz7 hty9if
SPYKG3,Space jugv,global,desc ztfatx53cc,,h95o p45fm3
SP013X,Space pwv9,global,desc ysk8wgksbx,,vqza b0vwcc
SPYDPZ,Space 0zp8,global,desc fdeor9is1w,,s5as 0v7d8w
SPPKSS,Space gzen,global,desc t1rql38m1d,,6ixp 54ndlb
SPF1DL,Space dtie,global,desc 2c0wc9o0rs,,whys mzlmp4
SPAN9N,Space vgvc,global,desc zq22xrp7ks,,ryvd 9ry0ql
SPB4PP,Space i4am,global,desc skj585hfih,,6t21 a92ioj
SP9BHK,Space uig4,global,desc phrmhg0cro,,4sij f21cvp
SPUGZR,Space i3co,global,desc 8rqvt9h29y,,nlxf 83u6vy
SPJW6W,Space jhem,global,desc gihisied37,,qfc9 c4hhwl
SP4JDW,Space ybar,global,desc 8n6vhm7yr6,,e6gy g5sfnv
SPQLCX,Space gfkc,global,desc ipzp6bmavb,,95i9 6kzkel
SP9FHO,Space wens,global,desc si0o3euwoa,,ivwl zf57qd
SP4B9W,Space fyoi,global,desc irni8re20q,,vy66 6g7f0t
SPN1SE,Space ah18,global,desc 3afewkhcd1,,9za1 1zj9kj
SPNZ56,Space 0857,global,desc pudftldd59,,j58q x4b4du
SPG4UT,Space 86z9,global,desc lqgg95zrr4,,50pz na8fl7
SP7ZP2,Space zw6m,global,desc at0d5z5fc2,,9fjn fi5kyl
SP4JGS,Space bx9n,global,desc sc70glc8zl,,llq0 oe1b04
SPW22S,Space ufwh,global,desc p3307qzfd8,,zbn6 l205pi
SP9BU6,Space zer2,global,desc 8gcvn28gab,,8b2n us6wg2
SPZ1ID,Space 3vsl,global,desc wi6zrbqu3c,,0klt tvzq68
SP50NL,Space tveq,global,desc pqjwqgmat7,,ffog 8wab8l
SP95O8,Space sybx,global,desc b2uiyrbdya,,qzdq ygnfc0
SP2Z6R,Space lr2z,global,desc v8ctvaaet1,,amt8 6ayj2i
SP7PL6,Space 8ezg,global,desc y4565mgcb6,,ds6y yl7ki8
SPA6K9,Space acf4,global,desc 3uieyzy4z0,,s3it 6ml8gf
SPYEH0,Space hlq7,global,desc bpbjqxgioj,,b1qd e6466p
SP0WP5,Space oyvf,global,desc m4nk77q0zb,,pywh 9b77nm
SPAA42,Space nt01,global,desc a43kc6zuyo,,cc08 zsmr06
SPUXJV,Space 1ghs,global,desc zzkfyf63xt,,jlc1 vbyl14
SPMWMU,Space u5aj,global,desc dveurvwzjx,,d8dg h1iwaz
SPNYEO,Space 71yr,global,desc uhyuwi9y81,,n1ae tvqtzd
SPG0I7,Space aotx,global,desc ajbi0xdbly,,pwa4 p2mkmk
SP4ACP,Space 31lw,global,desc kmx43yi95f,,ut1s 1gxng4
SPZ5HB,Space e8if,global,desc kzjfolyxrw,,xo8f 0h1xv4
SPO9PL,Space rwjz,global,desc d6kcp1oo48,,037x 48xfal
SPYE6J,Space 5y0o,global,desc 8rn541bpr0,,j3v3 j0w13t
SPQMQ7,Space yf3w,global,desc fzw8fd0g3g,,e6m3 16uo5t
SPY9DO,Space y48z,global,desc zaf1pz3sjb,,bh1c 1pjkx1
SP6ZCS,Space 1kf2,global,desc xlfx0ongga,,vsqs w0l4yk
SPB4HV,Space soio,global,desc vqxzsot804,,pluf c9xpka
SPP4KO,Space hw5i,global,desc 8xz8n6urtb,,ufr7 ws2mzw
SPO8G9,Space avol,global,desc njgj432qk1,,75be u2ezrb
SPJ150,Space y7ap,global,desc gy6awjrzj8,,zj16 x4rpwj
SPOA8W,Space fyap,global,desc fbktjicc83,,1dk3 0jp0rw
SPDA4C,Space 2g62,global,desc xzb6nu1erv,,49dn huw2ay
SPCYYG,Space svzo,global,desc p2z8luious,,8fws hogf38
SPTKZE,Space 9wh8,global,desc 0xpubesbky,,fy7s tu3qio
SPVQ8N,Space 0ekv,global,desc qn3f6b4kyp,,secg ze6pfc
SPH74D,Space a6hi,global,desc hyek2o7u3j,,abot rsopiu
SPYW10,Space 91dh,global,desc 6hjyr8yvat,,yrot 67a6h0
SP0KQO,Space xugo,global,desc m5f2tioxha,,cssl k2zzvi
SPGVQM,Space th6s,global,desc 0i76bhyfz7,,eq1z fuf4bt
SP703Z,Space uib8,global,desc 0vdqp99sfj,,gtia yds309
SPOBFN,Space pi9w,global,desc 9fb773woue,,e2gc pa9jza
SP31GD,Space e8x1,global,desc pibb698iio,,2168 nibn7j
SP2LF8,Space jca1,global,desc fp0xz5gaky,,lysr m3vbiw
SP39MG,Space 5w4j,global,desc 7cnr0eyblm,,3hm8 tc5hre
SP36RI,Space c6g6,global,desc ns3g81k1hp,,g450 wq0vrm
SPWTH1,Space d00g,global,desc a12pvynfd1,,5tg1 kvklpb
SPP6NC,Space o8qw,global,desc 1p2458rshh,,kn82 0b6rno
SPNF4U,Space wb9o,global,desc vmz10ax3dv,,xu4g kus13l
SPN9Z2,Space 47bw,global,desc 76sxa1lbc3,,z1qi hb5ff1
SP6K8N,Space fqk6,global,desc 3zk9kgssr5,,iz5g t9zse7
SPWLBP,Space jqc6,global,desc cjo30aputt,,qm0z dejq5x
SPEJ45,Space ynef,global,desc mq3fi99vmx,,ddzl mlnuj9
SPVYFH,Space p73f,global,desc sm67tf2xox,,bj3l q5iohn
SP1ZG9,Space rhjl,global,desc p8jxanlndb,,7z0q rkv5p7
SP5IBE,Space 30i0,global,desc ggw1zo0ubm,,ev4k 97r6hu
SPPZ00,Space f39k,global,desc mklx39bies,,mibu cp021n
SPNAM5,Space emwf,global,desc amj2xpv518,,sw54 fndr12
SPC0VN,Space 3l6x,global,desc xlu7z8yvil,,51kf zmvzdk
SPOIX1,Space p966,global,desc 3a3e1jzxlx,,fi3v l210il
SPWPVA,Space akgt,global,desc k5qth46vke,,gixv a2qoca
SPQ4XY,Space fchu,global,desc rwtsslnt8g,,mcgn 87w5go
SPXNYP,Space 3gt6,global,desc qv8r5vvdkk,,sb2t jvllzl
SP57E3,Space r400,global,desc 4glmb9fza7,,7fm5 jtysys
SPZHF9,Space 93g9,global,desc xqzl1cwj9x,,z3up xj0tii
SPLGM6,Space qf5x,global,desc g3eyy2rh0i,,e9v7 fn60aq
SPXDS9,Space 4tdu,global,desc hil4v53svz,,u0hs vjysic
SP7PD0,Space 2qe0,global,desc oo21saq08i,,p0ms bb54cn
SPRA0K,Space npjm,global,desc krwlbgxa9v,,kfq2 ed3kt9
SPW8YJ,Space qfhw,global,desc y6qta6c8ly,,d3nj 44vejv
SPIVDZ,Space 50sj,global,desc awygsd00cp,,qg58 jnfyay
SPOHDF,Space tbyx,global,desc 3cyr3tynqk,,tral xsf26b
SP21G0,Space 6ytz,global,desc ahujo7fj4j,,9vk1 eunoaa
SP1SJA,Space luvw,global,desc sa78z34rpf,,gwxn nenjdt
SPLAAS,Space nsrz,global,desc 0lz36lcp9s,,f5kf 1t0tfw
SPFHY2,Space l9t8,global,desc 1votvt08k4,,hryk j3vmxo
SP37FN,Space 9zzf,global,desc sro6xho7qw,,9v3y k4qy74
SPB530,Space eyfy,global,desc n1w9vtjvlj,,dtpc dr1uv9
SP03CB,Space x9ew,global,desc a4jnd0u16f,,g6p7 l0lyd9
SPL0WL,Space ggxp,global,desc i3s27krw8x,,blhd 7hziez
SP1KH0,Space 32pm,global,desc 7tfq1a72xf,,0o40 rj725g
SP2I2W,Space e36q,global,desc cgeijlb2vb,,pb5m pkhv6q
SPI6MP,Space ywgx,global,desc k199hgxzgd,,vdgr wondtd
SP4UNS,Space 7ytw,global,desc sz343jwcqj,,ngrr txg6fw
SPO2NA,Space gto1,global,desc pdl9vqeaa2,,xvk6 ylotaz
SP0ADH,Space frx9,global,desc unyl4whn0h,,ij5k aab4tb
SP3QGE,Space iwx1,global,desc reuqda3fei,,cmze cnjzzd
SP96N8,Space vih8,global,desc rv8k7b1oa5,,grd5 few553
SPI6BT,Space e3cv,global,desc d8t1n6j13g,,al46 upn8l4
SPXNKZ,Space azrg,global,desc 1ujdmcj2hd,,ul79 qsiglo
SPAPUB,Space 70vn,global,desc j9bi9dso8s,,uxgw uqvunz
SPFA86,Space 60ba,global,desc rz9r6z9oel,,4dec qd9gft
SPB8SI,Space pgur,global,desc jz4ss1mvpd,,mi7o 0q1hqi
SPNEIE,Space 6vgz,global,desc k977uhelov,,zrj9 oz0w2h
SPY88M,Space ywbs,global,desc fqk01eez33,,wca7 8hp2e2
SPJBQ6,Space rwuk,global,desc gv8qkfnnvw,,nz4s 64bb8g
SPCK4P,Space p6ge,global,desc o4hdyr7vs7,,j3vq bexrfy
SPFAKH,Space 1ia9,global,desc 3580brlqax,,5fm9 gov7if
SPWG36,Space bmuh,global,desc 96ukafbhgr,,s8ay 9cyjz5
SPJKKZ,Space z2hy,global,desc pkrv1z2nao,,bbip zwjel7
SPIE84,Space guof,global,desc muubryyp05,,1pnp q3r4ll
SPAKGH,Space 8f1i,global,desc 120pyj060e,,tqi4 lgl5gu
SPN45I,Space ped3,global,desc giqx5oghij,,0bpp 7ynpvh
SP5DT4,Space 8ik1,global,desc b1dvdnthb5,,k26t lxdu9q
SPP1L2,Space voz6,global,desc 9nldaqmo34,,tl6x u43z0f
SPWVZL,Space ddxx,global,desc vqhv4rp9x4,,d1uy l00ef1
SPUWOY,Space t8z0,global,desc xvow3jxveh,,9nlc ilmqnz
SPR19J,Space nsxa,global,desc 8akwe67q4z,,zg1g ukt4g8
SP5UEJ,Space yhg4,global,desc hlvwyd5rxi,,20b7 rmh9hq
SPDPYX,Space 0sgn,global,desc rbrpvz8ky7,,s9r9 f398vt
SPBOZX,Space gs1s,global,desc a7xfdkqm00,,meww 8lflqe
SPMHUR,Space erq7,global,desc dru0h5n9a2,,cje2 sxt5p1
SPPISQ,Space ftwj,global,desc 9kq6a7ase9,,tmqo 4lhiuu
SPOCO5,Space fkll,global,desc t9j51lt0y6,,67ky 8y092p
SP2X8O,Space 6gzt,global,desc 9vgsefiiqy,,2fhm 7xvqgm
SPYXMS,Space 6t2z,global,desc 2s316q464p,,d86j 0zcjk0
SPA990,Space na1v,global,desc d2799qg3id,,naya h3cta0
SP3VNY,Space ejol,global,desc vc68ftw8ch,,87om czdpuf
SPUM2Q,Space 1i0a,global,desc q646rspz7q,,ult3 1bg9r3
SP3YQK,Space qchj,global,desc 5s917xc8px,,u1ga 3xkqq4
SPZGHV,Space 62w2,global,desc 3h48ioerxa,,o7oc 858le4
SPJRJN,Space jw74,global,desc mytente0s9,,213m uugg21
SPYAJI,Space nrnd,global,desc l9gi52z60a,,d1oo 05euty
SPK68F,Space ozmu,global,desc czxetrh02b,,z692 4nxyqt
SP0SIF,Space 060n,global,desc 7szi2xpzja,,11zc b7yna9
SPVPVC,Space a63t,global,desc f322w14clr,,3oh8 574gf5
SPEXXX,Space 3usl,global,desc euc126buko,,luuw mm8lo2
SPJWU3,Space 4j1p,global,desc viv8d25mps,,nvyb 2x9n7y
SPLA9Y,Space 7np6,global,desc v3xnorzeqn,,bv7s x9s5up
SPH9KO,Space opia,global,desc 74wxdjiuh5,,46ny ptnexp
SPG8W0,Space gboy,global,desc ze8bp5rglz,,9j6b znqpi3
SPNT8G,Space 801u,global,desc y585n1vjys,,xwsw 0x2t4c
SPNHUT,Space p9tq,global,desc tb7c5l6t0y,,dnap dx1s50
SP2ZXY,Space lr8k,global,desc 48wd049qg7,,mfua n0jfpc
SPFXHQ,Space by24,global,desc fgbnzmhwlz,,988s t25969
SP11DM,Space yn0x,global,desc snp3bkpm62,,9wpt zwcqow
SPHEHO,Space 3bpe,global,desc 9h6kxyt38q,,hocu os6ecq
SPSN19,Space gzne,global,desc 1ts1xm07bw,,gio5 mzi565
SPTPBA,Space qwtp,global,desc fnu75ttrng,,5n8u saazi9
SPGCMY,Space ulgy,global,desc tskbl4ee1a,,ipf7 fxfo6y
SP7AQM,Space 26h6,global,desc mw1800tj7l,,5vvt 2bjlsp
SP5LQ4,Space 2pj0,global,desc 4mt4sr13a2,,4i52 4kais3
SPNVFS,Space g3xh,global,desc gkheuoyoky,,q4qa eoashb
SPG26S,Space 5nh8,global,desc wy73iq7ykj,,grgi zz6e7o
SPNOUL,Space ik9t,global,desc cpnihn179t,,7c6p h4br02
SPM8Y4,Space 5tsu,global,desc wzyirg681g,,dbc9 1pnyto
SPPCT3,Space bzyr,global,desc v18jxeuv9f,,kon4 yzh8an
SP8DTY,Space 7661,global,desc rvh2sma19c,,sdwy ae2re4
