"movie_id","person_id","credit_type","character","job","order"
"10011","30101","crew","","Cinematography","1"
"10076","30098","crew","","Sound Design","5"
"10031","30038","crew","","Sound Design","10"
"10116","30099","crew","","Art Direction","11"
"10005","30035","crew","","Producer","14"
"10075","30100","crew","","Screenplay","19"
"10036","30114","crew","","Screenplay","17"
"10117","30032","crew","","Cinematography","19"
"10005","30078","crew","","Director","1"
"10044","30146","cast","Captain Marsh","","8"
"10128","30124","cast","Professor Quinn","","20"
"10055","30003","cast","Dr. Rivera","","12"
"10062","30031","cast","Nurse Davis","","9"
"10032","30113","cast","Nurse Davis","","16"
"10062","30125","crew","","Sound Design","11"
"10077","30141","crew","","Screenplay","17"
"10131","30034","crew","","Art Direction","7"
"10038","30007","cast","Chef Romano","","17"
"10025","30099","cast","Sergeant Blake","","0"
"10017","30060","crew","","Costume Design","18"
"10146","30016","crew","","Editor","16"
"10089","30055","crew","","Sound Design","3"
"10125","30015","crew","","Cinematography","18"
"10111","30124","crew","","Art Direction","16"
"10006","30067","cast","Nurse Davis","","5"
"10108","30103","cast","Chef Romano","","11"
"10096","30124","cast","Captain Marsh","","9"
"10113","30136","cast","Chef Romano","","1"
"10038","30042","crew","","Costume Design","3"
"10100","30048","cast","Mayor Chen","","0"
"10060","30080","cast","Sergeant Blake","","15"
"10121","30052","crew","","Costume Design","20"
"10107","30032","cast","Captain Marsh","","8"
"10070","30060","crew","","Editor","16"
"10097","30114","cast","Professor Quinn","","8"
"10015","30054","crew","","Producer","4"
"10032","30114","crew","","Producer","17"
"10049","30022","cast","Nurse Davis","","7"
"10018","30015","crew","","Director","2"
"10068","30091","cast","Professor Quinn","","7"
"10143","30049","crew","","Director","11"
"10135","30004","crew","","Costume Design","19"
"10038","30117","crew","","Screenplay","6"
"10145","30032","cast","Professor Quinn","","2"
"10102","30112","crew","","Editor","17"
"10016","30006","cast","Detective Cole","","4"
"10135","30091","cast","Nurse Davis","","19"
"10111","30051","crew","","Cinematography","7"
"10052","30121","cast","Professor Quinn","","2"
"10031","30022","crew","","Screenplay","19"
"10093","30091","cast","Mayor Chen","","4"
"10032","30027","cast","Professor Quinn","","16"
"10119","30047","crew","","Screenplay","9"
"10130","30127","cast","Professor Quinn","","13"
"10076","30078","crew","","Cinematography","15"
"10009","30145","cast","Detective Cole","","13"
"10062","30004","crew","","Screenplay","14"
"10075","30054","cast","Pilot Torres","","16"
"10088","30137","crew","","Costume Design","16"
"10086","30040","crew","","Art Direction","7"
"10060","30092","crew","","Producer","11"
"10101","30047","cast","Agent Fox","","6"
"10081","30111","cast","Chef Romano","","19"
"10119","30035","cast","Nurse Davis","","7"
"10013","30129","crew","","Editor","14"
"10148","30130","crew","","Sound Design","15"
"10091","30103","cast","Professor Quinn","","18"
"10117","30072","cast","Nurse Davis","","12"
"10113","30088","cast","Agent Fox","","16"
"10098","30056","cast","Dr. Rivera","","13"
"10001","30034","crew","","Director","12"
"10006","30131","crew","","Producer","15"
"10109","30087","crew","","Screenplay","5"
"10036","30046","crew","","Producer","5"
"10053","30016","cast","Sergeant Blake","","19"
"10104","30044","crew","","Editor","16"
"10073","30042","cast","Dr. Rivera","","3"
"10008","30136","crew","","Producer","12"
"10087","30070","cast","Agent Fox","","19"
"10142","30146","cast","Dr. Rivera","","5"
"10081","30065","cast","Chef Romano","","6"
"10015","30091","cast","Dr. Rivera","","1"
"10077","30130","crew","","Art Direction","19"
"10116","30046","crew","","Costume Design","6"
"10035","30137","crew","","Cinematography","11"
"10125","30083","crew","","Producer","10"
"10087","30031","crew","","Art Direction","3"
"10022","30090","crew","","Editor","9"
"10094","30081","cast","Nurse Davis","","18"
"10031","30062","cast","Sergeant Blake","","2"
"10068","30132","crew","","Art Direction","4"
"10013","30049","crew","","Director","6"
"10006","30016","cast","Pilot Torres","","12"
"10026","30128","crew","","Costume Design","10"
"10101","30023","crew","","Editor","4"
"10078","30040","cast","Captain Marsh","","7"
"10071","30070","cast","Dr. Rivera","","5"
"10068","30021","cast","Captain Marsh","","6"
"10018","30032","cast","Chef Romano","","19"
"10064","30138","cast","Captain Marsh","","14"
"10061","30048","cast","Detective Cole","","17"
"10116","30064","cast","Detective Cole","","13"
"10007","30127","cast","Nurse Davis","","10"
"10118","30095","cast","Sergeant Blake","","20"
"10150","30019","cast","Nurse Davis","","1"
"10131","30053","crew","","Producer","17"
"10052","30049","crew","","Editor","7"
"10024","30022","crew","","Costume Design","18"
"10124","30022","crew","","Costume Design","14"
"10112","30060","cast","Mayor Chen","","9"
"10058","30063","crew","","Cinematography","12"
"10073","30126","cast","Detective Cole","","18"
"10030","30013","cast","Dr. Rivera","","4"
"10103","30032","cast","Captain Marsh","","7"
"10097","30069","crew","","Cinematography","3"
"10103","30104","crew","","Director","13"
"10034","30093","crew","","Costume Design","12"
"10109","30136","crew","","Cinematography","13"
"10109","30003","crew","","Sound Design","0"
"10118","30073","cast","Mayor Chen","","19"
"10091","30148","crew","","Editor","7"
"10094","30014","crew","","Cinematography","12"
"10130","30078","cast","Nurse Davis","","4"
"10007","30133","cast","Dr. Rivera","","19"
"10002","30054","crew","","Sound Design","16"
"10108","30117","crew","","Costume Design","6"
"10088","30099","cast","Nurse Davis","","15"
"10109","30084","cast","Professor Quinn","","4"
"10056","30039","cast","Chef Romano","","17"
"10055","30111","cast","Dr. Rivera","","5"
"10052","30118","crew","","Sound Design","18"
"10057","30028","crew","","Screenplay","8"
"10006","30023","crew","","Art Direction","11"
"10032","30043","crew","","Producer","8"
"10145","30100","cast","Detective Cole","","19"
"10097","30123","cast","Chef Romano","","9"
"10057","30132","cast","Dr. Rivera","","10"
"10062","30067","crew","","Editor","20"
"10051","30087","crew","","Sound Design","13"
"10106","30093","cast","Agent Fox","","7"
"10081","30129","crew","","Editor","9"
"10135","30110","crew","","Screenplay","12"
"10146","30142","crew","","Director","18"
"10130","30041","crew","","Screenplay","16"
"10015","30070","cast","Captain Marsh","","15"
"10069","30076","cast","Agent Fox","","7"
"10055","30008","crew","","Art Direction","5"
"10063","30096","crew","","Sound Design","19"
"10136","30003","cast","Agent Fox","","0"
"10025","30109","cast","Nurse Davis","","2"
