"id","name","overview","first_air_date","vote_average","vote_count","genre_ids","popularity","number_of_seasons","number_of_episodes"
"20001","Series Golf Foxtrot","alpha tower juliet valley bravo echo forest golf india echo","2019-09-11","7.0","14363","4|4","128.351","12","53"
"20002","Series Charlie Alpha","stone tower river mountain alpha forest echo market stone charlie","2016-05-22","7.0","16132","4|1|15","60.422","7","164"
"20003","Series Foxtrot Golf","mountain hotel delta forest market india bridge alpha hotel hotel","2022-05-06","6.1","16513","4","126.32","1","152"
"20004","Series Echo Juliet","stone valley hotel india tower golf delta market forest delta","2016-11-22","7.6","9249","15","7.484","6","128"
"20005","Series Cloud Bridge","market market cloud valley bridge market forest ocean charlie bridge","2017-07-16","7.2","5534","4|6|6","151.274","9","25"
"20006","Series Ocean Tower","golf bridge bridge river india juliet cloud tower forest foxtrot","2015-08-08","9.0","4391","14|12|8","91.872","11","99"
"20007","Series Foxtrot Golf","forest delta tower charlie market bridge stone valley valley tower","2015-10-04","5.2","14296","19|10","148.127","6","63"
"20008","Series Bridge Valley","juliet market cloud valley valley echo delta delta alpha echo","2023-03-18","9.0","3005","14|19|8","61.604","2","71"
"20009","Series River Echo","foxtrot golf hotel hotel valley bridge alpha mountain hotel cloud","2016-04-26","8.5","18893","19","31.962","10","159"
"20010","Series Bridge Market","forest bridge charlie foxtrot forest alpha forest bravo bridge ocean","2016-10-28","8.8","11295","10|8|6","71.574","6","121"
"20011","Series Alpha Foxtrot","stone alpha tower echo charlie charlie tower ocean golf forest","2021-02-17","7.3","11596","4|2","10.132","9","30"
"20012","Series Bridge Foxtrot","bridge juliet cloud foxtrot ocean bridge charlie foxtrot hotel mountain","2019-02-21","8.4","15004","19|6|15","190.814","11","28"
"20013","Series Forest Foxtrot","market stone mountain hotel india river stone market hotel echo","2017-12-30","5.4","15348","13|7","38.686","12","167"
"20014","Series India Market","foxtrot ocean valley mountain tower cloud valley forest foxtrot forest","2022-11-04","6.2","5592","1|2","84.966","6","83"
"20015","Series Bravo Bravo","foxtrot india delta juliet bridge bravo delta alpha alpha river","2016-08-14","7.7","14486","10","126.159","8","51"
"20016","Series Golf Cloud","river hotel forest forest bravo cloud foxtrot echo cloud echo","2023-02-02","7.9","6018","19","71.295","7","150"
"20017","Series Alpha Tower","river india hotel echo delta market forest river golf bravo","2018-07-16","6.8","17546","1|17","69.841","9","116"
"20018","Series Mountain Golf","charlie bravo delta forest india valley valley market foxtrot valley","2015-07-13","6.0","18256","5|1|8","46.855","1","94"
"20019","Series Market Forest","foxtrot juliet golf tower mountain forest river valley india foxtrot","2015-02-19","7.4","666","13|11","9.336","4","33"
"20020","Series Cloud India","ocean ocean alpha echo market forest bridge tower market hotel","2018-02-09","6.0","3802","18|16","179.555","7","126"
"20021","Series Tower Mountain","hotel india bravo river foxtrot hotel hotel echo bravo mountain","2019-12-29","8.1","18842","6|6|19","177.91","8","133"
"20022","Series Mountain Mountain","juliet foxtrot foxtrot golf bridge foxtrot golf stone hotel ocean","2023-02-14","7.5","6817","7|12|2","113.332","10","65"
"20023","Series India Delta","forest market river market india valley foxtrot charlie tower foxtrot","2021-06-05","7.8","13867","12|16","153.915","9","26"
"20024","Series Charlie Charlie","alpha river foxtrot river india stone river river golf juliet","2025-08-05","8.7","4043","10|8|17","75.247","8","34"
"20025","Series Market River","foxtrot juliet golf echo ocean charlie forest delta golf forest","2023-09-27","7.2","5623","6","102.763","11","24"
"20026","Series Bravo Charlie","cloud stone bravo stone alpha tower foxtrot india echo mountain","2016-07-15","8.0","19202","12","116.698","8","117"
"20027","Series Forest Golf","forest echo delta echo india hotel stone delta india india","2024-10-14","7.4","6668","1|6","77.541","3","83"
"20028","Series Foxtrot India","mountain tower forest foxtrot bridge hotel juliet juliet alpha forest","2015-01-19","8.4","16352","5","118.748","11","32"
"20029","Series Cloud River","alpha market delta alpha golf valley india forest ocean golf","2020-12-06","7.1","2557","2|6","70.901","2","48"
"20030","Series Alpha Stone","delta charlie bridge alpha charlie alpha alpha river golf alpha","2019-07-23","5.4","6305","4","27.789","5","195"
"20031","Series Mountain Mountain","market mountain alpha golf charlie mountain hotel india hotel river","2015-04-17","7.5","16602","15|10|6","15.41","3","47"
"20032","Series Stone River","valley tower foxtrot india ocean bravo alpha golf foxtrot bridge","2025-09-02","7.6","4327","5|19|6","194.162","10","74"
"20033","Series Foxtrot Cloud","hotel stone cloud india foxtrot foxtrot charlie golf cloud tower","2017-03-25","6.8","13663","12","47.856","1","102"
"20034","Series Hotel Bridge","ocean juliet tower market golf hotel tower market mountain valley","2024-02-12","5.3","16512","9","113.933","4","25"
"20035","Series Tower Mountain","alpha market cloud hotel cloud stone river bravo golf juliet","2018-05-18","8.1","14498","16|12|17","78.481","12","91"
"20036","Series India Bravo","mountain ocean bridge cloud bravo river ocean bravo juliet tower","2015-03-25","6.8","8055","12|18|5","162.835","4","198"
"20037","Series Alpha Hotel","foxtrot ocean echo charlie alpha bridge hotel stone foxtrot charlie","2022-06-16","5.5","18111","15","141.723","6","125"
"20038","Series Valley India","juliet stone river echo stone india foxtrot ocean juliet juliet","2021-04-08","8.6","11054","16|3|11","72.45","7","107"
"20039","Series Hotel Bridge","golf foxtrot forest valley market india tower bravo bridge delta","2024-05-10","8.8","11069","10|15|3","176.679","11","66"
"20040","Series Stone Juliet","juliet hotel forest mountain tower river mountain stone hotel hotel","2021-04-26","8.3","17398","17|8|4","115.803","7","101"
"20041","Series Charlie River","mountain delta charlie market echo mountain golf ocean echo ocean","2016-07-16","5.8","15885","13|2","49.18","4","116"
"20042","Series Echo Golf","forest juliet stone charlie juliet cloud ocean cloud alpha charlie","2024-06-08","5.4","12091","3","123.988","6","34"
"20043","Series Echo Forest","foxtrot bravo mountain cloud river foxtrot bravo bravo market echo","2015-03-20","7.7","11275","17|2","40.52","6","138"
"20044","Series Bravo Delta","market india india echo foxtrot india alpha juliet river river","2016-04-23","5.9","13174","5","154.84","11","158"
"20045","Series Market Valley","bridge valley alpha echo india echo charlie hotel valley cloud","2016-06-11","8.3","18794","2","92.708","9","143"
"20046","Series Market Valley","india delta foxtrot ocean juliet bravo india foxtrot foxtrot mountain","2017-11-10","7.1","9573","9|6|9","50.208","10","158"
"20047","Series Tower India","alpha river delta market foxtrot mountain india juliet river tower","2017-01-20","5.3","9862","13|17|18","33.743","9","151"
"20048","Series Forest Delta","india bridge golf juliet foxtrot ocean market bridge valley charlie","2015-01-08","5.7","19166","9|2|5","45.927","5","38"
"20049","Series Echo Foxtrot","india india echo stone mountain delta tower golf bravo forest","2022-04-19","5.4","15119","15|12","162.981","4","89"
"20050","Series Golf Forest","alpha mountain market market tower tower hotel echo river delta","2015-01-15","7.2","313","2","118.761","6","124"
"20051","Series Tower Tower","bravo bridge market stone forest stone stone tower echo tower","2017-03-16","5.3","14562","2|8|16","155.679","6","135"
"20052","Series Charlie Bravo","bridge valley golf forest golf cloud echo bravo charlie forest","2018-06-09","6.1","10680","19|2","87.257","1","96"
"20053","Series River Market","alpha ocean stone tower cloud forest ocean foxtrot river delta","2018-09-27","7.2","533","3|10|7","20.78","1","62"
"20054","Series Tower Cloud","golf delta echo foxtrot stone market echo echo cloud river","2018-08-27","8.2","12310","4|6","71.352","12","31"
"20055","Series Valley Cloud","valley hotel echo stone river tower ocean echo stone india","2024-07-09","8.4","7295","1|4","13.217","3","67"
"20056","Series Market Bridge","forest delta ocean tower market charlie forest mountain delta golf","2016-10-25","7.2","9670","17|18|19","118.418","10","15"
"20057","Series Alpha River","juliet mountain mountain juliet echo ocean mountain delta forest cloud","2022-05-27","6.4","9768","15|12|5","178.237","9","98"
"20058","Series Juliet Hotel","delta river ocean cloud delta india stone alpha market bridge","2021-11-15","6.8","17501","9|13|14","72.588","1","97"
"20059","Series Bravo Stone","foxtrot mountain golf bravo cloud bravo ocean charlie juliet delta","2018-07-13","6.6","14697","1","39.778","6","167"
"20060","Series Stone Stone","hotel stone river juliet bridge alpha stone delta bridge echo","2022-04-28","7.0","10558","12|9|15","148.974","9","199"
"20061","Series Tower Bridge","tower bravo bravo bridge charlie bravo river stone stone valley","2016-08-19","7.3","3728","4|17|16","183.663","1","176"
"20062","Series Delta India","tower stone india cloud cloud golf market ocean delta delta","2020-08-21","8.2","13409","4","113.621","3","102"
"20063","Series Tower India","valley india river market ocean golf golf ocean bravo forest","2016-06-07","6.1","13926","4|6|17","160.16","3","150"
"20064","Series Stone Charlie","stone golf ocean river tower tower bridge river cloud valley","2019-08-05","8.3","3867","19|18|18","157.481","8","43"
"20065","Series Bravo Forest","stone stone echo hotel india hotel hotel forest alpha echo","2018-01-20","8.9","14407","13|5","120.332","2","34"
"20066","Series Juliet Ocean","alpha india foxtrot cloud bridge echo forest alpha ocean ocean","2022-12-01","7.2","12156","5|14|9","146.391","2","147"
"20067","Series Alpha Echo","market juliet ocean alpha valley alpha india echo golf tower","2015-09-16","8.6","7390","12|7","16.848","4","10"
"20068","Series Ocean Delta","bravo tower ocean bridge juliet golf mountain hotel stone forest","2019-07-22","6.8","19172","6|1","104.833","6","24"
"20069","Series India Bridge","charlie cloud alpha hotel stone golf juliet golf india bridge","2021-10-01","6.8","11846","6|5|16","197.996","1","63"
"20070","Series Tower Mountain","stone market hotel forest ocean valley bridge charlie tower bravo","2023-06-02","6.0","7157","18|10","42.671","7","135"
"20071","Series Valley Tower","bravo ocean foxtrot stone ocean bravo valley hotel river charlie","2016-07-01","7.3","5090","3|11","147.158","7","37"
"20072","Series Valley Charlie","cloud echo alpha golf delta juliet river juliet cloud forest","2023-08-13","6.6","8135","8","137.449","12","71"
"20073","Series Golf Golf","forest forest juliet valley valley juliet foxtrot cloud india echo","2023-03-28","7.1","14353","18|12|4","14.18","1","73"
"20074","Series Market India","tower india echo tower charlie golf alpha cloud bridge bridge","2016-06-02","5.3","14699","6|1","107.024","10","125"
"20075","Series Charlie Juliet","alpha bravo river mountain forest cloud bridge river tower golf","2018-07-08","8.6","7215","12|2|13","197.051","11","178"
"20076","Series Market Delta","delta echo golf charlie hotel stone golf bridge stone foxtrot","2017-01-09","8.6","17850","12","46.672","6","166"
"20077","Series Ocean River","alpha india india valley river river hotel delta mountain juliet","2019-02-12","8.3","9290","17|2|16","95.509","3","116"
