"id","name"
"1","Action"
"2","Adventure"
"3","Animation"
"4","Comedy"
"5","Crime"
"6","Documentary"
"7","Drama"
"8","Family"
"9","Fantasy"
"10","History"
"11","Horror"
"12","Music"
"13","Mystery"
"14","Romance"
"15","Science Fiction"
"16","TV Movie"
"17","Thriller"
"18","War"
"19","Western"
"20","Genre 20"
"21","Genre 21"
"22","Genre 22"
"23","Genre 23"
"24","Genre 24"
"25","Genre 25"
"26","Genre 26"
"27","Genre 27"
"28","Genre 28"
"29","Genre 29"
"30","Genre 30"
"31","Genre 31"
"32","Genre 32"
"33","Genre 33"
"34","Genre 34"
"35","Genre 35"
"36","Genre 36"
"37","Genre 37"
"38","Genre 38"
"39","Genre 39"
"40","Genre 40"
"41","Genre 41"
"42","Genre 42"
"43","Genre 43"
"44","Genre 44"
"45","Genre 45"
"46","Genre 46"
"47","Genre 47"
"48","Genre 48"
"49","Genre 49"
"50","Genre 50"
"51","Genre 51"
"52","Genre 52"
"53","Genre 53"
"54","Genre 54"
"55","Genre 55"
"56","Genre 56"
"57","Genre 57"
"58","Genre 58"
"59","Genre 59"
"60","Genre 60"
"61","Genre 61"
"62","Genre 62"
"63","Genre 63"
"64","Genre 64"
"65","Genre 65"
"66","Genre 66"
"67","Genre 67"
"68","Genre 68"
"69","Genre 69"
"70","Genre 70"
"71","Genre 71"
"72","Genre 72"
"73","Genre 73"
"74","Genre 74"
"75","Genre 75"
"76","Genre 76"
"77","Genre 77"
"78","Genre 78"
"79","Genre 79"
"80","Genre 80"
"81","Genre 81"
"82","Genre 82"
"83","Genre 83"
"84","Genre 84"
"85","Genre 85"
"86","Genre 86"
"87","Genre 87"
"88","Genre 88"
"89","Genre 89"
"90","Genre 90"
"91","Genre 91"
"92","Genre 92"
"93","Genre 93"
"94","Genre 94"
"95","Genre 95"
"96","Genre 96"
"97","Genre 97"
"98","Genre 98"
"99","Genre 99"
"100","Genre 100"
"101","Genre 101"
"102","Genre 102"
"103","Genre 103"
"104","Genre 104"
"105","Genre 105"
"106","Genre 106"
"107","Genre 107"
"108","Genre 108"
"109","Genre 109"
"110","Genre 110"
"111","Genre 111"
"112","Genre 112"
"113","Genre 113"
"114","Genre 114"
"115","Genre 115"
"116","Genre 116"
"117","Genre 117"
"118","Genre 118"
"119","Genre 119"
"120","Genre 120"
"121","Genre 121"
"122","Genre 122"
"123","Genre 123"
"124","Genre 124"
"125","Genre 125"
"126","Genre 126"
"127","Genre 127"
"128","Genre 128"
"129","Genre 129"
"130","Genre 130"
"131","Genre 131"
"132","Genre 132"
"133","Genre 133"
"134","Genre 134"
"135","Genre 135"
"136","Genre 136"
"137","Genre 137"
"138","Genre 138"
"139","Genre 139"
"140","Genre 140"
"141","Genre 141"
"142","Genre 142"
"143","Genre 143"
"144","Genre 144"
"145","Genre 145"
"146","Genre 146"
"147","Genre 147"
"148","Genre 148"
"149","Genre 149"
"150","Genre 150"
