Date	Account	Description	Category	Amount
2026-02-01	Crescent Checking	Rent payment Castleton Court	Housing	-1050.0
2026-02-01	Crescent HYSA	Wedding savings transfer	Savings	500.0
2026-02-03	Crescent Checking	DTE Energy	Utilities	-95.0
2026-02-05	Crescent Checking	American Honda Finance	Auto loan	-290.0
2026-02-06	Crescent Checking	Pulse Fitness	Fitness	-130.0
2026-02-10	Crescent Checking	Verizon family plan	Phone	-45.0
2026-02-13	Crescent Checking	Lakewood Family Dentistry payroll	Income	1691.86
2026-02-15	Crescent Checking	MOHELA student loan	Loan	-180.0
2026-02-18	Crescent Checking	Dearborn Market grocery	Groceries	-78.44
2026-02-21	Crescent Checking	Bloom and Petal balance hold	Wedding	-100.0
