id,name,type,messages_total,messages_unread,threads_total,threads_unread
Label_INBOX,INBOX,system,48,3,46,3
Label_SENT,SENT,system,0,0,0,0
Label_DRAFT,DRAFT,system,8,0,8,0
Label_STARRED,STARRED,system,0,0,0,0
Label_IMPORTANT,IMPORTANT,system,5,2,5,2
Label_TRASH,TRASH,system,0,0,0,0
Label_SPAM,SPAM,system,0,0,0,0
Label_SMFM_2026,SMFM_2026,user,3,1,2,1
Label_BWH_Work,BWH_Work,user,3,0,3,0
Label_HMS,HMS,user,1,0,1,0
Label_Jung-hee,Jung-hee,user,2,0,2,0
Label_Family,Family,user,8,1,8,1
Label_Finance,Finance,user,14,0,13,0
Label_KACC,KACC,user,1,1,1,1
Label_Journals,Journals,user,2,0,2,0
Label_News,News,user,2,0,2,0
Label_School,School,user,2,0,2,0
Label_Utilities,Utilities,user,3,0,3,0
Label_Certifications,Certifications,user,1,0,1,0
Label_Shopping,Shopping,user,2,0,2,0
Label_Personal,Personal,user,4,0,4,0
Label_Health,Health,user,1,0,1,0
