courseId,id,title,description,state,maxPoints,workType,topicId,creationTime,updateTime,dueDate_year,dueDate_month,dueDate_day,dueTime_hours,dueTime_minutes,alternateLink
course_nurs210,cw_pharm_midterm,Midterm Exam,Karch chapters 1 to 9. Bring ID.,PUBLISHED,100,ASSIGNMENT,topic_pharm_exams,2026-09-05T08:00:00Z,2026-10-01T09:00:00Z,2026,10,7,10,45,https://classroom.google.com/c/course_nurs210/a/cw_pharm_midterm
course_nurs205,cw_ha_practical,Practical Exam,Sim Lab 3 head to toe assessment.,PUBLISHED,100,ASSIGNMENT,topic_ha_practical,2026-09-05T08:00:00Z,2026-10-01T09:00:00Z,2026,11,13,11,0,https://classroom.google.com/c/course_nurs205/a/cw_ha_practical
course_biol210,cw_anat_final,Final Exam,Systems based comprehensive.,PUBLISHED,200,ASSIGNMENT,topic_anat_exams,2026-09-05T08:00:00Z,2026-10-01T09:00:00Z,2026,12,17,11,0,https://classroom.google.com/c/course_biol210/a/cw_anat_final
course_nurs211,cw-urs211-0236,Reading Quiz Ch1,Weekly Karch or Jarvis reading quiz Ch1,PUBLISHED,10,SHORT_ANSWER_QUESTION,topic_urs211_01,2026-08-15T09:00:00Z,2026-08-15T09:00:00Z,2026,10,11,23,59,https://classroom.google.com/c/course_nurs211/a/cw-urs211-0236
course_nurs206,cw-urs206-0248,Reading Quiz Ch1,Weekly Karch or Jarvis reading quiz Ch1,PUBLISHED,10,SHORT_ANSWER_QUESTION,topic_urs206_01,2026-08-15T09:00:00Z,2026-08-15T09:00:00Z,2026,10,11,23,59,https://classroom.google.com/c/course_nurs206/a/cw-urs206-0248
course_nurs210,cw-urs210-0200,Reading Quiz Ch1,Weekly Karch or Jarvis reading quiz Ch1,PUBLISHED,10,SHORT_ANSWER_QUESTION,topic_urs210_01,2026-08-15T09:00:00Z,2026-08-15T09:00:00Z,2026,10,11,23,59,https://classroom.google.com/c/course_nurs210/a/cw-urs210-0200
course_nurs210,cw-urs210-0201,Reading Quiz Ch2,Weekly Karch or Jarvis reading quiz Ch2,PUBLISHED,10,SHORT_ANSWER_QUESTION,topic_urs210_01,2026-08-15T09:00:00Z,2026-08-15T09:00:00Z,2026,10,17,23,59,https://classroom.google.com/c/course_nurs210/a/cw-urs210-0201
course_nurs210,cw-urs210-0202,Reading Quiz Ch3,Weekly Karch or Jarvis reading quiz Ch3,PUBLISHED,10,SHORT_ANSWER_QUESTION,topic_urs210_01,2026-08-15T09:00:00Z,2026-08-15T09:00:00Z,2026,10,23,23,59,https://classroom.google.com/c/course_nurs210/a/cw-urs210-0202
course_nurs210,cw-urs210-0203,Reading Quiz Ch4,Weekly Karch or Jarvis reading quiz Ch4,PUBLISHED,10,SHORT_ANSWER_QUESTION,topic_urs210_01,2026-08-15T09:00:00Z,2026-08-15T09:00:00Z,2026,10,29,23,59,https://classroom.google.com/c/course_nurs210/a/cw-urs210-0203
course_nurs210,cw-urs210-0204,Reading Quiz Ch5,Weekly Karch or Jarvis reading quiz Ch5,PUBLISHED,10,SHORT_ANSWER_QUESTION,topic_urs210_01,2026-08-15T09:00:00Z,2026-08-15T09:00:00Z,2026,11,4,23,59,https://classroom.google.com/c/course_nurs210/a/cw-urs210-0204
