Date	Item	Source	Cost USD
2025-04-06	Edelbrock 4-barrel carburetor rebuild kit	Summit mail order	141.20
2025-05-18	Front disc brake conversion bracket set	swap meet	95.00
2025-07-11	Chrome bumper, rear, refinished	Woodward swap meet	260.00
2025-08-23	SS-style 14in steering wheel	online classified	180.00
2025-10-02	Bucket seat foam and covers, pair	upholstery shop	420.00
2025-11-15	Cowl induction hood weatherstrip	parts store	38.75
2026-01-09	Holley fuel pump, mechanical	Firdale Parts	64.99
2026-02-14	Powder-coat valve covers	local shop	110.00
		Total spent to date	1309.94
		Current build fund (Chevelle)	3200.00
		Fund goal before paint and body	11200.00
		Remaining to goal	8000.00
