Date_Saved	Source	Article_Title	Category	Personal_Notes
2025-10-03	Detroit Free Press	Livernois Corridor Sees New Investment as Three Storefronts Open This Fall	Local Business	Good context for the McNichols pitch deck
2025-10-11	Detroit Free Press	Pistons Open Season with Win Over Pacers Behind Strong Bench Play	Sports	
2025-10-18	La Opinion	Comunidad mexicana en Detroit celebra el Dia de los Muertos con festival en Southwest	Community	Tasha wants to take Sofia next year
2025-11-02	Detroit Free Press	Small Business Saturday Brings Record Foot Traffic to Detroit Corridors	Local Business	Share with the barber owners meetup group
2025-11-14	Detroit Free Press	Michigan Barber Licensing Board Proposes Updated Apprenticeship Requirements for 2027	Industry	Forward to Darius, affects Ty's timeline
2025-11-22	La Opinion	Detroit entre las ciudades con mayor crecimiento de negocios latinos en 2025	Local Business	Good data for the McNichols pitch deck
2025-12-01	Detroit Free Press	Lions Clinch NFC North Title with Dominant Performance Against Bears	Sports	Shared the highlight clip with Darius
2025-12-09	Detroit Free Press	Grant Program Opens for Detroit Small Businesses in Underserved Corridors	Finance	Deadline February 15, look into this for McNichols
2025-12-18	Detroit Free Press	Community Barbershops Lead Holiday Giving on Livernois and McNichols	Community	They mentioned Sharp Line Cuts in the roundup
2026-01-04	La Opinion	Recetas de temporada: tamales, pozole y rosca de reyes para las fiestas	Food	Sent to Lorraine, she already makes better pozole
2026-01-12	Detroit Free Press	Crestview Elementary Hosts Winter Reading Challenge for First and Second Graders	Education	Sofia's school, she is already ahead on the reading list
2026-01-20	Detroit Free Press	New Detroit Restaurant Brings Oaxacan Cuisine to the Livernois Corridor	Food	Try with Tasha for date night
2026-02-03	La Opinion	Negocios hispanos en Michigan: como acceder a prestamos del SBA en 2026	Finance	Could be relevant for the second location loan
2026-02-14	Detroit Free Press	Pistons Trade Deadline Moves Signal Rebuild Entering Final Phase	Sports	
2026-02-22	Detroit Free Press	Russell Woods Homeowners Push for Historic District Designation	Local	Our neighborhood, Tasha and I should attend the meeting
