Community Outreach Event Log - Pacific Reef Research Institute
Angela Marie Peterson - PRRI-2021-047
Grant CCF-2023-HI-0047

Event Date	Event Name	Location	Format	Lead Staff	Partner Organizations	Registered	Attended	Survey Completed	Positive Rating Pct	Newsletter Signups	Notes
2024-04-20	Ocean Discovery Day Spring 2024	Waikiki Aquarium	Public open house; GoPro reef footage; coral ID; Q and A	Peterson; Reyes	Waikiki Aquarium	Open	194	138	93%	18	First event in new expanded format; aquarium donated AV setup
2024-06-15	Reef Walk Hanauma Bay	Hanauma Bay Nature Preserve	Guided reef walk; snorkel orientation; interpretive signage	Peterson	Hanauma Bay staff	Open	82	Informal only	n/a	7	Hot day; turnout strong; informal feedback very positive
2024-09-14	Marine Science Day at Iolani Palace Grounds	Honolulu Downtown	Table at community science fair; specimens; brochures	Reyes only; Peterson field	Malama Learning Center; Bishop Museum	Open	approx 200 at PRRI table	n/a	n/a	22	Science fair format; PRRI table busy; estimated contacts only; fair total approx 1420
2024-11-09	Ocean Discovery Day Fall 2024	Waikiki Aquarium	Same format as spring; added bleaching awareness segment	Peterson; Reyes	Waikiki Aquarium	Open	168	112	91%	14	Attendance up slightly from spring; bleaching segment well received
2024-12-07	Holiday Beach Walk and Cleanup	Kaimana Beach	Informal beach clean and reef talk; casual format	Peterson	Surfrider Foundation HI	Open	47	None	n/a	4	Casual December event; small group; high engagement
2025-04-19	Ocean Discovery Day Spring 2025	Waikiki Aquarium	Public open house; GoPro reef footage; coral ID; Q and A	Peterson; Reyes	Waikiki Aquarium	Open	208	142	91%	16	Best spring turnout to date
2025-06-07	Hanauma Bay Community Reef Walk	Hanauma Bay Nature Preserve	Guided reef walk and snorkel orientation	Peterson	Hanauma Bay staff	Open	94	Informal only	n/a	12	Survey waived; informal feedback very positive; 12 newsletter signups
2025-08-22	Marine Science Career Panel	Kaimuki High School	Panel of three scientists; Q and A; career focus	Peterson plus 2 PRRI colleagues	Kaimuki High School	34	34	34	85%	0	Student audience; 29 of 34 increased career interest reported
2025-11-08	Ocean Discovery Day Fall 2025	Waikiki Aquarium	Same format; Phase III Station C awareness added	Peterson; Reyes	Waikiki Aquarium	Open	182	134	94%	21	Station C content resonated; highest positive rating of year
2025-12-02	Reef Curriculum Workshop - Educators	Kaimana Elementary School	Half-day educator workshop; curriculum materials	Peterson	Kaimana Elementary	14	14	14	100%	3	All excellent ratings; 3 schools requested spring visits
2025-12-20	Waikiki Reef Sunrise Walk	Waikiki Beach	Large-format walk and cleanup; Peterson gave 10-min remarks	Surfrider Foundation HI lead; Peterson co-presenter	Surfrider HI; Hawaii Wildlife Fund	Open	752	None from PRRI	n/a	40	Largest event by attendance; PRRI table staffed by Jade Reyes
2026-02-21	Community Reef Walk Post-Alert	Hanauma Bay Nature Preserve	Reef walk; Station C bleaching alert context provided	Peterson	Hanauma Bay staff	Open	163	Informal only	n/a	28	Alert-aware framing; community very engaged; 28 new newsletter signups
