id,parent_page_id,parent_block_id,author_id,text,created_time,resolved
cmt_300,page_note_200,,user_anita,Compare with prior chapter.,2025-07-01T00:00:00,false
cmt_301,page_note_201,,user_anita,Add to the reading roundup.,2025-07-02T00:00:00,false
cmt_302,page_note_202,,user_anita,Nice point.,2025-07-03T00:00:00,false
cmt_303,page_note_203,,user_anita,Add to the reading roundup.,2025-07-04T00:00:00,false
cmt_304,page_note_204,,user_anita,Add to the reading roundup.,2025-07-05T00:00:00,false
cmt_305,page_note_205,,user_anita,Nice point.,2025-07-06T00:00:00,true
cmt_306,page_note_206,,user_anita,Add to the reading roundup.,2025-07-07T00:00:00,false
cmt_307,page_note_207,,user_anita,Add to the reading roundup.,2025-07-08T00:00:00,false
cmt_308,page_note_208,,user_anita,Compare with prior chapter.,2025-07-09T00:00:00,true
cmt_309,page_note_209,,user_anita,Nice point.,2025-07-10T00:00:00,false
cmt_310,page_note_210,,user_anita,Nice point.,2025-07-11T00:00:00,true
cmt_311,page_note_211,,user_anita,Revisit this later.,2025-07-12T00:00:00,false
cmt_312,page_note_212,,user_anita,Nice point.,2025-07-13T00:00:00,false
cmt_313,page_note_213,,user_anita,Revisit this later.,2025-07-14T00:00:00,true
cmt_314,page_note_214,,user_anita,Compare with prior chapter.,2025-07-15T00:00:00,false
cmt_315,page_note_215,,user_anita,Nice point.,2025-07-16T00:00:00,false
cmt_316,page_note_216,,user_anita,Revisit this later.,2025-07-17T00:00:00,true
cmt_317,page_note_217,,user_anita,Revisit this later.,2025-07-18T00:00:00,false
cmt_318,page_note_218,,user_anita,Add to the reading roundup.,2025-07-19T00:00:00,true
cmt_319,page_note_219,,user_anita,Revisit this later.,2025-07-20T00:00:00,false
cmt_320,page_note_220,,user_anita,Add to the reading roundup.,2025-07-21T00:00:00,true
cmt_321,page_note_221,,user_anita,Nice point.,2025-07-22T00:00:00,false
cmt_322,page_note_222,,user_anita,Nice point.,2025-07-23T00:00:00,true
cmt_323,page_note_223,,user_anita,Add to the reading roundup.,2025-07-24T00:00:00,false
cmt_324,page_note_224,,user_anita,Revisit this later.,2025-07-25T00:00:00,true
cmt_325,page_note_225,,user_anita,Nice point.,2025-07-26T00:00:00,false
cmt_326,page_note_226,,user_anita,Nice point.,2025-07-27T00:00:00,true
cmt_327,page_note_227,,user_anita,Revisit this later.,2025-07-28T00:00:00,true
cmt_328,page_note_228,,user_anita,Nice point.,2025-07-29T00:00:00,false
cmt_329,page_note_229,,user_anita,Nice point.,2025-07-30T00:00:00,false
cmt_330,page_note_230,,user_anita,Revisit this later.,2025-07-31T00:00:00,false
cmt_331,page_note_231,,user_anita,Nice point.,2025-08-01T00:00:00,true
cmt_332,page_note_232,,user_anita,Revisit this later.,2025-08-02T00:00:00,true
cmt_333,page_note_233,,user_anita,Nice point.,2025-08-03T00:00:00,true
cmt_334,page_note_234,,user_anita,Revisit this later.,2025-08-04T00:00:00,false
cmt_335,page_note_235,,user_anita,Nice point.,2025-08-05T00:00:00,true
cmt_336,page_note_236,,user_anita,Revisit this later.,2025-08-06T00:00:00,true
cmt_337,page_note_237,,user_anita,Compare with prior chapter.,2025-08-07T00:00:00,true
cmt_338,page_note_238,,user_anita,Nice point.,2025-08-08T00:00:00,true
cmt_339,page_note_239,,user_anita,Revisit this later.,2025-08-09T00:00:00,true
cmt_340,page_note_240,,user_anita,Add to the reading roundup.,2025-08-10T00:00:00,false
cmt_341,page_note_241,,user_anita,Nice point.,2025-08-11T00:00:00,true
cmt_342,page_note_242,,user_anita,Revisit this later.,2025-08-12T00:00:00,true
cmt_343,page_note_243,,user_anita,Add to the reading roundup.,2025-08-13T00:00:00,false
cmt_344,page_note_244,,user_anita,Revisit this later.,2025-08-14T00:00:00,false
cmt_345,page_note_245,,user_anita,Revisit this later.,2025-08-15T00:00:00,false
cmt_346,page_note_246,,user_anita,Revisit this later.,2025-08-16T00:00:00,false
cmt_347,page_note_247,,user_anita,Compare with prior chapter.,2025-08-17T00:00:00,true
cmt_348,page_note_248,,user_anita,Nice point.,2025-08-18T00:00:00,true
cmt_349,page_note_249,,user_anita,Compare with prior chapter.,2025-08-19T00:00:00,true
cmt_350,page_note_250,,user_anita,Revisit this later.,2025-08-20T00:00:00,false
cmt_351,page_note_251,,user_anita,Revisit this later.,2025-08-21T00:00:00,false
cmt_352,page_note_252,,user_anita,Revisit this later.,2025-08-22T00:00:00,false
cmt_353,page_note_253,,user_anita,Revisit this later.,2025-08-23T00:00:00,false
cmt_354,page_note_254,,user_anita,Revisit this later.,2025-08-24T00:00:00,true
cmt_355,page_note_255,,user_anita,Add to the reading roundup.,2025-08-25T00:00:00,true
cmt_356,page_note_256,,user_anita,Revisit this later.,2025-08-26T00:00:00,true
cmt_357,page_note_257,,user_anita,Nice point.,2025-08-27T00:00:00,true
cmt_358,page_note_258,,user_anita,Add to the reading roundup.,2025-08-28T00:00:00,false
cmt_359,page_note_259,,user_anita,Compare with prior chapter.,2025-08-29T00:00:00,false
cmt_360,page_note_260,,user_anita,Compare with prior chapter.,2025-08-30T00:00:00,true
cmt_361,page_note_261,,user_anita,Revisit this later.,2025-08-31T00:00:00,false
cmt_362,page_note_262,,user_anita,Nice point.,2025-09-01T00:00:00,true
cmt_363,page_note_263,,user_anita,Compare with prior chapter.,2025-09-02T00:00:00,true
cmt_364,page_note_264,,user_anita,Revisit this later.,2025-09-03T00:00:00,true
cmt_365,page_note_265,,user_anita,Add to the reading roundup.,2025-09-04T00:00:00,false
cmt_366,page_note_266,,user_anita,Revisit this later.,2025-09-05T00:00:00,true
cmt_367,page_note_267,,user_anita,Revisit this later.,2025-09-06T00:00:00,false
cmt_368,page_note_268,,user_anita,Compare with prior chapter.,2025-09-07T00:00:00,false
cmt_369,page_note_269,,user_anita,Compare with prior chapter.,2025-09-08T00:00:00,true
cmt_370,page_note_270,,user_anita,Nice point.,2025-09-09T00:00:00,false
