id,page_id,name,prefix
lbl-1,conf-review-cycle,review,
lbl-2,conf-page-0,ceu,
lbl-3,conf-page-1,ceu,
lbl-4,conf-page-2,ceu,
lbl-5,conf-page-3,sop,
lbl-6,conf-page-4,draft,
lbl-7,conf-page-5,review,
lbl-8,conf-page-6,appeal,
lbl-9,conf-page-7,appeal,
lbl-10,conf-page-8,ceu,
lbl-11,conf-page-9,appeal,
lbl-12,conf-page-10,sop,
lbl-13,conf-page-11,sop,
lbl-14,conf-page-12,sop,
lbl-15,conf-page-13,hiring,
lbl-16,conf-page-14,sop,
lbl-17,conf-page-15,appeal,
lbl-18,conf-page-16,policy,
lbl-19,conf-page-17,review,
lbl-20,conf-page-18,sop,
lbl-21,conf-page-19,ceu,
lbl-22,conf-page-20,hiring,
lbl-23,conf-page-21,ceu,
lbl-24,conf-page-22,ceu,
lbl-25,conf-page-23,policy,
lbl-26,conf-page-24,review,
lbl-27,conf-page-25,policy,
lbl-28,conf-page-26,hiring,
lbl-29,conf-page-27,sop,
lbl-30,conf-page-28,sop,
lbl-31,conf-page-29,sop,
lbl-32,conf-page-30,appeal,
lbl-33,conf-page-31,policy,
lbl-34,conf-page-32,policy,
lbl-35,conf-page-33,draft,
lbl-36,conf-page-34,appeal,
lbl-37,conf-page-35,hiring,
lbl-38,conf-page-36,ceu,
lbl-39,conf-page-37,sop,
lbl-40,conf-page-38,ceu,
lbl-41,conf-page-39,ceu,
lbl-42,conf-page-0,policy,
lbl-43,conf-page-1,hiring,
lbl-44,conf-page-2,appeal,
lbl-45,conf-page-3,review,
lbl-46,conf-page-4,ceu,
lbl-47,conf-page-5,review,
lbl-48,conf-page-6,sop,
lbl-49,conf-page-7,policy,
lbl-50,conf-page-8,ceu,
lbl-51,conf-page-9,review,
lbl-52,conf-page-10,review,
lbl-53,conf-page-11,review,
lbl-54,conf-page-12,policy,
lbl-55,conf-page-13,draft,
lbl-56,conf-page-14,draft,
lbl-57,conf-page-15,sop,
lbl-58,conf-page-16,review,
lbl-59,conf-page-17,sop,
lbl-60,conf-page-18,ceu,
lbl-61,conf-page-19,review,
lbl-62,conf-page-20,sop,
lbl-63,conf-page-21,appeal,
lbl-64,conf-page-22,draft,
lbl-65,conf-page-23,hiring,
lbl-66,conf-page-24,appeal,
lbl-67,conf-page-25,policy,
lbl-68,conf-page-26,draft,
lbl-69,conf-page-27,review,
lbl-70,conf-page-28,policy,
lbl-71,conf-page-29,review,
lbl-72,conf-page-30,hiring,
lbl-73,conf-page-31,hiring,
lbl-74,conf-page-32,draft,
lbl-75,conf-page-33,policy,
lbl-76,conf-page-34,sop,
lbl-77,conf-page-35,policy,
lbl-78,conf-page-36,draft,
lbl-79,conf-page-37,policy,
lbl-80,conf-page-38,ceu,
lbl-81,conf-page-39,hiring,
lbl-82,conf-page-0,appeal,
lbl-83,conf-page-1,policy,
lbl-84,conf-page-2,sop,
lbl-85,conf-page-3,ceu,
lbl-86,conf-page-4,policy,
lbl-87,conf-page-5,draft,
lbl-88,conf-page-6,draft,
lbl-89,conf-page-7,policy,
lbl-90,conf-page-8,hiring,
lbl-91,conf-page-9,policy,
lbl-92,conf-page-10,draft,
lbl-93,conf-page-11,draft,
lbl-94,conf-page-12,review,
lbl-95,conf-page-13,review,
lbl-96,conf-page-14,hiring,
lbl-97,conf-page-15,hiring,
lbl-98,conf-page-16,ceu,
lbl-99,conf-page-17,sop,
lbl-100,conf-page-18,review,
lbl-101,conf-page-19,appeal,
lbl-102,conf-page-20,appeal,
lbl-103,conf-page-21,ceu,
lbl-104,conf-page-22,review,
lbl-105,conf-page-23,review,
lbl-106,conf-page-24,appeal,
lbl-107,conf-page-25,draft,
lbl-108,conf-page-26,review,
lbl-109,conf-page-27,appeal,
lbl-110,conf-page-28,draft,
