pipeline_id,pipeline_label,stage_id,stage_label,display_order,probability,closed
default,Sales Pipeline,appointmentscheduled,Appointment Scheduled,0,0.2,false
default,Sales Pipeline,qualifiedtobuy,Qualified To Buy,1,0.4,false
default,Sales Pipeline,presentationscheduled,Presentation Scheduled,2,0.6,false
default,Sales Pipeline,decisionmakerboughtin,Decision Maker Bought-In,3,0.8,false
default,Sales Pipeline,contractsent,Contract Sent,4,0.9,false
default,Sales Pipeline,closedwon,Closed Won,5,1.0,true
default,Sales Pipeline,closedlost,Closed Lost,6,0.0,true
default-e001,Sales Pipeline,appointmentscheduled-e001,Appointment Scheduled,0,0.2,false
default-e001,Sales Pipeline,qualifiedtobuy-e001,Qualified To Buy,1,0.4,false
default-e001,Sales Pipeline,presentationscheduled-e001,Presentation Scheduled,2,0.6,false
default-e001,Sales Pipeline,decisionmakerboughtin-e001,Decision Maker Bought-In,3,0.8,false
default-e001,Sales Pipeline,contractsent-e001,Contract Sent,4,0.9,false
default-e001,Sales Pipeline,closedwon-e001,Closed Won,5,1.0,true
default-e001,Sales Pipeline,closedlost-e001,Closed Lost,6,0.0,true
default-e002,Sales Pipeline,appointmentscheduled-e002,Appointment Scheduled,0,0.2,false
default-e002,Sales Pipeline,qualifiedtobuy-e002,Qualified To Buy,1,0.4,false
default-e002,Sales Pipeline,presentationscheduled-e002,Presentation Scheduled,2,0.6,false
default-e002,Sales Pipeline,decisionmakerboughtin-e002,Decision Maker Bought-In,3,0.8,false
default-e002,Sales Pipeline,contractsent-e002,Contract Sent,4,0.9,false
default-e002,Sales Pipeline,closedwon-e002,Closed Won,5,1.0,true
default-e002,Sales Pipeline,closedlost-e002,Closed Lost,6,0.0,true
default-e003,Sales Pipeline,appointmentscheduled-e003,Appointment Scheduled,0,0.2,false
default-e003,Sales Pipeline,qualifiedtobuy-e003,Qualified To Buy,1,0.4,false
default-e003,Sales Pipeline,presentationscheduled-e003,Presentation Scheduled,2,0.6,false
default-e003,Sales Pipeline,decisionmakerboughtin-e003,Decision Maker Bought-In,3,0.8,false
default-e003,Sales Pipeline,contractsent-e003,Contract Sent,4,0.9,false
default-e003,Sales Pipeline,closedwon-e003,Closed Won,5,1.0,true
default-e003,Sales Pipeline,closedlost-e003,Closed Lost,6,0.0,true
default-e004,Sales Pipeline,appointmentscheduled-e004,Appointment Scheduled,0,0.2,false
default-e004,Sales Pipeline,qualifiedtobuy-e004,Qualified To Buy,1,0.4,false
default-e004,Sales Pipeline,presentationscheduled-e004,Presentation Scheduled,2,0.6,false
default-e004,Sales Pipeline,decisionmakerboughtin-e004,Decision Maker Bought-In,3,0.8,false
default-e004,Sales Pipeline,contractsent-e004,Contract Sent,4,0.9,false
default-e004,Sales Pipeline,closedwon-e004,Closed Won,5,1.0,true
default-e004,Sales Pipeline,closedlost-e004,Closed Lost,6,0.0,true
default-e005,Sales Pipeline,appointmentscheduled-e005,Appointment Scheduled,0,0.2,false
default-e005,Sales Pipeline,qualifiedtobuy-e005,Qualified To Buy,1,0.4,false
default-e005,Sales Pipeline,presentationscheduled-e005,Presentation Scheduled,2,0.6,false
default-e005,Sales Pipeline,decisionmakerboughtin-e005,Decision Maker Bought-In,3,0.8,false
default-e005,Sales Pipeline,contractsent-e005,Contract Sent,4,0.9,false
default-e005,Sales Pipeline,closedwon-e005,Closed Won,5,1.0,true
default-e005,Sales Pipeline,closedlost-e005,Closed Lost,6,0.0,true
default-e006,Sales Pipeline,appointmentscheduled-e006,Appointment Scheduled,0,0.2,false
default-e006,Sales Pipeline,qualifiedtobuy-e006,Qualified To Buy,1,0.4,false
default-e006,Sales Pipeline,presentationscheduled-e006,Presentation Scheduled,2,0.6,false
default-e006,Sales Pipeline,decisionmakerboughtin-e006,Decision Maker Bought-In,3,0.8,false
default-e006,Sales Pipeline,contractsent-e006,Contract Sent,4,0.9,false
