id,dealname,pipeline,dealstage,amount,closedate,dealtype,associated_company,associated_contact,createdate,lastmodifieddate
401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
10401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
10402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
10403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
20401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
20402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
20403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
30401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
30402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
30403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
40401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
40402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
40403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
50401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
50402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
50403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
60401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
60402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
60403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
70401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
70402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
70403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
80401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
80402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
80403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
90401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
90402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
90403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
100401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
100402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
100403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
110401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
110402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
110403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
120401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
120402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
120403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
130401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
130402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
130403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
140401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
140402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
140403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
150401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
150402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
150403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
160401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
160402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
160403,Pelagic Logistics Pilot,default,qualifiedtobuy,45000,2026-07-01T00:00:00Z,newbusiness,303,204,2026-02-25T16:00:00Z,2026-05-10T09:00:00Z
170401,Helix Enterprise Renewal,default,closedwon,358800,2026-04-30T00:00:00Z,existingbusiness,301,202,2026-02-01T10:00:00Z,2026-04-30T12:00:00Z
170402,Lumen Pro Upgrade,default,decisionmakerboughtin,11760,2026-06-15T00:00:00Z,existingbusiness,302,203,2026-03-10T14:00:00Z,2026-05-22T11:00:00Z
