id,company_id,pay_period_start,pay_period_end,check_date,processed,gross_pay,net_pay,employee_count
gp_20260102,comp_mykonos,2026-01-02,2026-01-15,2026-01-18,true,22418.50,17200.00,28
gp_20260116,comp_mykonos,2026-01-16,2026-01-29,2026-02-01,true,22418.50,17200.00,28
gp_20260130,comp_mykonos,2026-01-30,2026-02-12,2026-02-15,true,22418.50,17200.00,28
gp_20260213,comp_mykonos,2026-02-13,2026-02-26,2026-03-01,true,22418.50,17200.00,28
gp_20260227,comp_mykonos,2026-02-27,2026-03-12,2026-03-15,true,22418.50,17200.00,28
gp_20260313,comp_mykonos,2026-03-13,2026-03-26,2026-03-29,true,22418.50,17200.00,28
gp_20260327,comp_mykonos,2026-03-27,2026-04-09,2026-04-12,true,22418.50,17200.00,28
gp_20260410,comp_mykonos,2026-04-10,2026-04-23,2026-04-26,true,22418.50,17200.00,28
gp_20260424,comp_mykonos,2026-04-24,2026-05-07,2026-05-10,true,22418.50,17200.00,28
gp_20260508,comp_mykonos,2026-05-08,2026-05-21,2026-05-24,true,22418.50,17200.00,28
gp_20260522,comp_mykonos,2026-05-22,2026-06-04,2026-06-07,true,22418.50,17200.00,28
gp_20260605,comp_mykonos,2026-06-05,2026-06-18,2026-06-21,true,22418.50,17200.00,28
gp_20260619,comp_mykonos,2026-06-19,2026-07-02,2026-07-05,true,22418.50,17200.00,28
gp_20260703,comp_mykonos,2026-07-03,2026-07-16,2026-07-19,true,22418.50,17200.00,28
gp_20260717,comp_mykonos,2026-07-17,2026-07-30,2026-08-02,true,22418.50,17200.00,28
gp_20260731,comp_mykonos,2026-07-31,2026-08-13,2026-08-16,true,22418.50,17200.00,28
gp_20260814,comp_mykonos,2026-08-14,2026-08-27,2026-08-30,true,22418.50,17200.00,28
gp_20260828,comp_mykonos,2026-08-28,2026-09-10,2026-09-13,true,22418.50,17200.00,28
gp_20260911,comp_mykonos,2026-09-11,2026-09-24,2026-09-27,true,22418.50,17200.00,28
gp_20260925,comp_mykonos,2026-09-25,2026-10-08,2026-10-11,true,22418.50,17200.00,28
gp_20261009,comp_mykonos,2026-10-09,2026-10-22,2026-10-25,true,22418.50,17200.00,28
