Date	Mileage	Service_Type	Provider	Cost	Notes	Next_Due_Date	Next_Due_Mileage
2023-10-14	312	Initial inspection and oil change	Big Sky Subaru - Missoula	89.95	Pre-delivery inspection; full synthetic 0W-20; tire pressures set; all fluids topped	2024-01-14	3812
2024-01-18	3847	Oil change - synthetic	Big Sky Subaru - Missoula	74.95	0W-20 full synthetic; filter replaced; tire rotation included; all fluids checked	2024-04-18	7347
2024-04-22	7390	Oil change - synthetic	Big Sky Subaru - Missoula	74.95	0W-20 full synthetic; filter replaced; cabin air filter replaced (dusty); tire rotation	2024-07-22	10890
2024-07-15	10611	Oil change - synthetic; tire rotation	Big Sky Subaru - Missoula	74.95	0W-20 full synthetic; inspected brakes; fronts at 7mm, rears at 8mm; all clear	2024-10-15	14111
2024-08-02	10980	Windshield replacement	Safelite AutoGlass - Missoula	0.00	Rock chip in August; covered under GEICO comprehensive; deductible waived; OEM glass	2025-02-02	N/A
2024-10-18	14203	Oil change - synthetic; tire rotation; 15K inspection	Big Sky Subaru - Missoula	129.95	Full 15,000 mile inspection; brake fluid test; battery load test; transmission fluid OK; all clear	2025-01-18	17703
2024-12-03	15881	Snow tires installed (seasonal swap)	Discount Tire - Missoula	40.00	Installed Bridgestone Blizzak WS90 set stored from last season; torque check included	2025-03-15	N/A
2025-01-22	17744	Oil change - synthetic	Big Sky Subaru - Missoula	74.95	0W-20 full synthetic; filter; tire rotation; windshield washer fluid topped	2025-04-22	21244
2025-03-18	20122	All-season tires reinstalled (seasonal swap)	Discount Tire - Missoula	40.00	Swapped back to Firestone Destination AT; torque check; stored winter set	2025-11-01	N/A
2025-04-25	21289	Oil change - synthetic; tire rotation	Big Sky Subaru - Missoula	74.95	0W-20 full synthetic; filter; brake inspection; fronts 6mm rears 7mm; all normal	2025-07-25	24789
2025-07-28	24831	Oil change - synthetic; 25K inspection	Big Sky Subaru - Missoula	149.95	Full 25,000 mile inspection; spark plugs checked OK; transmission fluid changed preventively; differential fluid checked OK	2025-10-28	28331
2025-11-05	27499	Snow tires installed (seasonal swap)	Discount Tire - Missoula	40.00	Installed Bridgestone Blizzak WS90 set; torque check; TPMS sensors all reading	2026-01-12	N/A
2025-11-10	27544	Oil change - synthetic; tire rotation	Big Sky Subaru - Missoula	74.95	0W-20 full synthetic; filter replaced; fluids all good heading into winter	2026-02-10	31044
2026-02-12	30877	Oil change - synthetic; tire rotation; 30K inspection	Big Sky Subaru - Missoula	149.95	Full 30,000 mile inspection; brake pads fronts 5mm rears 6mm; cabin filter replaced; air filter replaced; all systems good	2026-10-12	34377
