id,title,contact_id,value,currency,status,stage,owner,created_timestamp,updated_timestamp
ac-deal-9000,Alumni picnic sponsorship 2020 - Cortez plant,ac-contact-6000,250,USD,won,Closed Lost,1,2020-03-01T08:00:00-06:00,2020-08-01T08:00:00-06:00
ac-deal-9001,Alumni picnic sponsorship 2021 - Dolores plant,ac-contact-6003,275,USD,3,Closed Won,1,2021-03-01T08:00:00-06:00,2021-08-01T08:00:00-06:00
ac-deal-9002,Alumni picnic sponsorship 2022 - Mancos plant,ac-contact-6006,300,USD,won,Closed Lost,1,2022-03-01T08:00:00-06:00,2022-08-01T08:00:00-06:00
ac-deal-9003,Alumni picnic sponsorship 2023 - Cortez plant,ac-contact-6009,325,USD,3,Closed Won,1,2023-03-01T08:00:00-06:00,2023-08-01T08:00:00-06:00
ac-deal-9004,Alumni picnic sponsorship 2024 - Dolores plant,ac-contact-6012,350,USD,won,Closed Lost,1,2024-03-01T08:00:00-06:00,2024-08-01T08:00:00-06:00
ac-deal-9005,Alumni picnic sponsorship 2025 - Mancos plant,ac-contact-6015,375,USD,3,Closed Won,1,2025-03-01T08:00:00-06:00,2025-08-01T08:00:00-06:00
ac-deal-9006,Alumni picnic sponsorship 2020 - Cortez plant,ac-contact-6018,400,USD,won,Closed Lost,1,2020-03-01T08:00:00-06:00,2020-08-01T08:00:00-06:00
ac-deal-9007,Alumni picnic sponsorship 2021 - Dolores plant,ac-contact-6021,425,USD,3,Closed Won,1,2021-03-01T08:00:00-06:00,2021-08-01T08:00:00-06:00
ac-deal-9008,Alumni picnic sponsorship 2022 - Mancos plant,ac-contact-6024,450,USD,won,Closed Lost,1,2022-03-01T08:00:00-06:00,2022-08-01T08:00:00-06:00
ac-deal-9009,Alumni picnic sponsorship 2023 - Cortez plant,ac-contact-6027,475,USD,3,Closed Won,1,2023-03-01T08:00:00-06:00,2023-08-01T08:00:00-06:00
ac-deal-9010,Alumni picnic sponsorship 2024 - Dolores plant,ac-contact-6030,500,USD,won,Closed Lost,1,2024-03-01T08:00:00-06:00,2024-08-01T08:00:00-06:00
ac-deal-9011,Alumni picnic sponsorship 2025 - Mancos plant,ac-contact-6033,525,USD,3,Closed Won,1,2025-03-01T08:00:00-06:00,2025-08-01T08:00:00-06:00
