message_id,chat_id,from_id,text,date,reply_to_message_id
5001,-200500,9001,Standup in 5. Drop blockers in the thread.,1748240000,
5002,-200500,9002,Blocked on the billing migration freeze. Need sign-off.,1748240120,5001
5003,-200500,9003,Frontend tokens migration is done. No drift left.,1748240240,5001
5004,-200501,7654321098,deploy: billing-api v1.42.0 to prod succeeded in 3m12s,1748241000,
5005,-200501,7654321098,deploy: auth-api v2.18.0 to staging succeeded in 2m08s,1748241300,
5006,1001,7654321098,Your on-call shift starts tomorrow at 09:00 UTC.,1748242000,
5007,1001,9001,"Got it, thanks bot.",1748242060,5006
5008,-200502,9004,Who broke the coffee machine integration again?,1748243000,
5009,-200502,9005,"Not me this time, promise.",1748243120,5008
5010,-200500,9003,deploy: billing-api v1.42.0 to prod succeeded in 3m12s,1728198829,5001
5011,-200501,9001,deploy: auth-api v2.18.0 to staging succeeded in 2m08s,1730135226,
5012,-200501,7654321098,Who broke the coffee machine integration again?,1754916194,
5013,-200500,9002,Who broke the coffee machine integration again?,1719094753,
5014,-200501,9001,Frontend tokens migration is done. No drift left.,1747402076,5001
5015,-200502,7654321098,deploy: billing-api v1.42.0 to prod succeeded in 3m12s,1718512497,
5016,-200500,9003,deploy: auth-api v2.18.0 to staging succeeded in 2m08s,1744401101,5008
5017,-200502,9002,"Not me this time, promise.",1717357797,
5018,1001,9001,deploy: auth-api v2.18.0 to staging succeeded in 2m08s,1734323516,5001
5019,-200500,7654321098,deploy: billing-api v1.42.0 to prod succeeded in 3m12s,1751648272,
5020,-200502,7654321098,deploy: billing-api v1.42.0 to prod succeeded in 3m12s,1737517362,5001
5021,-200502,9005,deploy: billing-api v1.42.0 to prod succeeded in 3m12s,1746085738,5001
5022,-200502,9001,deploy: billing-api v1.42.0 to prod succeeded in 3m12s,1743227242,
5023,1001,7654321098,Blocked on the billing migration freeze. Need sign-off.,1726243786,
5024,1001,9001,Your on-call shift starts tomorrow at 09:00 UTC.,1741959230,
5025,-200500,9001,Frontend tokens migration is done. No drift left.,1742605054,
5026,-200500,7654321098,Frontend tokens migration is done. No drift left.,1747301210,5006
5027,-200501,7654321098,Standup in 5. Drop blockers in the thread.,1750120203,5001
5028,-200500,9003,Your on-call shift starts tomorrow at 09:00 UTC.,1750699449,
5029,-200500,9004,Blocked on the billing migration freeze. Need sign-off.,1757740008,
5030,-200502,9002,Your on-call shift starts tomorrow at 09:00 UTC.,1720355934,
5031,-200501,9001,Frontend tokens migration is done. No drift left.,1735796579,
5032,-200502,9002,"Got it, thanks bot.",1736520887,5006
5033,1001,9001,"Not me this time, promise.",1753754761,5001
5034,1001,7654321098,deploy: auth-api v2.18.0 to staging succeeded in 2m08s,1758908608,
5035,-200502,9003,deploy: auth-api v2.18.0 to staging succeeded in 2m08s,1753680036,5001
5036,-200501,7654321098,Standup in 5. Drop blockers in the thread.,1734869080,
5037,-200500,9001,"Got it, thanks bot.",1751190243,
5038,-200501,7654321098,Frontend tokens migration is done. No drift left.,1750799740,5001
5039,-200502,9005,Frontend tokens migration is done. No drift left.,1739651330,5001
5040,-200502,7654321098,deploy: billing-api v1.42.0 to prod succeeded in 3m12s,1746335811,5001
5041,1001,9001,"Got it, thanks bot.",1756887683,5006
5042,-200501,9001,deploy: auth-api v2.18.0 to staging succeeded in 2m08s,1741617708,5001
5043,1001,9002,Standup in 5. Drop blockers in the thread.,1729407152,
5044,-200501,9005,Standup in 5. Drop blockers in the thread.,1739482914,5006
5045,1001,9001,deploy: auth-api v2.18.0 to staging succeeded in 2m08s,1734716346,5008
5046,-200500,9005,deploy: billing-api v1.42.0 to prod succeeded in 3m12s,1741972986,5008
5047,-200501,7654321098,Blocked on the billing migration freeze. Need sign-off.,1754314844,
5048,-200500,7654321098,Standup in 5. Drop blockers in the thread.,1742020027,5006
5049,-200500,9003,"Not me this time, promise.",1741230882,
5050,-200500,9003,"Got it, thanks bot.",1743366632,
5051,-200500,9002,Blocked on the billing migration freeze. Need sign-off.,1750789057,5008
5052,1001,7654321098,Blocked on the billing migration freeze. Need sign-off.,1719940993,
5053,-200501,7654321098,"Not me this time, promise.",1721058945,
5054,-200500,9003,"Got it, thanks bot.",1751529656,
5055,-200501,9005,"Got it, thanks bot.",1731472949,5006
5056,-200500,7654321098,deploy: billing-api v1.42.0 to prod succeeded in 3m12s,1723318332,5008
5057,1001,7654321098,deploy: auth-api v2.18.0 to staging succeeded in 2m08s,1742587138,
5058,-200500,9001,"Got it, thanks bot.",1746994618,
5059,1001,9004,Who broke the coffee machine integration again?,1722704247,5006
5060,-200502,9001,Your on-call shift starts tomorrow at 09:00 UTC.,1759866738,
5061,1001,7654321098,"Not me this time, promise.",1731748227,
5062,-200502,7654321098,deploy: auth-api v2.18.0 to staging succeeded in 2m08s,1744441428,
5063,-200502,9005,deploy: auth-api v2.18.0 to staging succeeded in 2m08s,1721340869,
5064,-200500,9004,Frontend tokens migration is done. No drift left.,1762119676,5008
5065,1001,9001,Blocked on the billing migration freeze. Need sign-off.,1734012839,
5066,-200501,9001,Frontend tokens migration is done. No drift left.,1722657986,
5067,-200500,9004,"Got it, thanks bot.",1750494158,
5068,1001,7654321098,"Got it, thanks bot.",1743686652,
5069,-200500,7654321098,Blocked on the billing migration freeze. Need sign-off.,1743450729,
5070,-200500,9004,Blocked on the billing migration freeze. Need sign-off.,1745810982,5006
5071,1001,9005,"Not me this time, promise.",1737646364,
5072,1001,9002,Your on-call shift starts tomorrow at 09:00 UTC.,1737656684,
5073,-200501,9001,deploy: billing-api v1.42.0 to prod succeeded in 3m12s,1721022514,
5074,-200500,9001,deploy: billing-api v1.42.0 to prod succeeded in 3m12s,1719834368,5001
5075,1001,7654321098,Your on-call shift starts tomorrow at 09:00 UTC.,1737471298,
5076,-200501,9001,deploy: auth-api v2.18.0 to staging succeeded in 2m08s,1737406003,
5077,1001,9003,Standup in 5. Drop blockers in the thread.,1723445351,
5078,1001,9005,deploy: billing-api v1.42.0 to prod succeeded in 3m12s,1746319863,
5079,-200500,7654321098,"Got it, thanks bot.",1749792943,
5080,-200500,9003,"Got it, thanks bot.",1739166377,
5081,-200500,9005,Your on-call shift starts tomorrow at 09:00 UTC.,1752916413,
5082,1001,9005,deploy: auth-api v2.18.0 to staging succeeded in 2m08s,1740443549,5001
5083,-200500,7654321098,Your on-call shift starts tomorrow at 09:00 UTC.,1749141538,5001
5084,-200502,9005,Frontend tokens migration is done. No drift left.,1726985749,
5085,-200502,9004,Frontend tokens migration is done. No drift left.,1740904693,
