page_id,property_name,property_type,value
db-outreach-recon,Event,title,
db-outreach-recon,PartnerAccount,rich_text,
db-outreach-recon,GrossLogged,number,
db-outreach-recon,ReconciledTotal,number,
db-outreach-recon,Duplicates,number,
db-outreach-recon,Source,rich_text,
db-outreach-recon,Verdict,select,
pg-0,Status,title,val-0
pg-1,Status,rich_text,val-1
pg-2,Title,select,val-2
pg-3,Tags,date,val-3
pg-4,Title,title,val-4
pg-5,Tags,rich_text,val-5
pg-6,Date,select,val-6
pg-7,Tags,rich_text,val-7
pg-8,Title,rich_text,val-8
pg-9,Tags,date,val-9
pg-10,Date,date,val-10
pg-11,Tags,title,val-11
pg-12,Title,title,val-12
pg-13,Date,title,val-13
pg-14,Title,select,val-14
pg-15,Tags,date,val-15
pg-16,Date,date,val-16
pg-17,Date,date,val-17
pg-18,Owner,select,val-18
pg-19,Owner,title,val-19
pg-20,Title,title,val-20
pg-21,Status,title,val-21
pg-22,Status,title,val-22
pg-23,Date,date,val-23
pg-24,Title,date,val-24
pg-25,Status,select,val-25
pg-26,Date,title,val-26
pg-27,Status,rich_text,val-27
pg-28,Owner,title,val-28
pg-29,Owner,date,val-29
pg-30,Tags,rich_text,val-30
pg-31,Tags,select,val-31
pg-32,Title,rich_text,val-32
pg-33,Status,rich_text,val-33
pg-34,Title,title,val-34
pg-35,Status,date,val-35
pg-36,Date,date,val-36
pg-37,Title,date,val-37
pg-38,Date,title,val-38
pg-39,Owner,rich_text,val-39
pg-40,Date,rich_text,val-40
pg-41,Date,title,val-41
pg-42,Title,title,val-42
pg-43,Tags,select,val-43
pg-44,Title,select,val-44
pg-45,Owner,rich_text,val-45
pg-46,Owner,date,val-46
pg-47,Tags,rich_text,val-47
pg-48,Date,rich_text,val-48
pg-49,Status,rich_text,val-49
pg-50,Tags,title,val-50
pg-51,Title,rich_text,val-51
pg-52,Owner,title,val-52
pg-53,Tags,rich_text,val-53
pg-54,Date,title,val-54
pg-55,Date,select,val-55
pg-56,Owner,title,val-56
pg-57,Title,date,val-57
pg-58,Date,date,val-58
pg-59,Title,select,val-59
pg-60,Status,date,val-60
pg-61,Status,date,val-61
pg-62,Date,title,val-62
pg-63,Status,select,val-63
pg-64,Status,title,val-64
pg-65,Owner,date,val-65
pg-66,Tags,title,val-66
pg-67,Title,date,val-67
pg-68,Owner,rich_text,val-68
pg-69,Title,title,val-69
pg-70,Date,date,val-70
pg-71,Tags,title,val-71
pg-72,Owner,select,val-72
pg-73,Title,rich_text,val-73
pg-74,Owner,rich_text,val-74
pg-75,Title,select,val-75
pg-76,Owner,select,val-76
pg-77,Tags,date,val-77
pg-78,Status,date,val-78
pg-79,Tags,title,val-79
pg-80,Date,rich_text,val-80
pg-81,Date,title,val-81
pg-82,Title,title,val-82
pg-83,Title,rich_text,val-83
pg-84,Status,select,val-84
pg-85,Title,date,val-85
pg-86,Tags,title,val-86
pg-87,Tags,select,val-87
pg-88,Owner,date,val-88
pg-89,Title,select,val-89
pg-90,Tags,select,val-90
pg-91,Date,title,val-91
pg-92,Date,date,val-92
pg-93,Title,rich_text,val-93
pg-94,Status,rich_text,val-94
pg-95,Title,date,val-95
pg-96,Date,date,val-96
pg-97,Date,title,val-97
pg-98,Status,rich_text,val-98
pg-99,Title,title,val-99
pg-100,Title,date,val-100
pg-101,Title,rich_text,val-101
pg-102,Owner,title,val-102
