date,time,track,artist,duration_sec
2026-10-05,18:39,Two Weeks,FKA twigs,156
2026-10-11,13:39,Weightless,Marconi Union,246
2026-10-10,15:22,Re:Stacks,Bon Iver,304
2026-10-08,10:07,An Ending,Brian Eno,274
2026-10-08,22:19,Alright,Kendrick Lamar,171
2026-10-05,17:47,Re:Stacks,Bon Iver,217
2026-10-11,12:33,Alright,Kendrick Lamar,155
2026-10-09,18:09,Saturn,Sleeping at Last,289
2026-10-11,16:41,Motion,Calm Collective,173
2026-10-09,18:58,Holocene,Bon Iver,192
2026-10-11,14:34,An Ending,Brian Eno,288
2026-10-07,14:39,Two Weeks,FKA twigs,199
2026-10-11,19:47,Saturn,Sleeping at Last,208
2026-10-09,22:22,Saturn,Sleeping at Last,157
2026-10-11,15:30,Motion,Calm Collective,216
2026-10-10,18:28,Saturn,Sleeping at Last,239
2026-10-05,14:06,An Ending,Brian Eno,208
2026-10-06,17:13,Alright,Kendrick Lamar,273
2026-10-09,07:30,Breathe,Telepopmusik,317
2026-10-11,09:53,An Ending,Brian Eno,319
2026-10-08,13:30,Weightless,Marconi Union,195
2026-10-11,17:05,Night Owl,Galimatias,251
2026-10-08,09:46,Alright,Kendrick Lamar,190
2026-10-06,07:09,Re:Stacks,Bon Iver,301
