date,calories,protein_g,carbs_g,fat_g,water_cups
2026-09-01,1842,93,172,72,9
2026-09-02,1714,106,167,74,5
2026-09-03,2158,104,214,79,6
2026-09-04,2126,107,218,66,6
2026-09-05,1904,81,191,57,8
2026-09-06,1957,103,223,65,9
2026-09-07,2109,88,237,57,4
2026-09-08,2174,96,181,79,6
2026-09-09,1805,101,213,56,9
2026-09-10,1729,105,233,80,6
2026-09-11,1998,92,236,70,8
2026-09-12,2117,74,171,63,7
2026-09-13,1716,73,199,75,8
2026-09-14,2106,88,209,76,6
2026-09-15,1673,99,205,60,8
2026-09-16,1769,101,167,61,6
2026-09-17,1782,85,210,67,7
2026-09-18,1732,80,217,67,8
2026-09-19,1934,78,215,72,6
2026-09-20,2075,92,208,62,5
2026-09-21,1734,81,179,62,9
2026-09-22,1888,70,222,73,5
2026-09-23,1919,88,160,59,7
2026-09-24,2197,93,238,73,6
2026-09-25,1778,102,239,75,9
2026-09-26,1705,99,231,67,7
2026-09-27,2058,95,173,70,9
2026-09-28,2060,73,184,57,5
2026-09-29,2101,80,174,65,8
2026-09-30,1703,76,160,73,5
