date,start_time,route,distance_mi,avg_pace_min_mi,duration_min,avg_hr
2026-09-01,06:32,Cultural Trail,4.04,8:46,35.5,148
2026-09-03,06:32,Cultural Trail,3.15,9:35,30.2,131
2026-09-08,06:32,Cultural Trail,4.17,8:40,36.2,144
2026-09-10,06:32,Cultural Trail,3.69,8:42,32.1,141
2026-09-13,06:32,Cultural Trail,3.22,8:42,28.0,141
2026-09-15,06:32,Cultural Trail,3.19,9:16,29.6,158
2026-09-17,06:32,Cultural Trail,3.71,9:21,34.7,158
2026-09-20,06:32,Cultural Trail,3.2,9:18,29.8,129
2026-09-22,06:32,Cultural Trail,6.12,8:39,53.0,155
2026-09-24,06:32,Cultural Trail,3.43,9:06,31.2,145
2026-09-27,06:32,Cultural Trail,3.38,8:58,30.3,154
2026-09-29,06:32,Cultural Trail,5.18,8:43,45.2,146
