board,pin_title,category,saved_date,tag
Kitchen someday,Warm walnut open shelving,shelving,2026-08-11,materials
Kitchen someday,Unlacquered brass bridge faucet,fixtures,2026-08-11,fixtures
Kitchen someday,Zellige tile backsplash (sage),backsplash,2026-09-02,tile
Kitchen someday,Deep single-basin fireclay sink,sink,2026-09-02,fixtures
Kitchen someday,Under-cabinet warm LED strip,lighting,2026-09-15,lighting
Small-space storage,Pull-out spice drawer near range,storage,2026-09-15,storage
Small-space storage,Magnetic knife rail,storage,2026-09-20,storage
Small-space storage,Corner lazy-susan for the dal jars,storage,2026-09-20,storage
Color + mood,Muted clay + cream palette,palette,2026-10-01,color
Color + mood,Matte black hardware vs brass debate,hardware,2026-10-04,undecided
