item,category,typical_qty,unit,store,cadence,crohns_safe,last_ordered
Whole urad dal,pantry,2,lb,Saraga International,monthly,yes,2026-09-19
Basmati rice,pantry,10,lb,Saraga International,monthly,yes,2026-09-19
Canned tomato puree,pantry,4,can,Kroger,biweekly,yes,2026-10-06
Baby spinach,produce,2,bag,Kroger,weekly,yes,2026-10-09
Paneer,dairy,2,block,Saraga International,biweekly,yes,2026-10-06
Plain whole-milk yogurt,dairy,1,tub,Kroger,weekly,yes,2026-10-09
White orzo,pantry,2,box,Kroger,monthly,yes,2026-09-19
Kasuri methi,spice,1,pack,Saraga International,quarterly,yes,2026-08-30
Ginger root,produce,1,knob,Kroger,weekly,yes,2026-10-09
Low-sodium vegetable broth,pantry,4,carton,Kroger,biweekly,yes,2026-10-06
Rolled oats,pantry,1,bag,Kroger,monthly,yes,2026-09-19
Bananas,produce,1,bunch,Kroger,weekly,yes,2026-10-09
