date,title,type,minutes
2026-10-09,Panchayat,episode,25
2026-10-01,Great British Bake Off,episode,30
2026-10-08,Great British Bake Off,episode,51
2026-10-06,Panchayat,episode,58
2026-10-11,Panchayat,episode,26
2026-10-05,The Bear,episode,45
2026-10-11,Great British Bake Off,episode,51
2026-10-02,Star Trek: SNW,episode,43
2026-10-02,Chef's Table,episode,41
2026-10-04,Chef's Table,episode,30
2026-10-03,Great British Bake Off,episode,28
2026-10-11,Severance,episode,40
2026-10-11,Star Trek: SNW,episode,54
2026-10-04,Star Trek: SNW,episode,53
2026-10-08,Star Trek: SNW,episode,24
2026-10-11,Great British Bake Off,episode,55
