date,steps,distance_mi,flights_climbed,active_minutes,workout
2026-09-01,7420,3.2,6,41,
2026-09-02,11230,5.1,9,66,run
2026-09-03,6890,2.9,5,33,
2026-09-04,10980,5.0,8,64,run
2026-09-05,8110,3.5,7,38,
2026-09-06,13540,6.4,11,82,long run
2026-09-07,5230,2.1,4,22,rest
2026-09-08,7680,3.3,6,40,
2026-09-09,11010,5.0,8,63,run
2026-09-10,6450,2.7,5,31,
2026-09-11,10870,4.9,9,61,run
2026-09-12,7930,3.4,6,37,
2026-09-13,9240,4.1,7,48,walk with Sylvie
2026-09-14,4980,2.0,3,19,rest
2026-09-15,7550,3.2,6,39,
2026-09-16,11190,5.1,8,65,run
2026-09-17,6720,2.8,5,32,
2026-09-18,10920,4.9,8,62,run
2026-09-19,8040,3.5,7,41,
2026-09-20,12780,6.0,10,77,long run
2026-09-21,5110,2.1,3,20,rest
2026-09-22,7360,3.1,6,36,
2026-09-23,10990,5.0,8,63,run
2026-09-24,6580,2.7,5,30,
2026-09-25,11040,5.0,8,64,run
2026-09-26,8230,3.6,7,42,
2026-09-27,9670,4.3,7,50,walk with Sylvie
2026-09-28,5040,2.0,3,18,rest
2026-09-29,7480,3.2,6,38,
2026-09-30,11120,5.1,8,65,run
