id,name,type,messages_total,messages_unread,threads_total,threads_unread
INBOX,INBOX,system,590,22,485,18
SENT,SENT,system,245,0,200,0
DRAFT,DRAFT,system,3,0,3,0
TRASH,TRASH,system,12,0,10,0
SPAM,SPAM,system,34,0,30,0
STARRED,STARRED,system,8,0,8,0
IMPORTANT,IMPORTANT,system,45,0,40,0
UNREAD,UNREAD,system,22,22,18,18
Label_1,Medical,user,35,3,28,2
Label_2,Family,user,67,5,52,4
Label_3,Epic Work Context,user,28,2,22,1
Label_4,Finance,user,42,1,35,1
Label_5,Hobbies,user,31,2,25,2
Label_6,Kids,user,24,1,20,1
Label_7,Vietnam,user,15,1,12,1
Label_8,Medical,system,31,3,12,4
Label_9,Family,user,8,5,485,0
Label_10,UNREAD,system,245,2,485,1
Label_11,INBOX,user,12,0,52,4
Label_12,SENT,system,45,2,25,2
Label_13,Hobbies,user,28,5,22,4
Label_14,INBOX,user,24,5,30,0
Label_15,Vietnam,system,35,2,35,4
Label_16,SPAM,user,12,1,8,2
Label_17,Family,system,15,3,18,18
Label_18,IMPORTANT,system,35,5,25,2
Label_19,STARRED,user,24,22,28,18
Label_20,DRAFT,system,42,3,25,0
Label_21,UNREAD,system,45,3,200,2
Label_22,STARRED,user,15,0,35,1
Label_23,IMPORTANT,user,42,0,200,18
Label_24,Kids,user,45,1,3,18
Label_25,Kids,system,8,5,40,18
Label_26,TRASH,system,42,1,485,4
Label_27,STARRED,user,28,5,12,1
Label_28,Finance,user,3,0,20,18
Label_29,Medical,user,24,1,35,0
Label_30,IMPORTANT,system,22,2,52,18
Label_31,SENT,system,22,5,8,0
Label_32,TRASH,user,35,1,22,4
Label_33,INBOX,user,24,5,22,0
Label_34,Finance,system,22,2,35,18
Label_35,INBOX,user,34,5,52,18
Label_36,Epic Work Context,user,42,5,485,0
Label_37,Hobbies,user,34,1,25,2
Label_38,Finance,system,22,1,52,0
Label_39,DRAFT,user,28,3,485,2
Label_40,Hobbies,user,31,0,485,18
Label_41,Medical,user,42,22,20,18
Label_42,UNREAD,system,12,1,10,0
Label_43,Family,user,590,2,20,4
Label_44,UNREAD,user,8,0,22,18
Label_45,IMPORTANT,system,34,22,8,4
Label_46,IMPORTANT,user,8,0,3,0
Label_47,SENT,system,42,3,485,18
Label_48,STARRED,user,3,1,12,2
Label_49,IMPORTANT,user,42,2,18,0
Label_50,SPAM,user,22,1,30,4
Label_51,TRASH,system,15,1,485,0
Label_52,INBOX,system,31,5,18,2
Label_53,Vietnam,system,8,1,200,2
Label_54,Family,system,35,2,52,18
Label_55,IMPORTANT,system,67,1,10,18
Label_56,SENT,system,67,5,485,2
Label_57,Vietnam,system,31,2,30,2
Label_58,UNREAD,system,3,5,3,0
Label_59,Kids,system,35,5,10,0
Label_60,UNREAD,system,42,2,22,0
Label_61,INBOX,system,8,3,485,0
Label_62,Epic Work Context,system,22,1,3,0
Label_63,IMPORTANT,user,22,1,8,18
Label_64,SENT,user,34,5,200,0
Label_65,Epic Work Context,user,67,0,12,0
Label_66,Family,user,24,1,18,18
Label_67,UNREAD,user,24,0,10,1
Label_68,Kids,system,35,3,25,0
Label_69,Kids,system,590,2,10,18
Label_70,STARRED,system,42,22,10,18
Label_71,TRASH,system,35,2,485,18
Label_72,Kids,system,45,0,12,0
Label_73,UNREAD,system,590,1,22,2
Label_74,Family,system,22,3,40,0
Label_75,DRAFT,user,590,22,52,1
Label_76,Family,user,67,2,10,2
Label_77,IMPORTANT,user,34,1,18,2
Label_78,Hobbies,user,34,0,18,1
Label_79,UNREAD,user,24,5,3,4
Label_80,TRASH,system,12,3,52,1
Label_81,SENT,user,31,5,8,2
Label_82,Vietnam,user,12,0,52,1
Label_83,SPAM,system,24,3,52,1
Label_84,Family,user,3,3,12,4
Label_85,SENT,system,28,0,40,4
Label_86,Vietnam,system,8,5,22,2
Label_87,STARRED,system,590,22,22,0
Label_88,Family,system,34,3,22,1
Label_89,SPAM,user,42,22,10,4
Label_90,SPAM,user,28,2,3,0
Label_91,IMPORTANT,system,8,5,20,18
Label_92,Kids,user,24,5,18,4
Label_93,INBOX,user,34,2,8,0
Label_94,Finance,system,590,1,25,4
Label_95,DRAFT,system,12,5,35,0
Label_96,DRAFT,system,34,3,3,2
Label_97,Kids,system,34,3,485,2
Label_98,Medical,user,45,3,20,0
Label_99,Hobbies,user,45,2,8,0
Label_100,Vietnam,user,15,1,20,1
Label_101,INBOX,user,22,0,35,1
Label_102,INBOX,user,28,22,20,2
Label_103,DRAFT,user,45,0,28,18
Label_104,TRASH,user,590,22,35,1
Label_105,Hobbies,user,3,1,12,0
Label_106,UNREAD,system,3,5,18,0
Label_107,Family,system,590,1,20,0
Label_108,Epic Work Context,user,42,1,8,0
Label_109,INBOX,user,67,5,25,1
Label_110,SENT,system,12,0,30,1
Label_111,Hobbies,user,28,3,35,0
Label_112,DRAFT,system,15,0,35,1
Label_113,Vietnam,system,15,5,10,2
Label_114,UNREAD,system,590,2,22,1
Label_115,Medical,user,3,2,18,0
Label_116,SPAM,user,67,3,200,2
Label_117,UNREAD,system,24,1,20,18
Label_118,Medical,system,12,3,52,18
Label_119,Family,user,28,3,12,4
Label_120,IMPORTANT,user,28,5,3,18
Label_121,Epic Work Context,user,8,5,22,4
Label_122,Epic Work Context,system,22,0,40,0
Label_123,DRAFT,system,67,3,52,18
Label_124,Epic Work Context,user,31,1,8,0
Label_125,DRAFT,user,22,5,3,4
Label_126,Medical,user,24,22,22,18
Label_127,SENT,user,45,2,28,1
Label_128,Finance,user,35,0,200,1
Label_129,DRAFT,system,22,2,35,18
Label_130,SENT,user,24,2,22,0
Label_131,INBOX,system,3,3,200,0
Label_132,Kids,user,31,2,25,4
Label_133,SENT,user,45,1,3,1
Label_134,Epic Work Context,system,24,3,18,0
Label_135,Kids,user,12,22,30,0
Label_136,Medical,system,31,1,3,4
Label_137,Medical,system,8,0,30,18
Label_138,SENT,user,67,22,28,2
Label_139,IMPORTANT,system,22,22,8,4
Label_140,SENT,system,28,2,3,2
Label_141,INBOX,system,31,22,8,0
Label_142,SENT,system,8,5,52,4
Label_143,SPAM,system,28,3,12,4
Label_144,UNREAD,system,245,0,485,2
Label_145,SENT,system,8,0,200,0
Label_146,Medical,user,590,1,25,18
Label_147,Family,user,8,3,12,4
Label_148,Finance,user,22,0,10,18
Label_149,INBOX,system,8,22,40,18
Label_150,UNREAD,system,42,5,18,18
Label_151,Vietnam,system,245,2,20,18
Label_152,DRAFT,user,22,0,28,4
Label_153,Hobbies,user,22,22,25,1
Label_154,Vietnam,user,67,0,28,4
Label_155,SENT,system,42,22,10,4
Label_156,DRAFT,user,67,2,30,4
Label_157,IMPORTANT,system,45,3,52,18
Label_158,Finance,user,31,1,8,0
Label_159,Family,user,35,5,18,2
Label_160,SENT,user,28,1,25,1
Label_161,INBOX,user,15,0,25,1
Label_162,Finance,user,245,5,200,2
Label_163,DRAFT,user,590,2,52,0
Label_164,Family,system,28,2,20,1
Label_165,UNREAD,system,28,0,52,2
Label_166,Family,system,31,0,20,18
Label_167,UNREAD,system,67,22,3,18
Label_168,SPAM,user,8,22,200,1
Label_169,Epic Work Context,user,590,2,25,4
Label_170,Medical,system,24,0,3,1
Label_171,DRAFT,system,24,0,18,0
Label_172,SENT,system,3,3,200,4
Label_173,INBOX,system,12,0,3,18
Label_174,UNREAD,system,31,2,10,2
