Slot	Varietal	Region	Vintage	Bottles	Drink Window	Pairing Note
01	Cabernet Sauvignon	Napa Valley	2018	6	2026 to 2032	Pot roast Sunday dinner
02	Cabernet Sauvignon	Napa Valley	2019	8	2027 to 2034	Cellar, hold
03	Pinot Noir	Willamette Valley	2020	9	2026 to 2029	Salmon and roast vegetables
04	Pinot Noir	Willamette Valley	2021	7	2026 to 2030	Dinner party autumn menu
05	Sauvignon Blanc	Sonoma County	2022	10	2026 to 2027	Patio lunches and appetizers
06	Sauvignon Blanc	Sonoma County	2023	12	2026 to 2027	House white for guests
07	Chardonnay	Santa Barbara	2021	5	2026 to 2028	Roast chicken
08	Syrah	Central Coast	2019	4	2026 to 2031	Grilled lamb
09	Rose	Provence style	2023	8	2026 to 2026	Summer entertaining
10	Sparkling	Method traditionnelle	2020	6	2026 to 2030	Toasts and celebrations
11	Zinfandel	Sonoma County	2020	3	2026 to 2029	Saturday grilling nights
12	Cabernet Franc	Napa Valley	2019	2	2027 to 2032	Special occasion reserve
Total	All	All	All	80	2026 to 2034	Capacity 200 bottle cooler
