Id,Name,AccountType,AccountSubType,CurrentBalance,Active,Classification,Description
1,Checking,Bank,Checking,45000.00,true,Asset,Main checking
2,Savings,Bank,Savings,120000.00,true,Asset,Reserve fund
3,Account 3,Expense,Other,2023.35,true,Expense,Desc 3
4,Account 4,Expense,Other,2364.20,true,Expense,Desc 4
5,Account 5,Expense,Other,515.64,true,Expense,Desc 5
6,Account 6,Expense,Other,518.96,true,Expense,Desc 6
7,Account 7,Expense,Other,3662.17,true,Expense,Desc 7
8,Account 8,Expense,Other,3924.96,true,Expense,Desc 8
9,Account 9,Expense,Other,4567.73,true,Expense,Desc 9
10,Account 10,Expense,Other,2259.07,true,Expense,Desc 10
11,Account 11,Expense,Other,520.69,true,Expense,Desc 11
12,Account 12,Expense,Other,2722.83,true,Expense,Desc 12
13,Account 13,Expense,Other,32.50,true,Expense,Desc 13
14,Account 14,Expense,Other,2586.61,true,Expense,Desc 14
15,Account 15,Expense,Other,2765.84,true,Expense,Desc 15
16,Account 16,Expense,Other,1225.27,true,Expense,Desc 16
17,Account 17,Expense,Other,4453.31,true,Expense,Desc 17
18,Account 18,Expense,Other,2897.72,true,Expense,Desc 18
19,Account 19,Expense,Other,4091.45,true,Expense,Desc 19
20,Account 20,Expense,Other,2534.74,true,Expense,Desc 20
21,Account 21,Expense,Other,3496.85,true,Expense,Desc 21
22,Account 22,Expense,Other,2634.87,true,Expense,Desc 22
23,Account 23,Expense,Other,2517.44,true,Expense,Desc 23
24,Account 24,Expense,Other,902.91,true,Expense,Desc 24
25,Account 25,Expense,Other,617.36,true,Expense,Desc 25
26,Account 26,Expense,Other,2522.89,true,Expense,Desc 26
27,Account 27,Expense,Other,2135.11,true,Expense,Desc 27
28,Account 28,Expense,Other,426.75,true,Expense,Desc 28
29,Account 29,Expense,Other,1160.27,true,Expense,Desc 29
30,Account 30,Expense,Other,4163.05,true,Expense,Desc 30
31,Account 31,Expense,Other,2717.39,true,Expense,Desc 31
