date,impressions,saves,pin_clicks,outbound_clicks,profile_visits,follows
2026-03-08,41,4,3,2,1,0
2026-03-09,38,3,2,1,0,0
2026-03-10,52,5,4,2,2,0
2026-03-11,47,4,3,2,1,0
2026-03-12,60,6,4,3,2,1
2026-03-13,55,5,4,2,1,0
2026-03-14,43,3,2,1,1,0
2026-03-15,39,4,3,2,0,0
2026-03-16,58,5,4,3,2,0
2026-03-17,49,4,3,2,1,0
2026-03-18,62,6,5,3,2,1
2026-03-19,44,3,2,1,1,0
2026-03-20,40,4,3,2,0,0
2026-03-21,53,5,4,2,2,0
2026-03-22,57,5,4,3,1,1
2026-03-23,48,4,3,2,1,0
2026-03-24,51,4,3,2,1,0
2026-03-25,64,6,5,3,2,1
2026-03-26,59,5,4,3,2,0
2026-03-27,46,4,3,2,1,0
2026-03-28,42,3,2,1,0,0
2026-03-29,55,5,4,2,2,0
2026-03-30,67,7,5,4,3,1
2026-10-01,45,3,2,1,1,0
2026-10-02,61,6,5,3,2,0
2026-10-03,58,5,4,3,2,1
2026-10-04,63,6,4,3,2,0
2026-10-05,54,5,4,2,1,0
2026-10-06,49,4,3,2,1,0
2026-10-07,52,5,4,2,2,0
