pin_id,date,impressions,saves,pin_clicks,outbound_clicks
pin_3017,2026-03-29,9,1,1,0
pin_3017,2026-03-30,12,2,1,1
pin_3017,2026-10-01,8,1,0,0
pin_3017,2026-10-02,14,2,1,1
pin_3017,2026-10-03,11,1,1,0
pin_3018,2026-03-29,7,1,0,0
pin_3018,2026-03-30,10,1,1,1
pin_3018,2026-10-01,6,0,0,0
pin_3018,2026-10-02,9,1,1,0
pin_3018,2026-10-03,8,1,0,0
pin_3011,2026-03-29,8,1,1,0
pin_3011,2026-03-30,11,1,1,1
pin_3011,2026-10-01,7,0,0,0
pin_3011,2026-10-02,10,1,1,1
pin_3011,2026-10-03,9,1,0,0
pin_3014,2026-03-29,6,1,0,0
pin_3014,2026-03-30,9,1,1,1
pin_3014,2026-10-01,5,0,0,0
pin_3014,2026-10-02,8,1,1,0
pin_3014,2026-10-03,7,1,0,0
pin_3024,2026-03-29,10,2,1,1
pin_3024,2026-03-30,13,2,1,1
pin_3024,2026-10-01,9,1,1,0
pin_3024,2026-10-02,12,2,1,1
pin_3024,2026-10-03,11,1,1,0
pin_3005,2026-03-29,7,1,1,0
pin_3005,2026-03-30,10,1,1,1
pin_3005,2026-10-01,6,0,0,0
pin_3005,2026-10-02,9,1,1,1
pin_3005,2026-10-03,8,1,0,0
