funnel_id,name,step_order,step_event,count
fn_refill_session,Prescription Refill (session base),1,start_refill,2100
fn_refill_session,Prescription Refill (session base),2,select_pharmacy,1500
fn_refill_session,Prescription Refill (session base),3,confirm,1010
fn_refill_session,Prescription Refill (session base),4,refill_step_completed,861
fn_results,Results Viewing,1,open_results,2600
fn_results,Results Viewing,2,load_results,1740
fn_results,Results Viewing,3,view_detail,900
fn_appt,Appointment Booking,1,start_booking,1800
fn_appt,Appointment Booking,2,pick_slot,1300
fn_appt,Appointment Booking,3,confirm_booking,980
fn_billpay,Bill Pay,1,open_bill,1400
fn_billpay,Bill Pay,2,enter_payment,900
fn_billpay,Bill Pay,3,submit_payment,720
fn_onboard,Onboarding First Run,1,welcome,2200
fn_onboard,Onboarding First Run,2,verify_identity,1500
fn_onboard,Onboarding First Run,3,finish_setup,1050
fn_weekly_16,Weekly Cohort Slice 16,2,start,895
fn_weekly_17,Weekly Cohort Slice 17,3,start,464
fn_weekly_18,Weekly Cohort Slice 18,1,middle,670
fn_weekly_19,Weekly Cohort Slice 19,2,start,224
fn_weekly_20,Weekly Cohort Slice 20,3,start,708
fn_weekly_21,Weekly Cohort Slice 21,1,middle,584
fn_weekly_22,Weekly Cohort Slice 22,2,middle,840
fn_weekly_23,Weekly Cohort Slice 23,3,middle,515
fn_weekly_24,Weekly Cohort Slice 24,1,start,775
fn_weekly_25,Weekly Cohort Slice 25,2,middle,587
fn_weekly_26,Weekly Cohort Slice 26,3,middle,468
fn_weekly_27,Weekly Cohort Slice 27,1,start,823
fn_weekly_28,Weekly Cohort Slice 28,2,complete,741
fn_weekly_29,Weekly Cohort Slice 29,3,middle,311
fn_weekly_30,Weekly Cohort Slice 30,1,start,164
fn_weekly_31,Weekly Cohort Slice 31,2,start,478
fn_weekly_32,Weekly Cohort Slice 32,3,middle,659
fn_weekly_33,Weekly Cohort Slice 33,1,start,252
fn_weekly_34,Weekly Cohort Slice 34,2,complete,146
fn_weekly_35,Weekly Cohort Slice 35,3,start,423
fn_weekly_36,Weekly Cohort Slice 36,1,middle,896
fn_weekly_37,Weekly Cohort Slice 37,2,middle,710
fn_weekly_38,Weekly Cohort Slice 38,3,middle,399
fn_weekly_39,Weekly Cohort Slice 39,1,complete,175
fn_weekly_40,Weekly Cohort Slice 40,2,start,895
fn_weekly_41,Weekly Cohort Slice 41,3,complete,732
fn_weekly_42,Weekly Cohort Slice 42,1,start,212
fn_weekly_43,Weekly Cohort Slice 43,2,start,824
fn_weekly_44,Weekly Cohort Slice 44,3,start,274
fn_weekly_45,Weekly Cohort Slice 45,1,complete,541
fn_weekly_46,Weekly Cohort Slice 46,2,complete,252
fn_weekly_47,Weekly Cohort Slice 47,3,start,840
fn_weekly_48,Weekly Cohort Slice 48,1,complete,599
fn_weekly_49,Weekly Cohort Slice 49,2,start,351
fn_weekly_50,Weekly Cohort Slice 50,3,middle,889
fn_weekly_51,Weekly Cohort Slice 51,1,middle,282
fn_weekly_52,Weekly Cohort Slice 52,2,middle,831
fn_weekly_53,Weekly Cohort Slice 53,3,start,566
fn_weekly_54,Weekly Cohort Slice 54,1,start,510
fn_weekly_55,Weekly Cohort Slice 55,2,start,548
fn_weekly_56,Weekly Cohort Slice 56,3,start,250
fn_weekly_57,Weekly Cohort Slice 57,1,start,758
fn_weekly_58,Weekly Cohort Slice 58,2,complete,200
fn_weekly_59,Weekly Cohort Slice 59,3,middle,301
fn_weekly_60,Weekly Cohort Slice 60,1,middle,879
fn_weekly_61,Weekly Cohort Slice 61,2,start,261
fn_weekly_62,Weekly Cohort Slice 62,3,start,175
fn_weekly_63,Weekly Cohort Slice 63,1,complete,445
fn_weekly_64,Weekly Cohort Slice 64,2,complete,712
fn_weekly_65,Weekly Cohort Slice 65,3,complete,697
fn_weekly_66,Weekly Cohort Slice 66,1,middle,257
fn_weekly_67,Weekly Cohort Slice 67,2,middle,266
fn_weekly_68,Weekly Cohort Slice 68,3,start,719
fn_weekly_69,Weekly Cohort Slice 69,1,start,584
fn_weekly_70,Weekly Cohort Slice 70,2,middle,513
fn_weekly_71,Weekly Cohort Slice 71,3,complete,453
fn_weekly_72,Weekly Cohort Slice 72,1,start,479
fn_weekly_73,Weekly Cohort Slice 73,2,middle,318
fn_weekly_74,Weekly Cohort Slice 74,3,middle,573
fn_weekly_75,Weekly Cohort Slice 75,1,complete,789
fn_weekly_76,Weekly Cohort Slice 76,2,complete,496
fn_weekly_77,Weekly Cohort Slice 77,3,start,699
fn_weekly_78,Weekly Cohort Slice 78,1,middle,376
fn_weekly_79,Weekly Cohort Slice 79,2,complete,793
fn_weekly_80,Weekly Cohort Slice 80,3,start,314
fn_weekly_81,Weekly Cohort Slice 81,1,middle,630
fn_weekly_82,Weekly Cohort Slice 82,2,start,192
fn_weekly_83,Weekly Cohort Slice 83,3,middle,136
fn_weekly_84,Weekly Cohort Slice 84,1,start,290
fn_weekly_85,Weekly Cohort Slice 85,2,middle,479
fn_weekly_86,Weekly Cohort Slice 86,3,middle,671
fn_weekly_87,Weekly Cohort Slice 87,1,middle,303
fn_weekly_88,Weekly Cohort Slice 88,2,start,600
fn_weekly_89,Weekly Cohort Slice 89,3,start,797
fn_weekly_90,Weekly Cohort Slice 90,1,complete,872
fn_weekly_91,Weekly Cohort Slice 91,2,middle,360
fn_weekly_92,Weekly Cohort Slice 92,3,middle,397
fn_weekly_93,Weekly Cohort Slice 93,1,start,346
fn_weekly_94,Weekly Cohort Slice 94,2,complete,574
fn_weekly_95,Weekly Cohort Slice 95,3,start,285
fn_weekly_96,Weekly Cohort Slice 96,1,middle,328
fn_weekly_97,Weekly Cohort Slice 97,2,complete,547
fn_weekly_98,Weekly Cohort Slice 98,3,complete,869
fn_weekly_99,Weekly Cohort Slice 99,1,start,330
