id,name,type,messages_total,messages_unread,threads_total,threads_unread
INBOX,INBOX,system,84,3,72,2
SENT,SENT,system,42,0,38,0
DRAFT,DRAFT,system,2,0,2,0
TRASH,TRASH,system,14,0,12,0
SPAM,SPAM,system,4,0,4,0
IMPORTANT,IMPORTANT,system,28,1,22,1
STARRED,STARRED,system,12,0,10,0
UNREAD,UNREAD,system,3,3,2,2
CATEGORY_PERSONAL,CATEGORY_PERSONAL,system,52,1,44,1
CATEGORY_UPDATES,CATEGORY_UPDATES,system,18,1,16,1
Label_Farm,Farm,user,24,0,20,0
Label_Band,Band,user,14,1,12,1
Label_Family,Family,user,32,0,28,0
Label_Church,Church,user,8,0,7,0
Label_Restaurants,Restaurants,user,12,0,10,0
