app_id,user_id,scope
0oa000000002,00u000000001,USER
0oa000000004,00u000000001,USER
0oa000000003,00u000000002,USER
0oa000000007,00u000000002,USER
0oa000000004,00u000000003,USER
0oa000000010,00u000000003,USER
0oa000000005,00u000000004,USER
0oa000000013,00u000000004,USER
0oa000000006,00u000000005,USER
0oa000000001,00u000000005,USER
0oa000000007,00u000000006,USER
0oa000000004,00u000000006,USER
0oa000000008,00u000000007,USER
0oa000000007,00u000000007,USER
0oa000000009,00u000000008,USER
0oa000000010,00u000000008,USER
0oa000000010,00u000000009,USER
0oa000000013,00u000000009,USER
0oa000000011,00u000000010,USER
0oa000000001,00u000000010,USER
0oa000000012,00u000000011,USER
0oa000000004,00u000000011,USER
0oa000000013,00u000000012,USER
0oa000000007,00u000000012,USER
0oa000000014,00u000000013,USER
0oa000000010,00u000000013,USER
0oa000000015,00u000000014,USER
0oa000000013,00u000000014,USER
0oa000000001,00u000000015,USER
0oa000000002,00u000000016,USER
0oa000000004,00u000000016,USER
0oa000000003,00u000000017,USER
0oa000000007,00u000000017,USER
0oa000000004,00u000000018,USER
0oa000000010,00u000000018,USER
0oa000000005,00u000000019,USER
0oa000000013,00u000000019,USER
0oa000000006,00u000000020,USER
0oa000000001,00u000000020,USER
0oa000000007,00u000000021,USER
0oa000000004,00u000000021,USER
0oa000000008,00u000000022,USER
0oa000000007,00u000000022,USER
0oa000000009,00u000000023,USER
0oa000000010,00u000000023,USER
0oa000000010,00u000000024,USER
0oa000000013,00u000000024,USER
0oa000000011,00u000000025,USER
0oa000000001,00u000000025,USER
0oa000000012,00u000000026,USER
0oa000000004,00u000000026,USER
0oa000000013,00u000000027,USER
0oa000000007,00u000000027,USER
0oa000000014,00u000000028,USER
0oa000000010,00u000000028,USER
0oa000000015,00u000000029,USER
0oa000000013,00u000000029,USER
0oa000000001,00u000000030,USER
