id,name,slug,sku,type,status,price,regular_price,sale_price,on_sale,stock_quantity,stock_status,manage_stock,categories,description,date_created
p_001,Elderberry tincture (4oz),elderberry-tincture-4oz,NRC-ELD-T4,simple,publish,28.00,28.00,,False,48,instock,True,1,Elderberry tincture (4oz),2026-01-01T09:00:00
p_002,Fire cider (4oz),fire-cider-4oz,NRC-FC-T4,simple,publish,34.00,34.00,,False,32,instock,True,1,Fire cider (4oz),2026-02-02T09:00:00
p_003,Ashwagandha tincture (2oz),ashwagandha-tincture-2oz,NRC-ASH-T2,simple,publish,32.00,32.00,,False,26,instock,True,1,Ashwagandha tincture (2oz),2026-03-03T09:00:00
p_004,Rhodiola tincture (2oz),rhodiola-tincture-2oz,NRC-RHO-T2,simple,publish,32.00,32.00,,False,18,instock,True,1,Rhodiola tincture (2oz),2026-01-04T09:00:00
p_005,Hawthorn tincture (2oz),hawthorn-tincture-2oz,NRC-HAW-T2,simple,publish,30.00,30.00,,False,12,instock,True,1,Hawthorn tincture (2oz),2026-02-05T09:00:00
p_006,Skullcap tincture (2oz),skullcap-tincture-2oz,NRC-SKC-T2,simple,publish,30.00,30.00,,False,14,instock,True,1,Skullcap tincture (2oz),2026-03-06T09:00:00
p_007,Yarrow tincture (2oz),yarrow-tincture-2oz,NRC-YAR-T2,simple,publish,28.00,28.00,,False,20,instock,True,1,Yarrow tincture (2oz),2026-01-07T09:00:00
p_008,Lemon balm tincture (2oz),lemon-balm-tincture-2oz,NRC-LEMB-T2,simple,publish,28.00,28.00,,False,22,instock,True,1,Lemon balm tincture (2oz),2026-02-08T09:00:00
p_009,Arnica salve (2oz),arnica-salve-2oz,NRC-ARN-S2,simple,publish,38.00,38.00,,False,24,instock,True,2,Arnica salve (2oz),2026-03-09T09:00:00
p_010,Lavender salve (2oz),lavender-salve-2oz,NRC-LAV-S2,simple,publish,34.00,34.00,,False,30,instock,True,2,Lavender salve (2oz),2026-01-01T09:00:00
p_011,Calendula salve (2oz),calendula-salve-2oz,NRC-CAL-S2,simple,publish,32.00,32.00,,False,28,instock,True,2,Calendula salve (2oz),2026-02-02T09:00:00
p_012,Plantain + comfrey salve (1oz),plantain-comfrey-salve-1oz,NRC-PCS-S1,simple,publish,24.00,24.00,,False,20,instock,True,2,Plantain + comfrey salve (1oz),2026-03-03T09:00:00
p_013,Postpartum perineal salve (1oz),postpartum-perineal-salve-1oz,NRC-PPS-S1,simple,publish,28.00,28.00,,False,16,instock,True,2,Postpartum perineal salve (1oz),2026-01-04T09:00:00
p_014,Bruise + bump salve (kids 1oz),kids-bruise-bump-salve,NRC-BB-S1,simple,publish,22.00,22.00,,False,32,instock,True,2,Bruise + bump salve (kids 1oz),2026-02-05T09:00:00
p_015,Immunity tea blend (4oz),immunity-tea-blend-4oz,NRC-IMM-T4,simple,publish,42.00,42.00,,False,18,instock,True,3,Immunity tea blend (4oz),2026-03-06T09:00:00
p_016,Bedtime calm tea (3oz),bedtime-calm-tea-3oz,NRC-BC-T3,simple,publish,32.00,32.00,,False,22,instock,True,3,Bedtime calm tea (3oz),2026-01-07T09:00:00
p_017,Pregnancy support tea (3oz),pregnancy-support-tea-3oz,NRC-PRG-T3,simple,publish,34.00,34.00,,False,18,instock,True,3,Pregnancy support tea (3oz),2026-02-08T09:00:00
p_018,Postpartum nourishing tea (3oz),postpartum-nourishing-tea,NRC-PP-T3,simple,publish,36.00,36.00,,False,14,instock,True,3,Postpartum nourishing tea (3oz),2026-03-09T09:00:00
p_019,Digestive bitters tea (3oz),digestive-bitters-tea-3oz,NRC-DB-T3,simple,publish,28.00,28.00,,False,26,instock,True,3,Digestive bitters tea (3oz),2026-01-01T09:00:00
p_020,Spring detox bitters (4oz),spring-detox-bitters-4oz,NRC-SDB-T4,simple,publish,38.00,38.00,,False,8,instock,True,4,Spring detox bitters (4oz),2026-02-02T09:00:00
p_021,Summer cooling spray (2oz),summer-cooling-spray-2oz,NRC-SCS-S2,simple,publish,26.00,26.00,,False,12,instock,True,4,Summer cooling spray (2oz),2026-03-03T09:00:00
p_022,Autumn equinox blessing oil (1oz),autumn-equinox-blessing-oil,NRC-AEB-O1,simple,publish,32.00,32.00,,False,6,instock,True,4,Autumn equinox blessing oil (1oz),2026-01-04T09:00:00
