id,client_order_id,symbol,qty,filled_qty,side,type,time_in_force,limit_price,status,filled_avg_price,submitted_at,filled_at
ORD-aurora-0001,cli-0001,AAPL,40,40,buy,market,day,,filled,178.50,2026-04-02T14:30:00Z,2026-04-02T14:30:02Z
ORD-boreal-0002,cli-0002,MSFT,25,25,buy,limit,day,402.10,filled,402.10,2026-04-10T15:00:00Z,2026-04-10T15:01:10Z
ORD-citron-0003,cli-0003,TSLA,30,30,buy,market,day,,filled,242.00,2026-04-18T13:45:00Z,2026-04-18T13:45:05Z
ORD-delta-0004,cli-0004,NVDA,18,0,buy,limit,gtc,118.40,new,,2026-05-20T16:00:00Z,
ORD-echo-0005,cli-0005,AMZN,10,0,sell,limit,day,195.00,new,,2026-05-22T14:10:00Z,
ORD-fjord-0006,cli-0006,AAPL,15,15,sell,market,day,,filled,189.90,2026-05-23T17:30:00Z,2026-05-23T17:30:03Z
ORD-aurora-0002,cli-0003,AAPL,38,39,buy,limit,day,261.02,new,396.53,2025-07-24T11:13:35Z,2025-07-18T14:42:18Z
ORD-aurora-0003,cli-0001,MSFT,36,17,sell,market,day,216.79,new,235.74,2026-09-13T07:41:38Z,2025-01-05T13:41:06Z
ORD-aurora-0004,cli-0001,TSLA,31,27,sell,market,day,377.11,filled,178.61,2026-02-16T16:36:17Z,2024-07-15T14:12:19Z
ORD-aurora-0005,cli-0001,AMZN,22,9,buy,market,day,283.35,filled,303.86,2024-07-29T19:46:15Z,2026-03-14T10:48:47Z
ORD-aurora-0006,cli-0001,MSFT,36,27,buy,market,day,193.47,filled,251.35,2026-02-22T15:37:02Z,2025-12-11T19:47:57Z
ORD-aurora-0007,cli-0006,NVDA,13,39,buy,market,gtc,122.96,new,333.24,2025-06-19T20:58:00Z,2026-02-19T19:02:30Z
ORD-aurora-0008,cli-0006,TSLA,33,8,sell,market,day,334.57,new,285.86,2024-10-31T08:11:25Z,2026-04-15T17:07:56Z
ORD-aurora-0009,cli-0002,AMZN,13,19,buy,limit,day,324.95,filled,261.07,2024-10-01T15:12:48Z,2026-03-14T06:21:24Z
ORD-aurora-0010,cli-0002,AAPL,31,10,sell,limit,day,236.32,filled,341.08,2025-07-23T19:39:30Z,2026-03-17T06:22:31Z
ORD-aurora-0011,cli-0006,MSFT,13,3,buy,limit,day,149.91,filled,361.96,2024-11-12T08:57:36Z,2024-09-05T06:23:10Z
ORD-aurora-0012,cli-0003,AMZN,35,27,buy,limit,day,213.74,filled,240.39,2024-07-07T20:29:59Z,2026-09-02T09:28:54Z
ORD-aurora-0013,cli-0002,AAPL,31,26,buy,market,day,118.77,filled,321.51,2026-04-10T09:17:41Z,2025-08-29T16:30:13Z
ORD-aurora-0014,cli-0001,NVDA,26,34,buy,limit,day,186.57,filled,343.00,2024-08-30T17:55:19Z,2026-04-06T15:08:23Z
ORD-aurora-0015,cli-0002,AAPL,20,21,buy,market,day,341.58,new,245.93,2026-04-03T20:17:52Z,2026-02-05T16:41:38Z
ORD-aurora-0016,cli-0002,TSLA,21,23,buy,limit,day,306.91,filled,302.34,2026-03-11T18:20:25Z,2024-07-04T20:53:45Z
ORD-aurora-0017,cli-0005,AMZN,32,8,sell,limit,day,134.52,filled,200.09,2024-07-30T06:07:49Z,2024-12-05T17:53:46Z
ORD-aurora-0018,cli-0001,NVDA,25,24,buy,market,day,131.01,filled,371.13,2025-11-22T15:09:24Z,2026-06-02T14:26:10Z
ORD-aurora-0019,cli-0002,AAPL,24,22,buy,limit,day,176.65,new,320.11,2026-05-28T06:38:43Z,2026-07-06T14:16:37Z
ORD-aurora-0020,cli-0004,TSLA,24,11,buy,market,day,336.91,new,287.89,2026-06-06T15:24:42Z,2025-04-06T19:33:55Z
ORD-aurora-0021,cli-0005,NVDA,39,6,sell,market,day,137.07,filled,250.02,2025-10-21T08:46:42Z,2026-02-26T06:24:51Z
ORD-aurora-0022,cli-0003,AAPL,34,40,buy,market,day,340.01,new,231.11,2024-07-21T15:16:33Z,2025-06-05T17:56:01Z
ORD-aurora-0023,cli-0006,NVDA,32,34,buy,market,day,206.11,filled,307.58,2026-09-04T11:37:36Z,2024-10-21T16:29:09Z
ORD-aurora-0024,cli-0004,MSFT,14,6,sell,market,day,136.36,filled,278.56,2025-10-20T17:54:35Z,2026-09-19T13:43:40Z
ORD-aurora-0025,cli-0002,MSFT,13,2,buy,market,day,133.10,filled,377.81,2026-08-17T07:24:52Z,2025-11-08T19:08:55Z
ORD-aurora-0026,cli-0006,AMZN,27,17,buy,limit,gtc,244.39,new,393.17,2024-12-18T19:55:23Z,2025-06-13T13:06:07Z
ORD-aurora-0027,cli-0006,AAPL,25,4,buy,limit,day,317.10,filled,283.11,2026-10-13T07:29:34Z,2025-09-11T14:40:28Z
ORD-aurora-0028,cli-0005,AAPL,27,6,buy,market,gtc,357.93,filled,376.68,2024-06-09T08:48:56Z,2025-07-08T09:01:17Z
ORD-aurora-0029,cli-0003,MSFT,25,24,buy,limit,day,313.52,filled,272.19,2025-09-20T08:44:21Z,2025-10-26T06:27:18Z
ORD-aurora-0030,cli-0004,MSFT,33,25,buy,market,day,286.63,new,184.04,2025-01-15T14:11:39Z,2025-06-26T15:00:58Z
ORD-aurora-0031,cli-0004,MSFT,12,7,buy,limit,gtc,118.56,new,387.51,2025-09-14T14:33:54Z,2026-06-05T07:55:40Z
ORD-aurora-0032,cli-0001,AAPL,38,40,buy,limit,day,179.89,new,340.73,2025-08-23T20:28:24Z,2025-11-22T15:38:58Z
ORD-aurora-0033,cli-0006,TSLA,22,28,buy,limit,day,209.66,filled,226.58,2025-06-19T15:13:00Z,2026-02-15T11:18:40Z
ORD-aurora-0034,cli-0005,AMZN,34,11,sell,limit,day,121.08,new,240.55,2024-07-04T09:38:15Z,2025-03-30T07:55:38Z
ORD-aurora-0035,cli-0002,AAPL,20,37,buy,limit,day,385.55,new,261.25,2026-07-06T10:10:34Z,2026-04-05T11:18:23Z
ORD-aurora-0036,cli-0002,NVDA,31,27,buy,limit,day,230.93,filled,214.55,2024-06-18T16:43:50Z,2025-01-10T15:15:57Z
ORD-aurora-0037,cli-0001,AAPL,31,12,buy,limit,day,373.48,new,226.00,2025-08-15T08:26:36Z,2024-09-26T11:45:33Z
ORD-aurora-0038,cli-0001,AMZN,37,1,buy,limit,gtc,162.56,filled,271.05,2025-07-26T07:08:04Z,2025-08-31T15:56:35Z
ORD-aurora-0039,cli-0001,AAPL,38,9,buy,market,day,199.48,new,381.77,2025-09-14T17:07:20Z,2026-08-06T07:00:57Z
ORD-aurora-0040,cli-0002,AAPL,22,11,buy,limit,gtc,250.79,new,193.58,2024-10-31T12:06:50Z,2026-05-03T07:53:52Z
ORD-aurora-0041,cli-0001,MSFT,22,33,buy,limit,day,157.17,new,186.21,2026-11-05T06:33:44Z,2026-07-26T07:26:42Z
ORD-aurora-0042,cli-0003,MSFT,10,12,buy,market,day,162.59,filled,372.59,2024-11-17T15:25:37Z,2024-10-28T17:58:29Z
ORD-aurora-0043,cli-0001,AAPL,33,26,sell,limit,day,239.66,new,389.58,2026-03-19T11:26:31Z,2025-10-03T09:23:02Z
ORD-aurora-0044,cli-0002,AAPL,22,39,buy,limit,day,396.13,filled,363.51,2025-11-30T06:37:20Z,2025-01-05T06:12:34Z
