symbol,bid_price,bid_size,ask_price,ask_size,timestamp
AAPL,191.20,3,191.25,2,2026-05-26T20:00:00Z
MSFT,418.55,1,418.60,4,2026-05-26T20:00:00Z
TSLA,228.70,5,228.75,3,2026-05-26T20:00:00Z
NVDA,131.85,2,131.90,2,2026-05-26T20:00:00Z
AMZN,188.40,6,188.45,1,2026-05-26T20:00:00Z
GOOGL,174.10,2,174.15,3,2026-05-26T20:00:00Z
SPY,531.20,8,531.25,7,2026-05-26T20:00:00Z
GOOGL,0,400,117.54,251,2025-08-18T13:32:46Z
NVDA,175.07,25,291.07,37,2025-12-26T06:33:57Z
MSFT,226.74,243,270.63,204,2026-06-09T11:11:53Z
MSFT,48.53,225,514.37,88,2026-07-26T19:39:34Z
NVDA,198.34,200,137.62,59,2026-08-02T17:47:39Z
MSFT,253.92,341,329.45,25,2025-12-05T20:34:15Z
GOOGL,349.16,398,151.01,208,2025-05-29T15:02:21Z
GOOGL,252.84,217,320.21,112,2026-07-05T17:38:55Z
TSLA,239.55,368,258.21,159,2025-06-19T11:51:22Z
AMZN,90.46,250,242.33,236,2024-07-20T09:59:06Z
GOOGL,58.10,223,515.99,143,2024-08-05T08:39:53Z
AAPL,519.80,295,187.59,167,2025-06-06T18:06:39Z
GOOGL,444.95,91,270.66,57,2024-08-05T11:55:03Z
AAPL,499.55,237,220.94,246,2026-04-11T11:21:26Z
NVDA,65.14,332,374.67,119,2024-09-08T10:24:56Z
GOOGL,249.54,170,173.68,166,2026-07-29T06:28:51Z
AMZN,413.19,354,249.23,236,2025-09-15T18:56:44Z
GOOGL,395.56,380,365.74,123,2026-04-25T09:32:33Z
SPY,380.74,184,223.00,185,2025-01-30T19:26:54Z
TSLA,430.84,147,228.84,5,2025-03-21T07:41:18Z
GOOGL,141.88,60,474.94,93,2025-06-10T14:45:36Z
SPY,420.69,47,197.32,167,2025-08-23T13:09:51Z
TSLA,126.07,323,480.21,118,2026-05-16T20:54:02Z
AAPL,192.98,398,414.87,96,2025-10-01T15:50:25Z
MSFT,294.37,230,273.01,110,2024-10-30T15:08:34Z
AMZN,182.93,142,219.20,211,2025-04-30T17:25:55Z
TSLA,451.39,10,381.23,211,2025-04-23T10:39:09Z
GOOGL,263.99,285,125.69,190,2025-08-13T06:30:36Z
MSFT,36.16,248,172.02,165,2025-09-06T12:41:11Z
GOOGL,446.46,115,216.28,183,2025-12-12T09:34:45Z
MSFT,481.73,262,132.91,79,2026-03-02T06:44:15Z
NVDA,158.86,174,150.40,238,2026-09-05T15:32:57Z
TSLA,515.54,213,530.75,248,2026-03-23T15:34:27Z
TSLA,221.83,385,171.88,13,2026-06-09T13:30:52Z
NVDA,229.37,394,370.39,58,2026-10-03T13:17:25Z
AMZN,415.62,333,389.94,100,2026-04-06T07:49:05Z
MSFT,488.39,334,162.74,8,2026-07-05T06:14:43Z
GOOGL,72.31,316,390.38,43,2025-11-12T11:51:07Z
GOOGL,450.27,202,353.43,184,2026-10-23T19:12:30Z
TSLA,464.41,397,118.89,216,2025-06-01T11:26:03Z
AAPL,304.34,244,420.58,186,2026-08-14T18:31:15Z
GOOGL,308.51,27,472.09,183,2024-09-10T09:20:18Z
GOOGL,502.84,2,237.87,171,2025-03-08T09:57:55Z
GOOGL,355.57,23,135.83,8,2026-01-03T13:54:34Z
GOOGL,436.02,225,410.30,217,2025-04-22T18:51:17Z
