tableId,id,name,type
tbl_contacts,fld_name,Name,singleLineText
tbl_contacts,fld_email,Email,email
tbl_contacts,fld_company,Company,singleLineText
tbl_contacts,fld_role,Role,singleLineText
tbl_contacts,fld_phone,Phone,phoneNumber
tbl_tasks,fld_task,Task,singleLineText
tbl_tasks,fld_due,Due Date,date
tbl_tasks,fld_status,Status,singleSelect
tbl_tasks,fld_owner,Owner,singleLineText
tbl_projects,fld_project,Project,singleLineText
tbl_projects,fld_start,Start Date,date
tbl_projects,fld_end,End Date,date
tbl_projects,fld_progress,Progress,percent
tbl_inventory,fld_item,Item,singleLineText
tbl_inventory,fld_qty,Quantity,number
tbl_inventory,fld_location,Location,singleLineText
tbl_inventory,fld_purchased,Purchased On,date
tbl_references,fld_title,Title,singleLineText
