id,capture_id,status,amount_value,currency_code,note_to_payer,create_time
REF_1A234567BC890123,CAP_3C679384HN8401234,COMPLETED,10.00,USD,Partial refund for late delivery,2026-05-12T10:00:00Z
REF_1A234567BC890123-e001,CAP_3C679384HN8401234-e001,COMPLETED,10.00,USD,Partial refund for late delivery,2026-05-12T10:00:00Z
REF_1A234567BC890123-e002,CAP_3C679384HN8401234-e002,COMPLETED,10.00,USD,Partial refund for late delivery,2026-05-12T10:00:00Z
REF_1A234567BC890123-e003,CAP_3C679384HN8401234-e003,COMPLETED,10.00,USD,Partial refund for late delivery,2026-05-12T10:00:00Z
REF_1A234567BC890123-e004,CAP_3C679384HN8401234-e004,COMPLETED,10.00,USD,Partial refund for late delivery,2026-05-12T10:00:00Z
REF_1A234567BC890123-e005,CAP_3C679384HN8401234-e005,COMPLETED,10.00,USD,Partial refund for late delivery,2026-05-12T10:00:00Z
REF_1A234567BC890123-e006,CAP_3C679384HN8401234-e006,COMPLETED,10.00,USD,Partial refund for late delivery,2026-05-12T10:00:00Z
REF_1A234567BC890123-e007,CAP_3C679384HN8401234-e007,COMPLETED,10.00,USD,Partial refund for late delivery,2026-05-12T10:00:00Z
REF_1A234567BC890123-e008,CAP_3C679384HN8401234-e008,COMPLETED,10.00,USD,Partial refund for late delivery,2026-05-12T10:00:00Z
REF_1A234567BC890123-e009,CAP_3C679384HN8401234-e009,COMPLETED,10.00,USD,Partial refund for late delivery,2026-05-12T10:00:00Z
REF_1A234567BC890123-e010,CAP_3C679384HN8401234-e010,COMPLETED,10.00,USD,Partial refund for late delivery,2026-05-12T10:00:00Z
REF_1A234567BC890123-e011,CAP_3C679384HN8401234-e011,COMPLETED,10.00,USD,Partial refund for late delivery,2026-05-12T10:00:00Z
REF_1A234567BC890123-e012,CAP_3C679384HN8401234-e012,COMPLETED,10.00,USD,Partial refund for late delivery,2026-05-12T10:00:00Z
REF_1A234567BC890123-e013,CAP_3C679384HN8401234-e013,COMPLETED,10.00,USD,Partial refund for late delivery,2026-05-12T10:00:00Z
