item	board_status	my_gut_feeling	reconcile_against	severity	note
Chapter 1 overall	done	agree - shippable	GitHub commit history	low	matches the commits; the Lantern Walk is solid
Chapter 2 overall	done	mostly, minus the radio thing	GitHub + Sentry	med	radio state bug LT-1205 keeps coming back
Chapter 3 overall	done	not done	GitHub commit history + open issues	high	board is optimistic; the branch tells a different story
LT-1247 post office door	in_review	still crashing	Sentry + branch feature/ch3-postoffice	P0	hard-crash on interact; blocks the 5-min judged demo
LT-1231 clerk soft-lock	todo	not started	GitHub issues	P1	dialogue tree state stuck on back-out; branch fix/clerk-softlock
LT-1218 postbox double feedback	todo	not started	GitHub issues	P2	two feedback pings per interact
LT-1205 ch2 radio persistence	todo	recurring	GitHub issues + Sentry	P2	radio state does not persist across scene load
audio/ch3-post-office	unknown	probably unmerged	shared audio repo PR list	P0	Ravi needs this merged before he boards on Nov 7
audio/main-theme-v3	unknown	unmerged, waiting on my review	PR 48 on the audio repo	P1	LT-1190 mix pass; this one is on me, not Ravi
audio/ch4-railyard-amb	unknown	deferred	shared audio repo	P3	post-Showcase; do not let it crowd the Post Office work
