date,category,description,amount_usd,recurring,payment_method,note
2026-10-01,rent,half of apartment,875.00,yes,transfer,"largest line; splits the U-District place with Suki"
2026-10-01,utilities,half,65.00,yes,transfer,"power and internet share"
2026-10-02,phone,plan,45.00,yes,card,"iPhone plan"
2026-10-02,software,figma,15.00,yes,card,"Figma Professional, core work tool"
2026-10-03,software,spotify,6.00,yes,card,"student rate"
2026-10-03,software,crunchyroll,8.00,yes,card,"comfort watching"
2026-10-04,software,domain angelabrooks.design,12.00,yes,card,"portfolio domain and hosting"
2026-10-04,software,icloud,3.00,yes,card,"device backups"
2026-10-05,eating_out,couple dinners out,80.00,no,card,"running monthly estimate; ramen and the odd dinner with Suki"
2026-10-06,groceries,half share,180.00,no,card,"split grocery run"
2026-10-08,boba,with suki,12.00,no,card,"the boba line I always wince at"
2026-10-10,art_supplies,print test paper,30.00,no,card,"test paper for the A3 print run"
2026-10-11,transit,orca refill,54.00,no,card,"ORCA card top-up"
2026-10-13,dnd,thursday game nights,15.00,no,cash,"running monthly estimate for Oliver's table"
2026-10-15,misc,catch-all this month,60.00,no,card,"running monthly estimate; I always lowball this line"
