session_id,tester,chapter,scene,event,dropped_off,ticket_ref,notes
PT-2041,anon-a,1,intro,completed,no,,smooth
PT-2042,anon-b,1,lantern_walk,completed,no,,
PT-2043,anon-c,2,radio_room,confused,no,LT-1205,radio state reset weird
PT-2044,anon-d,3,post_office_door,crash,yes,LT-1247,game closed at the door
PT-2045,anon-e,3,post_office_door,crash,yes,LT-1247,same door crash
PT-2046,anon-f,3,clerk_dialogue,softlock,yes,LT-1231,backed out mid line
PT-2047,anon-g,3,postbox,confused,no,LT-1218,double feedback ping
PT-2048,anon-h,3,post_office_door,crash,yes,LT-1247,door again
PT-2049,anon-i,2,radio_room,quit,yes,LT-1205,lost audio cue
PT-2050,anon-j,1,ending,completed,no,,
PT-2051,anon-k,3,post_office_door,crash,yes,LT-1247,door
PT-2052,anon-l,3,clerk_dialogue,softlock,yes,LT-1231,
PT-2053,anon-m,3,postbox,confused,no,LT-1218,
PT-2054,anon-n,3,post_office_door,crash,yes,LT-1247,door cluster continues
PT-2055,anon-o,3,post_office_door,crash,yes,LT-1247,closed again at the door
PT-2056,anon-p,3,post_office_door,crash,yes,LT-1247,same spot
PT-2057,anon-q,3,clerk_dialogue,softlock,yes,LT-1231,stuck after backing out
PT-2058,anon-r,3,postbox,confused,no,LT-1218,two pings again
PT-2059,anon-s,2,radio_room,confused,no,LT-1205,audio cue dropped on reload
PT-2060,anon-t,3,post_office_door,crash,yes,LT-1247,"door cluster, still the top quit point"
