campaign_id,ad_account_id,name,status,objective_type,daily_spend_cap_micro,lifetime_spend_cap_micro,start_time,end_time,created_at,updated_at
camp_1,ad_5,Campaign 1,PAUSED,AWARENESS,0,0,2025-05-12T00:00:00+00:00,2025-06-11T00:00:00+00:00,2025-05-12T00:00:00+00:00,2025-05-13T00:00:00+00:00
camp_2,ad_1,Campaign 2,PAUSED,AWARENESS,0,0,2023-12-29T00:00:00+00:00,2024-01-28T00:00:00+00:00,2023-12-29T00:00:00+00:00,2023-12-30T00:00:00+00:00
camp_3,ad_2,Campaign 3,PAUSED,AWARENESS,0,0,2024-03-17T00:00:00+00:00,2024-04-16T00:00:00+00:00,2024-03-17T00:00:00+00:00,2024-03-18T00:00:00+00:00
camp_4,ad_8,Campaign 4,PAUSED,AWARENESS,0,0,2023-04-17T00:00:00+00:00,2023-05-17T00:00:00+00:00,2023-04-17T00:00:00+00:00,2023-04-18T00:00:00+00:00
camp_5,ad_2,Campaign 5,PAUSED,AWARENESS,0,0,2023-07-02T00:00:00+00:00,2023-08-01T00:00:00+00:00,2023-07-02T00:00:00+00:00,2023-07-03T00:00:00+00:00
camp_6,ad_6,Campaign 6,PAUSED,AWARENESS,0,0,2023-05-25T00:00:00+00:00,2023-06-24T00:00:00+00:00,2023-05-25T00:00:00+00:00,2023-05-26T00:00:00+00:00
camp_7,ad_7,Campaign 7,PAUSED,AWARENESS,0,0,2024-08-09T00:00:00+00:00,2024-09-08T00:00:00+00:00,2024-08-09T00:00:00+00:00,2024-08-10T00:00:00+00:00
camp_8,ad_5,Campaign 8,PAUSED,AWARENESS,0,0,2023-11-01T00:00:00+00:00,2023-12-01T00:00:00+00:00,2023-11-01T00:00:00+00:00,2023-11-02T00:00:00+00:00
camp_9,ad_4,Campaign 9,PAUSED,AWARENESS,0,0,2025-02-13T00:00:00+00:00,2025-03-15T00:00:00+00:00,2025-02-13T00:00:00+00:00,2025-02-14T00:00:00+00:00
camp_10,ad_7,Campaign 10,PAUSED,AWARENESS,0,0,2024-12-22T00:00:00+00:00,2025-01-21T00:00:00+00:00,2024-12-22T00:00:00+00:00,2024-12-23T00:00:00+00:00
camp_11,ad_7,Campaign 11,PAUSED,AWARENESS,0,0,2024-06-14T00:00:00+00:00,2024-07-14T00:00:00+00:00,2024-06-14T00:00:00+00:00,2024-06-15T00:00:00+00:00
camp_12,ad_2,Campaign 12,PAUSED,AWARENESS,0,0,2024-02-06T00:00:00+00:00,2024-03-07T00:00:00+00:00,2024-02-06T00:00:00+00:00,2024-02-07T00:00:00+00:00
camp_13,ad_7,Campaign 13,PAUSED,AWARENESS,0,0,2023-11-13T00:00:00+00:00,2023-12-13T00:00:00+00:00,2023-11-13T00:00:00+00:00,2023-11-14T00:00:00+00:00
camp_14,ad_4,Campaign 14,PAUSED,AWARENESS,0,0,2023-09-29T00:00:00+00:00,2023-10-29T00:00:00+00:00,2023-09-29T00:00:00+00:00,2023-09-30T00:00:00+00:00
camp_15,ad_5,Campaign 15,PAUSED,AWARENESS,0,0,2023-12-03T00:00:00+00:00,2024-01-02T00:00:00+00:00,2023-12-03T00:00:00+00:00,2023-12-04T00:00:00+00:00
camp_16,ad_5,Campaign 16,PAUSED,AWARENESS,0,0,2023-02-26T00:00:00+00:00,2023-03-28T00:00:00+00:00,2023-02-26T00:00:00+00:00,2023-02-27T00:00:00+00:00
camp_17,ad_2,Campaign 17,PAUSED,AWARENESS,0,0,2023-07-11T00:00:00+00:00,2023-08-10T00:00:00+00:00,2023-07-11T00:00:00+00:00,2023-07-12T00:00:00+00:00
camp_18,ad_5,Campaign 18,PAUSED,AWARENESS,0,0,2023-12-12T00:00:00+00:00,2024-01-11T00:00:00+00:00,2023-12-12T00:00:00+00:00,2023-12-13T00:00:00+00:00
camp_19,ad_6,Campaign 19,PAUSED,AWARENESS,0,0,2025-01-06T00:00:00+00:00,2025-02-05T00:00:00+00:00,2025-01-06T00:00:00+00:00,2025-01-07T00:00:00+00:00
camp_20,ad_7,Campaign 20,PAUSED,AWARENESS,0,0,2025-06-02T00:00:00+00:00,2025-07-02T00:00:00+00:00,2025-06-02T00:00:00+00:00,2025-06-03T00:00:00+00:00
