section_id,board_id,name,pin_count
section_1,board_5109,Books,14
section_2,board_5107,Style,8
section_3,board_5103,Books,7
section_4,board_5105,Living Room,18
section_5,board_5104,Autumn,17
section_6,board_5108,Style,5
section_7,board_5109,Books,6
section_8,board_5103,Travel,19
section_9,board_5108,Travel,2
section_10,board_5105,Winter,15
section_11,board_5104,Bedroom,1
section_12,board_5108,Style,11
section_13,board_5102,Recipes,15
section_14,board_5106,Bedroom,12
section_15,board_5105,Living Room,18
section_16,board_5104,Autumn,15
section_17,board_5108,Travel,11
section_18,board_5101,Books,9
section_19,board_5106,Books,3
section_20,board_5107,Outdoor,5
section_21,board_5103,Living Room,8
section_22,board_5106,Winter,12
section_23,board_5108,Books,6
section_24,board_5102,Recipes,2
section_25,board_5104,Bedroom,6
section_26,board_5106,Style,13
section_27,board_5100,Balcony,8
section_28,board_5103,Recipes,14
section_29,board_5102,Kitchen,13
section_30,board_5105,Kitchen,6
