pin_id,date,impressions,saves,pin_clicks,outbound_clicks
pin_12,2026-10-26,19,0,0,0
pin_67,2026-07-18,14,0,5,1
pin_11,2026-08-22,14,2,1,0
pin_76,2026-10-14,11,2,2,1
pin_23,2026-08-31,14,1,3,0
pin_25,2026-10-08,1,1,1,1
pin_73,2026-10-21,2,2,3,0
pin_52,2026-08-17,10,1,4,1
pin_18,2026-07-11,6,1,4,1
pin_74,2026-07-14,9,0,0,1
pin_70,2026-07-20,15,0,5,0
pin_45,2026-10-15,5,2,0,0
pin_16,2026-06-21,3,0,1,1
pin_11,2026-10-17,18,2,1,0
pin_8,2026-10-13,23,0,3,1
pin_37,2026-09-06,17,1,5,0
pin_50,2026-08-04,14,0,5,0
pin_61,2026-08-18,3,2,2,1
pin_55,2026-09-06,23,1,0,0
pin_74,2026-06-13,0,0,0,0
pin_28,2026-07-02,5,0,2,1
pin_63,2026-09-24,3,2,4,1
pin_38,2026-11-18,19,2,0,1
pin_23,2026-07-12,10,0,4,0
pin_7,2026-06-03,9,1,4,1
pin_30,2026-07-27,5,1,5,1
pin_73,2026-08-21,1,1,0,1
pin_48,2026-10-23,20,2,5,0
pin_48,2026-06-19,1,0,5,1
pin_64,2026-06-14,11,0,0,0
pin_13,2026-07-23,23,0,2,0
pin_66,2026-11-17,2,2,5,1
pin_68,2026-09-24,1,2,4,1
pin_17,2026-06-20,1,0,5,1
pin_76,2026-06-27,8,0,4,1
pin_31,2026-09-15,7,2,2,1
pin_71,2026-07-18,8,1,1,0
pin_12,2026-09-09,4,1,2,0
pin_75,2026-06-01,9,1,0,0
pin_27,2026-11-19,10,0,2,0
pin_7,2026-08-11,4,0,3,0
pin_25,2026-06-03,4,0,5,0
pin_52,2026-10-20,21,0,0,0
pin_39,2026-08-06,18,2,3,1
pin_38,2026-10-18,14,0,2,1
pin_42,2026-08-24,20,0,1,1
pin_78,2026-10-28,23,2,1,0
pin_16,2026-09-20,2,2,5,0
pin_15,2026-07-21,22,0,5,0
pin_55,2026-06-15,22,1,5,1
pin_68,2026-06-03,14,1,4,0
pin_55,2026-09-11,11,0,0,0
pin_36,2026-09-09,4,0,4,1
pin_62,2026-08-26,19,0,0,0
pin_58,2026-08-07,14,2,2,0
pin_86,2026-08-23,23,0,0,0
pin_76,2026-09-04,21,1,1,0
pin_71,2026-06-23,3,1,4,0
pin_80,2026-07-23,6,0,4,0
pin_8,2026-08-14,23,1,0,0
pin_78,2026-10-26,4,0,0,1
pin_26,2026-07-31,10,2,2,0
pin_2,2026-06-10,3,1,3,1
pin_4,2026-11-25,17,0,5,0
pin_90,2026-11-18,18,1,5,1
pin_24,2026-08-19,12,1,4,1
pin_23,2026-09-13,0,1,2,0
pin_81,2026-11-08,20,2,5,1
pin_23,2026-10-09,21,2,2,0
pin_62,2026-09-16,23,0,1,0
pin_84,2026-10-09,8,2,4,0
pin_70,2026-09-01,6,1,0,1
pin_84,2026-09-14,15,1,2,0
pin_26,2026-06-06,24,0,1,0
pin_76,2026-07-25,1,1,4,0
pin_53,2026-07-03,9,2,3,1
pin_1,2026-07-01,3,2,1,0
pin_35,2026-09-19,15,2,0,1
pin_37,2026-07-31,5,2,4,0
pin_17,2026-10-27,10,0,5,0
pin_86,2026-07-21,17,0,0,1
pin_54,2026-06-08,1,2,2,0
pin_77,2026-08-26,21,1,4,1
pin_59,2026-11-17,6,0,0,0
pin_86,2026-09-30,9,0,4,1
pin_20,2026-11-14,7,2,5,1
pin_71,2026-07-20,14,2,1,1
pin_64,2026-08-16,0,0,0,0
pin_30,2026-10-04,2,2,2,1
pin_14,2026-09-28,4,0,0,0
