item,on_hand,counted_on,note
Coil-built stoneware mug,4,2026-08-14,speckled cream and warm rust batches
Speckled dinner bowl,3,2026-08-14,two matched pairs plus one single
Wide serving platter,1,2026-08-14,heavy piece, showcase
Handled soup crock,2,2026-08-14,one glazed one bisque
Small planter,5,2026-08-14,patio garden series
Tea bowl (chawan style),3,2026-08-14,tenmoku and shino variants
Butter keeper,1,2026-08-14,commission prototype
Salt cellar (miniature),4,2026-08-14,test batch
Ash glaze vessel,2,2026-08-14,Grandma Elaine oak ash batch
Coil-built vase (medium),1,2026-08-14,showcase, not for market
This is the August hand count. Stale against the live Etsy and Square listings. Rebuild the Notion inventory page from the live sources for anything that actually sold Q3.
