query,formatted_address,lat,lng,place_id,location_type
Kettering Gymnastics Academy,"4000 Far Hills Ave, Kettering, OH 45429",39.6756,-84.2234,ChIJ_gym_001,ROOFTOP
Fairfield Park Kettering,"2200 Acorn Dr, Kettering, OH 45419",39.6812,-84.1567,ChIJ_fair_001,ROOFTOP
Delco Park Kettering,"1700 Delco Park Dr, Kettering, OH 45420",39.7023,-84.1789,ChIJ_delco_001,ROOFTOP
Van Buren Elementary Kettering,"4015 Ackerman Blvd, Kettering, OH 45429",39.6734,-84.2101,ChIJ_vb_001,ROOFTOP
Lakeview Medical Center,"1234 Medical Center Dr, Kettering, OH 45429",39.6901,-84.1923,ChIJ_lake_001,ROOFTOP
1847 Wilmington Pike Apt 3B,"1847 Wilmington Pike, Kettering, OH 45419",39.6845,-84.1678,ChIJ_home_001,ROOFTOP
Kettering Rec Center,"2900 Glengarry Dr, Kettering, OH 45420",39.6895,-84.1688,ChIJ_rec_001,ROOFTOP
Brewed Awakening Cafe,"1800 Wilmington Pike, Kettering, OH 45419",39.6843,-84.1675,ChIJ_cafe_001,ROOFTOP
Location 0,"3216 Main St, Kettering, OH 45420",39.6496,-84.2766,ChIJ_0000,ROOFTOP
Location 1,"5443 Main St, Kettering, OH 45420",39.6001,-84.1324,ChIJ_0001,ROOFTOP
Location 2,"5619 Main St, Kettering, OH 45420",39.6579,-84.1992,ChIJ_0002,ROOFTOP
Location 3,"3842 Main St, Kettering, OH 45420",39.6361,-84.2510,ChIJ_0003,ROOFTOP
Location 4,"125 Main St, Kettering, OH 45420",39.6269,-84.1624,ChIJ_0004,ROOFTOP
Location 5,"454 Main St, Kettering, OH 45420",39.6784,-84.1549,ChIJ_0005,ROOFTOP
Location 6,"7962 Main St, Kettering, OH 45420",39.6407,-84.1775,ChIJ_0006,ROOFTOP
Location 7,"3121 Main St, Kettering, OH 45420",39.6044,-84.2536,ChIJ_0007,ROOFTOP
Location 8,"4458 Main St, Kettering, OH 45420",39.6299,-84.1771,ChIJ_0008,ROOFTOP
Location 9,"2043 Main St, Kettering, OH 45420",39.6020,-84.2266,ChIJ_0009,ROOFTOP
Location 10,"4967 Main St, Kettering, OH 45420",39.6434,-84.1213,ChIJ_0010,ROOFTOP
Location 11,"5309 Main St, Kettering, OH 45420",39.6722,-84.1022,ChIJ_0011,ROOFTOP
Location 12,"4111 Main St, Kettering, OH 45420",39.6530,-84.2939,ChIJ_0012,ROOFTOP
Location 13,"1289 Main St, Kettering, OH 45420",39.6349,-84.2216,ChIJ_0013,ROOFTOP
Location 14,"9541 Main St, Kettering, OH 45420",39.6861,-84.1370,ChIJ_0014,ROOFTOP
Location 15,"1645 Main St, Kettering, OH 45420",39.6481,-84.1425,ChIJ_0015,ROOFTOP
Location 16,"3285 Main St, Kettering, OH 45420",39.6973,-84.1275,ChIJ_0016,ROOFTOP
Location 17,"1869 Main St, Kettering, OH 45420",39.6629,-84.2453,ChIJ_0017,ROOFTOP
Location 18,"2978 Main St, Kettering, OH 45420",39.6286,-84.1802,ChIJ_0018,ROOFTOP
Location 19,"1298 Main St, Kettering, OH 45420",39.6916,-84.1842,ChIJ_0019,ROOFTOP
Location 20,"4492 Main St, Kettering, OH 45420",39.6824,-84.2831,ChIJ_0020,ROOFTOP
Location 21,"645 Main St, Kettering, OH 45420",39.6764,-84.1407,ChIJ_0021,ROOFTOP
Location 22,"8716 Main St, Kettering, OH 45420",39.6641,-84.1696,ChIJ_0022,ROOFTOP
Location 23,"2796 Main St, Kettering, OH 45420",39.6678,-84.2548,ChIJ_0023,ROOFTOP
Location 24,"7508 Main St, Kettering, OH 45420",39.6185,-84.1868,ChIJ_0024,ROOFTOP
Location 25,"2300 Main St, Kettering, OH 45420",39.6034,-84.2995,ChIJ_0025,ROOFTOP
Location 26,"3063 Main St, Kettering, OH 45420",39.6342,-84.1229,ChIJ_0026,ROOFTOP
Location 27,"1671 Main St, Kettering, OH 45420",39.6126,-84.1150,ChIJ_0027,ROOFTOP
Location 28,"9841 Main St, Kettering, OH 45420",39.6968,-84.1730,ChIJ_0028,ROOFTOP
Location 29,"1506 Main St, Kettering, OH 45420",39.6253,-84.2181,ChIJ_0029,ROOFTOP
Location 30,"845 Main St, Kettering, OH 45420",39.6582,-84.1502,ChIJ_0030,ROOFTOP
Location 31,"3419 Main St, Kettering, OH 45420",39.6580,-84.2681,ChIJ_0031,ROOFTOP
Location 32,"889 Main St, Kettering, OH 45420",39.6456,-84.1070,ChIJ_0032,ROOFTOP
Location 33,"6119 Main St, Kettering, OH 45420",39.6622,-84.1119,ChIJ_0033,ROOFTOP
Location 34,"2448 Main St, Kettering, OH 45420",39.6485,-84.1680,ChIJ_0034,ROOFTOP
Location 35,"9768 Main St, Kettering, OH 45420",39.6408,-84.2632,ChIJ_0035,ROOFTOP
