id,name,contact_count,created_at
lst_esfes_farmers,ESFES Farmers,580,2024-07-15T08:00:00Z
lst_waita_partners,WAITA Partners,18,2025-04-02T08:00:00Z
lst_research_alumni,Crop Sci Research Alumni,64,2024-09-30T08:00:00Z
lst_diaspora_pilot,Amazon Diaspora Pilot,92,2026-06-12T08:00:00Z
sg-lst-00104,Waiver Reminders v5,181,2026-05-15T18:28:00-07:00
sg-lst-00105,Drop-In Prospects v6,458,2024-07-21T19:00:00-07:00
sg-lst-00106,Vendor Alerts v7,158,2026-05-26T09:59:00-07:00
sg-lst-00107,Class Confirmations v8,437,2024-06-07T13:57:00-07:00
sg-lst-00108,Drop-In Prospects v9,542,2024-01-06T15:27:00-07:00
sg-lst-00109,Vendor Alerts v10,410,2026-08-29T16:13:00-07:00
sg-lst-00110,Drop-In Prospects v1,389,2024-08-20T20:38:00-07:00
sg-lst-00111,Vendor Alerts v2,374,2024-11-09T20:54:00-07:00
sg-lst-00112,Alumni v3,589,2026-09-16T12:28:00-07:00
sg-lst-00113,Alumni v4,552,2025-01-24T09:13:00-07:00
sg-lst-00114,Instructor Corp v5,206,2024-12-28T20:05:00-07:00
sg-lst-00115,Parents Circle v6,111,2025-10-27T16:28:00-07:00
sg-lst-00116,Drop-In Prospects v7,462,2026-03-31T13:20:00-07:00
sg-lst-00117,Class Confirmations v8,139,2024-09-04T16:11:00-07:00
sg-lst-00118,Drop-In Prospects v9,243,2024-04-26T09:11:00-07:00
sg-lst-00119,Alumni v10,181,2026-02-18T19:47:00-07:00
sg-lst-00120,Waiver Reminders v1,206,2026-09-02T13:05:00-07:00
sg-lst-00121,Rank Promotions v2,117,2025-12-08T15:07:00-07:00
sg-lst-00122,Drop-In Prospects v3,377,2026-03-23T09:09:00-07:00
sg-lst-00123,Rank Promotions v4,80,2024-06-09T17:46:00-07:00
sg-lst-00124,Instructor Corp v5,239,2024-09-06T20:01:00-07:00
sg-lst-00125,Instructor Corp v6,627,2026-10-16T19:36:00-07:00
sg-lst-00126,Instructor Corp v7,75,2026-06-24T18:38:00-07:00
sg-lst-00127,Sponsor Ack v8,351,2025-05-07T20:47:00-07:00
sg-lst-00128,Alumni v9,448,2024-07-26T12:02:00-07:00
sg-lst-00129,Class Confirmations v10,130,2024-01-29T20:16:00-07:00
sg-lst-00130,Rank Promotions v1,595,2026-04-28T15:10:00-07:00
