event_type,date,count
active_users,2026-09-06,4100
active_users,2026-09-13,4300
active_users,2026-09-20,4600
active_users,2026-09-27,5400
refill_completed_event_base,2026-09-06,590
refill_completed_event_base,2026-09-13,615
refill_completed_event_base,2026-09-20,628
refill_completed_event_base,2026-09-27,640
appointment_booking_completed,2026-09-06,283
appointment_booking_completed,2026-09-13,333
appointment_booking_completed,2026-09-20,316
appointment_booking_completed,2026-09-27,338
message_provider_completed,2026-09-06,348
message_provider_completed,2026-09-13,382
message_provider_completed,2026-09-20,328
message_provider_completed,2026-09-27,369
prescription_refill_completed,2026-09-06,428
prescription_refill_completed,2026-09-13,429
prescription_refill_completed,2026-09-20,402
prescription_refill_completed,2026-09-27,394
results_viewing_completed,2026-09-06,457
results_viewing_completed,2026-09-13,472
results_viewing_completed,2026-09-20,430
results_viewing_completed,2026-09-27,459
bill_pay_completed,2026-09-06,484
bill_pay_completed,2026-09-13,464
bill_pay_completed,2026-09-20,503
bill_pay_completed,2026-09-27,485
onboarding_completed,2026-09-06,547
onboarding_completed,2026-09-13,555
onboarding_completed,2026-09-20,530
onboarding_completed,2026-09-27,557
appointment_booking_step,2026-09-06,889
appointment_booking_step,2026-09-13,891
appointment_booking_step,2026-09-20,923
appointment_booking_step,2026-09-27,960
message_provider_step,2026-09-06,946
message_provider_step,2026-09-13,982
message_provider_step,2026-09-20,935
message_provider_step,2026-09-27,964
prescription_refill_step,2026-09-06,1015
prescription_refill_step,2026-09-13,1077
prescription_refill_step,2026-09-20,1010
prescription_refill_step,2026-09-27,1007
results_viewing_step,2026-09-06,1107
results_viewing_step,2026-09-13,1066
results_viewing_step,2026-09-20,1140
results_viewing_step,2026-09-27,1072
bill_pay_step,2026-09-06,1196
bill_pay_step,2026-09-13,1140
bill_pay_step,2026-09-20,1164
bill_pay_step,2026-09-27,1118
onboarding_step,2026-09-06,1199
onboarding_step,2026-09-13,1222
onboarding_step,2026-09-20,1186
onboarding_step,2026-09-27,1178
active_users_daily,2026-09-01,555
active_users_daily,2026-09-02,577
active_users_daily,2026-09-03,550
active_users_daily,2026-09-04,548
active_users_daily,2026-09-05,590
active_users_daily,2026-09-06,577
active_users_daily,2026-09-07,560
active_users_daily,2026-09-08,582
active_users_daily,2026-09-09,593
active_users_daily,2026-09-10,573
active_users_daily,2026-09-11,569
active_users_daily,2026-09-12,589
active_users_daily,2026-09-13,617
active_users_daily,2026-09-14,615
active_users_daily,2026-09-15,583
active_users_daily,2026-09-16,614
active_users_daily,2026-09-17,603
active_users_daily,2026-09-18,613
active_users_daily,2026-09-19,636
active_users_daily,2026-09-20,611
active_users_daily,2026-09-21,777
active_users_daily,2026-09-22,743
active_users_daily,2026-09-23,783
active_users_daily,2026-09-24,797
active_users_daily,2026-09-25,786
active_users_daily,2026-09-26,774
active_users_daily,2026-09-27,785
active_users_daily,2026-09-28,801
active_users_daily,2026-09-29,793
active_users_daily,2026-09-30,805
active_users_ios,2026-09-06,1394
active_users_ios,2026-09-13,1462
active_users_ios,2026-09-20,1564
active_users_ios,2026-09-27,1836
active_users_android,2026-09-06,1599
active_users_android,2026-09-13,1677
active_users_android,2026-09-20,1794
active_users_android,2026-09-27,2106
active_users_web,2026-09-06,1107
active_users_web,2026-09-13,1161
active_users_web,2026-09-20,1242
active_users_web,2026-09-27,1458
active_users_new,2026-09-06,1558
active_users_new,2026-09-13,1634
active_users_new,2026-09-20,1748
active_users_new,2026-09-27,2052
active_users_returning,2026-09-06,2542
active_users_returning,2026-09-13,2666
active_users_returning,2026-09-20,2852
active_users_returning,2026-09-27,3348
