id,type,name,description,category,variation_id,variation_name,price_amount,currency
cat_ljvv5zm3,ITEM,Item 3fud,desc enx207q1ms,Electrical,var_w8o3o4,Var 3cyv,5498,USD
cat_e6jbo4qa,ITEM,Item 3fig,desc 8bqksig1dy,Electrical,var_fx1uov,Var 4p1j,5963,USD
cat_4ouz3hxh,ITEM,Item e8pw,desc q8rkfycca0,Electrical,var_1y1inm,Var qmzs,8895,USD
cat_fqlutxfv,ITEM,Item j30l,desc h3yw0d5hft,Electrical,var_kfyaxh,Var ietr,1362,USD
cat_5sp4uh79,ITEM,Item i4ll,desc m90gt7x7tr,Electrical,var_bb7hpg,Var k85v,4530,USD
cat_ziz0x4rp,ITEM,Item qggg,desc 9ty9u4obc8,Electrical,var_slio0w,Var ewtj,8952,USD
cat_zhb8my2a,ITEM,Item yuak,desc 0hvmfb3x5n,Electrical,var_t00n85,Var wzbk,6347,USD
cat_x1fym4tq,ITEM,Item 4ur3,desc b01ozz0c6x,Electrical,var_5lz5k1,Var gtyh,8732,USD
cat_0nrldhnr,ITEM,Item hl16,desc tgoh9sx97d,Electrical,var_blv1kz,Var m2x9,2955,USD
cat_jdg16eah,ITEM,Item 8i8o,desc dcqijwgmrm,Electrical,var_psq8p2,Var 0nv2,5624,USD
cat_umft2181,ITEM,Item 2a99,desc v11eerwafz,Electrical,var_y9gj1k,Var 90qk,5900,USD
cat_3gm16utn,ITEM,Item esyi,desc ygv5rx30x5,Electrical,var_5skley,Var c9ze,5929,USD
cat_iatk9jbc,ITEM,Item ey9e,desc j4q4dgryh0,Electrical,var_w4jrpl,Var zgpu,245,USD
cat_ybf8whoc,ITEM,Item hk3l,desc 6w84ca27ig,Electrical,var_0n9j3r,Var oltu,7787,USD
cat_tlgvhecw,ITEM,Item w8o7,desc 317y0x0nrm,Electrical,var_q8g1x1,Var r8lx,7004,USD
cat_ytxrrjnt,ITEM,Item y5b6,desc s2zizw7rlg,Electrical,var_jgei0v,Var uf8u,7681,USD
cat_n4ktq8n6,ITEM,Item kozo,desc qsuu586dq7,Electrical,var_5lqvom,Var iwl8,5105,USD
cat_w7z4c9xg,ITEM,Item ubo0,desc 1ahpyyxw8v,Electrical,var_tbygvq,Var 3dcn,7711,USD
cat_79d3yfr6,ITEM,Item 8rcr,desc mov77v3w7l,Electrical,var_wmgi7e,Var 1xux,6345,USD
cat_alm2tkob,ITEM,Item 6n7x,desc ryjefghegu,Electrical,var_mzvrcc,Var ly65,9809,USD
cat_rnl8smnz,ITEM,Item wzja,desc 0glwe5nukp,Electrical,var_ut1ffd,Var 5q4x,4120,USD
cat_e2fsam3t,ITEM,Item 4cjc,desc 04fclnkrrb,Electrical,var_guz84m,Var kl3q,9969,USD
cat_cu2vicmh,ITEM,Item ns43,desc 89yn6u9u40,Electrical,var_d9i18d,Var wv7p,4514,USD
cat_q2epr7f3,ITEM,Item esao,desc w8rjbg4rj7,Electrical,var_lfirxw,Var s8xm,3673,USD
cat_gcjwehau,ITEM,Item 1esb,desc s8c48hlyuq,Electrical,var_z9nlq5,Var uvdl,4768,USD
cat_5es4xj4i,ITEM,Item 1p6s,desc vj9y617gmq,Electrical,var_v4tgnd,Var kzci,2667,USD
cat_qkudc512,ITEM,Item d9qy,desc gkqg05mwby,Electrical,var_pdlxxc,Var te93,8321,USD
cat_mtvfnbpm,ITEM,Item xciw,desc woqzoq40pj,Electrical,var_o84p22,Var udy7,3223,USD
cat_vroum1kw,ITEM,Item 8ett,desc 5hswq420xt,Electrical,var_3y473i,Var if7m,9318,USD
cat_zzx9uoov,ITEM,Item f8hs,desc ybug3vctkl,Electrical,var_14ambm,Var bydj,9041,USD
cat_b6k30vky,ITEM,Item hgvr,desc q3qqnr71y4,Electrical,var_bcsa4o,Var n4pm,9161,USD
cat_ovtu9a7b,ITEM,Item f3vt,desc h0l0w867xk,Electrical,var_ncib5t,Var c8gi,1231,USD
cat_ftokn9nv,ITEM,Item wv9b,desc 70ww19j58l,Electrical,var_sig49f,Var 0vp6,8483,USD
cat_oqrsy75z,ITEM,Item vcfp,desc q01pqshyrx,Electrical,var_0tug5j,Var 0awk,4628,USD
cat_hxtv3m4o,ITEM,Item t4si,desc pkkv66hu1x,Electrical,var_vysj6n,Var 7qvr,635,USD
cat_lf8sz8kt,ITEM,Item u2rz,desc n2oazk37jq,Electrical,var_83yzdx,Var ahjm,4644,USD
cat_xjpkv7ga,ITEM,Item 07oa,desc spmbgoexdc,Electrical,var_7r7l07,Var g2k7,330,USD
cat_2nkvprgj,ITEM,Item 1c25,desc 0w1lhmikfc,Electrical,var_27ib5i,Var unrc,5483,USD
cat_7mmaom1v,ITEM,Item aogv,desc 69sufuwedd,Electrical,var_p7rtza,Var ur1t,5683,USD
cat_pdycscvv,ITEM,Item 2u9q,desc qwr8mzgblx,Electrical,var_um12xh,Var dbhd,5387,USD
cat_qnntyn80,ITEM,Item snjt,desc ir50fg4hsp,Electrical,var_kbafr2,Var alzr,3411,USD
cat_c80dz44v,ITEM,Item a3go,desc n9qygt7lrx,Electrical,var_jee3x2,Var rg7i,976,USD
cat_xj5crrzs,ITEM,Item 73am,desc 4cnulb33f8,Electrical,var_8bh0yn,Var llku,2782,USD
cat_xltdl2f0,ITEM,Item h6my,desc q8mb1m1xvi,Electrical,var_klwdyx,Var rr67,9439,USD
cat_j5bbf6sz,ITEM,Item w04i,desc 7k4pxi17ld,Electrical,var_45n9jy,Var hj54,3533,USD
cat_6skmdgqw,ITEM,Item r71s,desc xdhqr01gau,Electrical,var_gddbo5,Var h83p,597,USD
cat_98o4a1ea,ITEM,Item 8bqa,desc b7anbe818g,Electrical,var_ylkx9p,Var a1z0,5241,USD
cat_wgfk8vx1,ITEM,Item mycd,desc swcgrjmu4c,Electrical,var_x5r8o2,Var fgyy,3516,USD
cat_ll0dgyy9,ITEM,Item xrlv,desc k0wa4t7mjg,Electrical,var_19a7xq,Var oubr,2890,USD
cat_quxnkc1e,ITEM,Item kl4n,desc lml6jadl0e,Electrical,var_kjouqz,Var h283,572,USD
cat_mnm4orho,ITEM,Item 4dbf,desc ub5vp1ry4o,Electrical,var_qw681u,Var jy9u,3882,USD
cat_decyfytj,ITEM,Item uesj,desc 2lscmyg0sl,Electrical,var_oho477,Var gzlr,8423,USD
cat_5okntads,ITEM,Item argt,desc f6g0qsc6gl,Electrical,var_w3uuua,Var 6uhv,9260,USD
cat_z6hdjk0s,ITEM,Item xv2t,desc 6gtdn721kq,Electrical,var_uz2dpy,Var jng8,5806,USD
cat_nm7vbbqw,ITEM,Item 66ij,desc 452ocntmi8,Electrical,var_0e9yon,Var wp2j,2491,USD
cat_pbx1pvlh,ITEM,Item imfa,desc a6tldd7hos,Electrical,var_2urwpm,Var h7x5,8261,USD
cat_2yw05aje,ITEM,Item mhv1,desc jvnowb49k2,Electrical,var_tzsr9g,Var btdi,2829,USD
cat_njbnxspl,ITEM,Item lg3b,desc 0qxu2rfjbm,Electrical,var_ettmwx,Var jus8,3464,USD
cat_mnmridt6,ITEM,Item wpv5,desc pine00idms,Electrical,var_muz6bg,Var w4t7,1094,USD
cat_zl6gshne,ITEM,Item j4i6,desc l9kzhbilwh,Electrical,var_usx4f3,Var kb42,841,USD
cat_m3p7rn0u,ITEM,Item ombr,desc ipnwt6blgz,Electrical,var_0m6rbf,Var 7ojt,2117,USD
