id,customer_id,location_id,line_items,total_amount,currency,state,created_at
sq_ord_v9jyarfs,sq_cus_drnrhd,loc_tt7l,item_ex7t,18964,USD,OPEN,2026-02-13T17:19:00
sq_ord_07l93g4b,sq_cus_m9m1iq,loc_fo2i,item_8ns2,26572,USD,COMPLETED,2025-06-18T15:41:00
sq_ord_gn32iig7,sq_cus_tlu3gm,loc_73g3,item_fnmk,27480,USD,COMPLETED,2025-07-11T15:22:00
sq_ord_ttwisucl,sq_cus_vip8d2,loc_g7za,item_5bu7,2239,USD,COMPLETED,2026-02-03T21:08:00
sq_ord_mimgjku6,sq_cus_zgt6yd,loc_vvov,item_hkv2,26476,USD,OPEN,2025-05-15T01:43:00
sq_ord_6d820ruf,sq_cus_zgdqh9,loc_3e9s,item_893z,605,USD,OPEN,2025-06-08T11:22:00
sq_ord_2xwuh5yl,sq_cus_mcdlch,loc_ue5l,item_q7z7,28310,USD,OPEN,2025-07-11T13:28:00
sq_ord_3kte2k12,sq_cus_o052f2,loc_rdy0,item_jysm,19756,USD,COMPLETED,2025-01-28T08:45:00
sq_ord_8ch5vzj7,sq_cus_pjo45k,loc_vkrc,item_etww,8835,USD,COMPLETED,2025-02-04T09:03:00
sq_ord_0m5z3fjw,sq_cus_6mf4zv,loc_gc4h,item_fjqg,19692,USD,OPEN,2026-02-08T04:01:00
sq_ord_0bexq5ug,sq_cus_cl3r1x,loc_je37,item_z0wd,27645,USD,OPEN,2025-01-16T11:26:00
sq_ord_kvj273e0,sq_cus_l1jq9l,loc_trsc,item_99a1,13376,USD,COMPLETED,2025-01-13T17:24:00
sq_ord_p3nmjtng,sq_cus_3mu1rw,loc_8zjy,item_h2ws,864,USD,OPEN,2026-04-30T04:34:00
sq_ord_lkgggts4,sq_cus_sts6m4,loc_hfdt,item_zop8,25017,USD,COMPLETED,2025-10-17T09:43:00
sq_ord_6jh60xev,sq_cus_tyazuo,loc_qey0,item_h73a,5070,USD,OPEN,2025-06-24T00:37:00
sq_ord_iw4jz6tn,sq_cus_sq8irr,loc_o8uj,item_fx9y,4637,USD,OPEN,2025-04-07T00:25:00
sq_ord_32p8kuzr,sq_cus_7tgzdi,loc_mlgs,item_r8rg,14122,USD,OPEN,2025-06-11T01:08:00
sq_ord_5c0rjeyb,sq_cus_awd0vb,loc_kpoh,item_4ilw,12272,USD,OPEN,2026-09-17T07:29:00
sq_ord_nfvel1te,sq_cus_ioaoet,loc_2h9z,item_lro4,1785,USD,OPEN,2025-05-07T11:57:00
sq_ord_77ky9509,sq_cus_tg9vsp,loc_de15,item_3ref,23394,USD,COMPLETED,2026-02-03T02:26:00
sq_ord_81e3cj30,sq_cus_6apryn,loc_6z3p,item_iht7,19884,USD,COMPLETED,2026-07-14T23:13:00
sq_ord_13jor2s4,sq_cus_vmwjil,loc_od4z,item_jn34,18293,USD,COMPLETED,2025-07-19T06:36:00
sq_ord_5z9xrn1h,sq_cus_drh8ly,loc_ij5o,item_cl54,22938,USD,OPEN,2026-04-05T07:55:00
sq_ord_irlww349,sq_cus_z4soq6,loc_r13b,item_84n5,15333,USD,OPEN,2025-11-14T14:20:00
sq_ord_mck14hw4,sq_cus_2vq62t,loc_2jr8,item_2a4y,24640,USD,OPEN,2026-07-01T04:45:00
sq_ord_ov0d8bxc,sq_cus_tdry6p,loc_eidr,item_6zd3,5789,USD,COMPLETED,2025-04-26T04:06:00
sq_ord_reeh0pdd,sq_cus_9lw2nt,loc_97vv,item_ax7d,23470,USD,COMPLETED,2025-11-18T12:11:00
sq_ord_8qa64hyb,sq_cus_b1lu9p,loc_ffjq,item_fj0p,18569,USD,COMPLETED,2026-03-29T10:49:00
sq_ord_80h82vkp,sq_cus_h0sube,loc_d3lj,item_px6z,15434,USD,COMPLETED,2025-11-14T02:44:00
sq_ord_eiytc2qv,sq_cus_69ggum,loc_0arq,item_2i7b,8983,USD,COMPLETED,2025-11-15T18:28:00
sq_ord_yw7icdpj,sq_cus_mxg2uw,loc_f23f,item_2ruk,18145,USD,COMPLETED,2026-03-15T01:47:00
sq_ord_syidt8ro,sq_cus_injnbi,loc_hcae,item_4sc0,29985,USD,OPEN,2025-02-08T19:19:00
sq_ord_3dqdnrkr,sq_cus_i68xw3,loc_zwac,item_4w6x,14557,USD,OPEN,2026-01-23T04:44:00
sq_ord_m5act9gj,sq_cus_kdmlo3,loc_t29e,item_2o5n,13047,USD,OPEN,2026-05-04T10:37:00
