Date	Gross sales	Refunds	Net sales	Card	Cash	Transactions	Avg ticket
2026-01-02	3982.40	18.00	3964.40	3110.20	854.20	146	27.15
2026-01-03	4510.75	0.00	4510.75	3680.10	830.65	162	27.84
2026-01-04	5120.30	42.50	5077.80	4205.00	872.80	181	28.05
2026-01-06	3640.10	0.00	3640.10	2980.40	659.70	132	27.58
2026-01-09	4880.55	25.00	4855.55	4010.20	845.35	174	27.91
2026-01-10	6204.20	60.00	6144.20	5120.40	1023.80	210	29.26
2026-01-11	5910.25	0.00	5910.25	4880.10	1030.15	201	29.40
2026-01-16	5002.75	30.00	4972.75	4110.50	862.25	178	27.94
2026-01-17	6410.40	48.00	6362.40	5240.00	1122.40	214	29.73
2026-01-23	4742.56	0.00	4742.56	3905.20	837.36	169	28.06
2026-01-24	6205.50	55.00	6150.50	5090.30	1060.20	208	29.57
2026-01-30	4520.00	20.00	4500.00	3702.10	797.90	160	28.13
2026-01-31	5880.45	0.00	5880.45	4840.60	1039.85	199	29.55
