Artist	Album Title	Label	Year Pressed	Condition	Purchase Price (ZAR)	Purchase Date	Location
Celia Cruz	La Reina del Ritmo Cubano	Tico Records	1966 (repress 2002)	Very Good Plus	480	12 Jan 2026	Kagiso's place
Buena Vista Social Club	Buena Vista Social Club	World Circuit	1997	Excellent	520	12 Jan 2026	Kagiso's place
Ibrahim Ferrer	Buena Vista Social Club Presents Ibrahim Ferrer	World Circuit	1999	Very Good	360	15 Jan 2026	Kagiso's place
Tito Puente	Dance Mania	RCA Victor	1958 (repress 2019)	Excellent	440	28 Jan 2026	Kagiso's place
Omara Portuondo	Gracias	World Circuit	2011	Excellent	390	28 Jan 2026	Kagiso's place
Joe Arroyo	Rebellion	Discos Fuentes	1986 (repress 2018)	Very Good	410	2 Feb 2026	Kagiso's place
Herbie Hancock	Head Hunters	Columbia	1973 (repress 2014)	Very Good Plus	520	10 Feb 2026	Kagiso's place
Erykah Badu	Mama's Gun	Motown	2000	Excellent	490	10 Feb 2026	Kagiso's place
Solange	A Seat at the Table	Columbia	2016	Excellent	540	20 Feb 2026	Kagiso's place
Fatoumata Diawara	Fatou	World Circuit	2011	Very Good Plus	380	20 Feb 2026	Kagiso's place
Miriam Makeba	The Guinea Years	Sterns African	1988 (repress 2016)	Very Good	350	25 Feb 2026	Kagiso's place
