account_id,code,name,type,tax_type,status,description,enable_payments_to_account
fcfe0721-9f4f-69bd-49d5-f43edca38fd5,200,Honey Sales,REVENUE,OUTPUT2,ACTIVE,Wholesale and retail honey revenue,false
7f2f13ad-b4b4-e888-4da6-8f095f84fcdc,210,Market Sales,REVENUE,OUTPUT2,ACTIVE,Farmers market booth and stand sales,false
a1c93e44-2b71-4f08-91d2-6e0d7c4b8a31,220,Beeswax and Hive Products,REVENUE,OUTPUT2,ACTIVE,"Beeswax, candles and hive product sales",false
c5d8f102-7e34-4a96-83b1-2f9a6d0c47e8,260,Pollination Income,REVENUE,OUTPUT2,ACTIVE,Pollination service and other income,false
8ae2dbc2-3c19-2085-4c9a-975131283cd9,310,Cost of Goods Sold,EXPENSE,INPUT2,ACTIVE,"Jars, lids, labels and wax cost of goods sold",false
11f157cf-08f4-4c9b-4b70-9ec5a3e661a5,320,Packaging,EXPENSE,INPUT2,ACTIVE,"Glass jars, lids and bottling packaging",false
2e7b9a16-4d52-4c83-9a07-1b6f8e2d5c90,330,Extraction Supplies,EXPENSE,INPUT2,ACTIVE,"Frames, foundation and extraction consumables",false
9f0c3d27-6a18-4e75-82b4-3c5d7e9f1a62,340,Beekeeping Supplies,EXPENSE,INPUT2,ACTIVE,"Hive bodies, supers, tools and protective gear",false
6b1e4f83-9c27-4a60-81d5-7e2a9c4d0f38,350,Equipment Purchases,EXPENSE,INPUT2,ACTIVE,"Extractors, smokers and durable equipment",false
d197f79b-c7bf-69b9-4991-2b87c0af4021,404,Bank Fees,EXPENSE,INPUT2,ACTIVE,Bank and merchant processing fees,false
3c8a5e91-7b04-4d29-9f63-1a8c6e2b4d70,410,Booth and Market Fees,EXPENSE,INPUT2,ACTIVE,Farmers market booth and vendor stall fees,false
7a2d6c40-1f95-4b83-8e07-9d3b5a1c2f64,415,Guild Dues,EXPENSE,INPUT2,ACTIVE,Beekeeping guild and association dues,false
4e9b1a37-8c62-4d05-91f8-2a7c6e3d5b09,420,Insurance,EXPENSE,INPUT2,ACTIVE,"Apiary, vehicle and product liability insurance",false
1d5c8e26-3a74-4f91-82b6-7e9d0c4a1f53,430,Mileage,EXPENSE,INPUT2,ACTIVE,Vehicle mileage to apiaries and markets,false
8f3a0d19-5b46-4c82-9170-3e6c8a2d7b41,440,Hive Health and Feed,EXPENSE,INPUT2,ACTIVE,"Treatments, supplemental feed and sugar",false
5c2e7b84-9d31-4a06-8f95-1b7a6c3d0e28,485,General Expenses,EXPENSE,INPUT2,ACTIVE,Miscellaneous operating expenses,false
7d576175-e59d-6696-4ee0-6ccdcd7e0a3d,610,Accounts Receivable,CURRENT,NONE,ACTIVE,Outstanding wholesale honey receivables,false
2b9d4f60-7c18-4e35-81a9-6d3c5b2a0f47,630,Honey Inventory,CURRENT,NONE,ACTIVE,Bottled and bulk honey held for sale,false
9e1c6a35-4b82-4d70-83f6-2a7d8c1b5e09,640,Packaging Inventory,CURRENT,NONE,ACTIVE,"Jars, labels and packaging stock on hand",false
01a2fef6-5548-42bd-4472-4c23a465e731,800,Accounts Payable,CURRLIAB,NONE,ACTIVE,Outstanding supplier bills payable,false
6f0b3d28-1a57-4c94-82e1-7b6d9c4a3f50,820,Sales Tax Payable,CURRLIAB,NONE,ACTIVE,Sales tax collected and payable,false
580e1fc9-9ed5-0d88-49e6-b4312aba6afb,090,Business Bank Account,BANK,NONE,ACTIVE,Honey business operating account,true
