Item	Brand	Specification	Qty	Unit Price	Line Total	Use
Cold press paper pad	Arches	9x12 in, 140 lb	3	18.95	56.85	Studio and client sessions
Watercolor tube set	Winsor and Newton	12 colors	1	42.50	42.50	Palette refresh
Round brushes	Princeton	Sizes 4, 6, 8	3	9.25	27.75	Lily and clients
Flat wash brush	Princeton	1 inch	2	11.00	22.00	Wet on wet washes
Ceramic mixing palette	Mijello	18 well	1	16.50	16.50	Color mixing
Masking fluid	Pebeo	75 ml	1	12.95	12.95	Resist technique
Water cups set	generic	non spill, 4 pack	1	8.50	8.50	Client table
Subtotal					187.05	
WA sales tax 10.3%					19.27	
Order total					206.32	
