country,deviceCategory,unifiedScreenName,activeUsers,eventCount
US,mobile,Appointment Booking,29,90
US,mobile,Message Your Provider,19,43
US,mobile,Prescription Refills,4,107
US,mobile,Results Viewing,40,48
US,mobile,Bill Pay,5,53
US,mobile,Onboarding First Run,40,117
US,desktop,Appointment Booking,30,90
US,desktop,Message Your Provider,35,51
US,desktop,Prescription Refills,8,47
US,desktop,Results Viewing,34,72
US,desktop,Bill Pay,10,112
US,desktop,Onboarding First Run,7,14
US,tablet,Appointment Booking,21,38
US,tablet,Message Your Provider,25,23
US,tablet,Prescription Refills,12,70
US,tablet,Results Viewing,23,44
US,tablet,Bill Pay,19,23
US,tablet,Onboarding First Run,6,94
CA,mobile,Appointment Booking,5,44
CA,mobile,Message Your Provider,37,38
CA,mobile,Prescription Refills,17,47
CA,mobile,Results Viewing,27,27
CA,mobile,Bill Pay,32,94
CA,mobile,Onboarding First Run,24,105
CA,desktop,Appointment Booking,19,50
CA,desktop,Message Your Provider,26,12
CA,desktop,Prescription Refills,18,51
CA,desktop,Results Viewing,12,66
CA,desktop,Bill Pay,26,67
CA,desktop,Onboarding First Run,40,7
CA,tablet,Appointment Booking,35,42
CA,tablet,Message Your Provider,3,14
CA,tablet,Prescription Refills,14,21
CA,tablet,Results Viewing,29,54
CA,tablet,Bill Pay,37,73
CA,tablet,Onboarding First Run,21,72
GB,mobile,Appointment Booking,3,42
GB,mobile,Message Your Provider,16,67
GB,mobile,Prescription Refills,39,21
GB,mobile,Results Viewing,21,77
GB,mobile,Bill Pay,12,78
GB,mobile,Onboarding First Run,10,61
GB,desktop,Appointment Booking,9,39
GB,desktop,Message Your Provider,5,61
GB,desktop,Prescription Refills,38,55
GB,desktop,Results Viewing,35,51
GB,desktop,Bill Pay,18,29
GB,desktop,Onboarding First Run,14,60
GB,tablet,Appointment Booking,36,117
GB,tablet,Message Your Provider,31,93
GB,tablet,Prescription Refills,36,109
GB,tablet,Results Viewing,22,93
GB,tablet,Bill Pay,26,47
GB,tablet,Onboarding First Run,35,74
AU,mobile,Appointment Booking,1,8
AU,mobile,Message Your Provider,15,73
AU,mobile,Prescription Refills,39,44
AU,mobile,Results Viewing,10,7
AU,mobile,Bill Pay,31,78
AU,mobile,Onboarding First Run,11,57
AU,desktop,Appointment Booking,12,62
AU,desktop,Message Your Provider,20,53
AU,desktop,Prescription Refills,20,10
AU,desktop,Results Viewing,26,62
AU,desktop,Bill Pay,39,100
AU,desktop,Onboarding First Run,10,62
AU,tablet,Appointment Booking,5,77
AU,tablet,Message Your Provider,19,36
AU,tablet,Prescription Refills,12,62
AU,tablet,Results Viewing,14,5
AU,tablet,Bill Pay,1,48
AU,tablet,Onboarding First Run,32,113
IN,mobile,Appointment Booking,30,116
IN,mobile,Message Your Provider,24,70
IN,mobile,Prescription Refills,7,115
IN,mobile,Results Viewing,8,19
IN,mobile,Bill Pay,25,112
IN,mobile,Onboarding First Run,29,51
IN,desktop,Appointment Booking,19,118
IN,desktop,Message Your Provider,21,30
IN,desktop,Prescription Refills,38,16
IN,desktop,Results Viewing,15,102
IN,desktop,Bill Pay,5,93
IN,desktop,Onboarding First Run,33,83
IN,tablet,Appointment Booking,33,27
IN,tablet,Message Your Provider,2,48
IN,tablet,Prescription Refills,39,112
IN,tablet,Results Viewing,15,9
IN,tablet,Bill Pay,31,39
IN,tablet,Onboarding First Run,36,67
DE,mobile,Appointment Booking,8,39
DE,mobile,Message Your Provider,25,102
DE,mobile,Prescription Refills,23,119
DE,mobile,Results Viewing,29,120
DE,mobile,Bill Pay,18,116
DE,mobile,Onboarding First Run,24,105
DE,desktop,Appointment Booking,10,95
DE,desktop,Message Your Provider,33,59
DE,desktop,Prescription Refills,21,11
DE,desktop,Results Viewing,36,67
DE,desktop,Bill Pay,40,74
DE,desktop,Onboarding First Run,20,89
DE,tablet,Appointment Booking,18,24
DE,tablet,Message Your Provider,10,10
DE,tablet,Prescription Refills,26,10
DE,tablet,Results Viewing,35,21
DE,tablet,Bill Pay,12,62
DE,tablet,Onboarding First Run,15,84
MX,mobile,Appointment Booking,15,119
MX,mobile,Message Your Provider,13,107
MX,mobile,Prescription Refills,1,37
MX,mobile,Results Viewing,7,57
MX,mobile,Bill Pay,23,21
MX,mobile,Onboarding First Run,11,77
MX,desktop,Appointment Booking,32,29
MX,desktop,Message Your Provider,16,4
MX,desktop,Prescription Refills,12,89
MX,desktop,Results Viewing,36,100
MX,desktop,Bill Pay,25,78
MX,desktop,Onboarding First Run,4,33
MX,tablet,Appointment Booking,31,68
MX,tablet,Message Your Provider,4,59
MX,tablet,Prescription Refills,37,61
MX,tablet,Results Viewing,9,87
MX,tablet,Bill Pay,38,102
MX,tablet,Onboarding First Run,26,48
