Date	Herb	Activity	Notes
2025-04-12	Basil	Seeded	Genovese, two rows along the south fence
2025-04-12	Rosemary	Transplanted	Moved the potted plant back outside after winter
2025-04-26	Thyme	Divided	Split the old clump into three
2025-05-10	Lavender	Pruned	Cut back the woody stems before new growth
2025-06-07	Basil	Harvested	First cutting, made pesto for Sunday dinner
2025-07-19	Thyme	Harvested	Dried two bunches in the garage office window
2025-08-23	Rosemary	Harvested	Sprigs for the pot roast
2025-09-13	Lavender	Harvested	Bundled for the china cabinet drawers
2025-10-18	Basil	Pulled	End of season, saved seed from two plants
2025-11-01	Rosemary	Moved indoors	Back to the kitchen windowsill for winter
2026-02-15	Basil	Started indoors	Seed tray on the office shelf, testing an early start
