group_id,user_id
grp-clinical,okta-greg
grp-22,okta-2239
grp-6,okta-2015
grp-25,okta-2379
grp-23,okta-2108
grp-6,okta-2170
grp-16,okta-2324
grp-13,okta-2038
grp-21,okta-2350
grp-12,okta-2232
grp-15,okta-2051
grp-16,okta-2202
grp-17,okta-2009
grp-7,okta-2065
grp-27,okta-2322
grp-2,okta-2358
grp-23,okta-2293
grp-7,okta-2138
grp-5,okta-2206
grp-16,okta-2296
grp-25,okta-2221
grp-18,okta-2064
grp-17,okta-2231
grp-19,okta-2239
grp-17,okta-2162
grp-24,okta-2215
grp-9,okta-2203
grp-25,okta-2344
grp-12,okta-2366
grp-12,okta-2086
grp-13,okta-2220
grp-8,okta-2189
grp-27,okta-2287
grp-22,okta-2286
grp-26,okta-2168
grp-26,okta-2341
grp-12,okta-2156
grp-5,okta-2000
grp-24,okta-2312
grp-9,okta-2065
grp-14,okta-2020
grp-5,okta-2108
grp-26,okta-2177
grp-11,okta-2220
grp-10,okta-2068
grp-1,okta-2236
grp-21,okta-2136
grp-3,okta-2325
grp-24,okta-2126
grp-10,okta-2324
grp-25,okta-2303
grp-0,okta-2367
grp-8,okta-2122
grp-6,okta-2025
grp-26,okta-2146
grp-13,okta-2112
grp-20,okta-2380
grp-0,okta-2086
grp-11,okta-2367
grp-15,okta-2087
grp-12,okta-2357
grp-0,okta-2374
grp-19,okta-2276
grp-18,okta-2108
grp-28,okta-2097
grp-1,okta-2299
grp-23,okta-2040
grp-22,okta-2055
grp-8,okta-2031
grp-13,okta-2055
grp-14,okta-2341
grp-12,okta-2162
grp-24,okta-2017
grp-25,okta-2036
grp-1,okta-2108
grp-2,okta-2289
grp-21,okta-2175
grp-1,okta-2289
grp-11,okta-2150
grp-5,okta-2114
grp-13,okta-2101
grp-16,okta-2083
grp-1,okta-2099
grp-0,okta-2014
grp-23,okta-2071
grp-15,okta-2070
grp-22,okta-2162
grp-20,okta-2135
grp-8,okta-2070
grp-1,okta-2009
grp-4,okta-2111
grp-21,okta-2050
grp-clinical,okta-2167
grp-13,okta-2136
grp-8,okta-2094
grp-28,okta-2078
grp-21,okta-2066
grp-11,okta-2372
grp-20,okta-2001
grp-14,okta-2356
grp-15,okta-2016
grp-2,okta-2384
grp-18,okta-2189
grp-21,okta-2152
grp-1,okta-2316
grp-21,okta-2238
grp-9,okta-greg
grp-20,okta-2301
grp-27,okta-2343
grp-14,okta-2361
grp-4,okta-2370
grp-12,okta-2296
grp-3,okta-2372
grp-5,okta-2311
grp-13,okta-2085
grp-26,okta-2240
grp-9,okta-2117
grp-1,okta-2115
grp-9,okta-2123
grp-9,okta-2346
grp-12,okta-2343
grp-23,okta-2318
grp-23,okta-2118
grp-2,okta-2383
grp-3,okta-2305
grp-13,okta-2263
grp-6,okta-2011
grp-19,okta-2124
grp-23,okta-2316
grp-19,okta-2152
grp-25,okta-2158
grp-13,okta-2142
grp-5,okta-2299
grp-10,okta-2071
grp-0,okta-2205
grp-20,okta-2257
grp-21,okta-2030
grp-26,okta-2379
grp-2,okta-2360
grp-1,okta-2123
grp-24,okta-2298
grp-25,okta-2327
grp-20,okta-2362
grp-3,okta-2172
grp-9,okta-2115
grp-25,okta-2070
grp-17,okta-2147
grp-9,okta-2238
grp-14,okta-2297
grp-10,okta-2249
grp-4,okta-2220
grp-18,okta-2086
grp-15,okta-2208
grp-1,okta-2330
grp-20,okta-2322
grp-17,okta-2353
grp-7,okta-2306
grp-9,okta-2088
grp-1,okta-2323
grp-18,okta-2361
grp-8,okta-2097
grp-18,okta-2015
grp-1,okta-2038
grp-16,okta-2339
grp-5,okta-2337
grp-10,okta-2304
grp-0,okta-2297
grp-4,okta-2392
grp-6,okta-2209
grp-clinical,okta-2080
grp-27,okta-2060
grp-5,okta-2308
grp-6,okta-2221
grp-26,okta-2141
grp-27,okta-greg
grp-23,okta-2034
grp-23,okta-2339
grp-10,okta-2304
grp-26,okta-2121
grp-26,okta-2182
grp-17,okta-2102
grp-12,okta-2103
grp-22,okta-2205
grp-7,okta-2076
grp-25,okta-2181
grp-14,okta-2133
grp-14,okta-2314
grp-5,okta-2225
grp-17,okta-2093
grp-2,okta-2055
grp-10,okta-2326
grp-19,okta-2279
grp-clinical,okta-2323
grp-11,okta-2021
grp-5,okta-2184
grp-5,okta-2138
grp-9,okta-2011
grp-16,okta-2195
grp-2,okta-2394
grp-27,okta-2334
grp-24,okta-2351
