app_id,user_id,scope
okta-app-0,okta-greg,USER
okta-app-1,okta-greg,USER
okta-app-2,okta-greg,USER
okta-app-3,okta-greg,USER
okta-app-4,okta-greg,USER
okta-app-5,okta-greg,USER
okta-app-6,okta-greg,USER
okta-app-7,okta-greg,USER
okta-app-8,okta-greg,USER
okta-app-9,okta-greg,USER
okta-app-10,okta-greg,USER
okta-app-11,okta-greg,USER
okta-app-19,okta-2221,USER
okta-app-34,okta-2058,USER
okta-app-31,okta-2266,USER
okta-app-27,okta-2204,USER
okta-app-21,okta-2288,USER
okta-app-27,okta-2073,USER
okta-app-34,okta-2126,USER
okta-app-16,okta-2115,USER
okta-app-20,okta-2165,USER
okta-app-9,okta-2286,USER
okta-app-24,okta-2316,USER
okta-app-36,okta-2375,USER
okta-app-32,okta-2284,USER
okta-app-4,okta-2251,USER
okta-app-25,okta-2125,USER
okta-app-13,okta-2169,USER
okta-app-7,okta-2290,USER
okta-app-8,okta-2225,USER
okta-app-3,okta-2065,USER
okta-app-29,okta-2301,USER
okta-app-19,okta-2198,USER
okta-app-25,okta-2138,USER
okta-app-28,okta-2325,USER
okta-app-28,okta-2084,USER
okta-app-18,okta-2322,USER
okta-app-9,okta-2398,USER
okta-app-18,okta-2217,USER
okta-app-30,okta-2116,USER
okta-app-4,okta-2231,USER
okta-app-3,okta-2322,USER
okta-app-28,okta-2097,USER
okta-app-19,okta-2376,USER
okta-app-23,okta-2384,USER
okta-app-32,okta-2175,USER
okta-app-2,okta-2296,USER
okta-app-19,okta-2054,USER
okta-app-36,okta-2310,USER
okta-app-26,okta-2387,USER
okta-app-10,okta-2352,USER
okta-app-38,okta-2134,USER
okta-app-4,okta-2196,USER
okta-app-1,okta-2040,USER
okta-app-14,okta-2011,USER
okta-app-5,okta-2295,USER
okta-app-33,okta-2112,USER
okta-app-21,okta-2278,USER
okta-app-4,okta-2147,USER
okta-app-0,okta-2267,USER
okta-app-6,okta-2100,USER
okta-app-28,okta-2006,USER
okta-app-23,okta-2396,USER
okta-app-7,okta-2040,USER
okta-app-26,okta-2327,USER
okta-app-31,okta-2288,USER
okta-app-29,okta-2037,USER
okta-app-10,okta-2149,USER
okta-app-30,okta-2268,USER
okta-app-31,okta-2269,USER
okta-app-37,okta-2210,USER
okta-app-12,okta-2127,USER
okta-app-28,okta-2282,USER
okta-app-1,okta-2269,USER
okta-app-14,okta-2041,USER
okta-app-12,okta-2039,USER
okta-app-ceu-legacy,okta-2301,USER
okta-app-25,okta-2374,USER
okta-app-23,okta-2278,USER
okta-app-21,okta-2254,USER
okta-app-16,okta-2269,USER
okta-app-15,okta-2043,USER
okta-app-30,okta-2304,USER
okta-app-1,okta-2297,USER
okta-app-35,okta-2090,USER
okta-app-38,okta-2380,USER
okta-app-24,okta-2050,USER
okta-app-3,okta-2358,USER
okta-app-14,okta-2340,USER
okta-app-28,okta-2195,USER
okta-app-21,okta-2135,USER
okta-app-25,okta-2262,USER
okta-app-20,okta-2052,USER
okta-app-0,okta-2235,USER
okta-app-33,okta-2379,USER
okta-app-5,okta-2195,USER
okta-app-11,okta-2263,USER
okta-app-14,okta-2009,USER
okta-app-14,okta-2200,USER
okta-app-6,okta-2254,USER
okta-app-24,okta-2129,USER
okta-app-15,okta-2369,USER
okta-app-31,okta-2359,USER
okta-app-4,okta-2079,USER
okta-app-27,okta-2072,USER
okta-app-11,okta-2080,USER
okta-app-4,okta-2126,USER
okta-app-33,okta-2371,USER
okta-app-1,okta-2146,USER
okta-app-16,okta-2259,USER
okta-app-9,okta-2266,USER
okta-app-8,okta-2396,USER
okta-app-17,okta-2200,USER
okta-app-33,okta-2052,USER
okta-app-16,okta-2285,USER
okta-app-26,okta-2070,USER
okta-app-17,okta-2061,USER
okta-app-3,okta-2263,USER
okta-app-27,okta-2200,USER
okta-app-24,okta-2068,USER
okta-app-5,okta-2388,USER
okta-app-2,okta-2304,USER
okta-app-1,okta-2043,USER
okta-app-9,okta-2361,USER
okta-app-14,okta-2381,USER
okta-app-25,okta-2104,USER
okta-app-21,okta-2219,USER
okta-app-21,okta-2307,USER
okta-app-21,okta-2198,USER
okta-app-33,okta-2064,USER
okta-app-17,okta-2132,USER
okta-app-14,okta-2238,USER
okta-app-35,okta-2015,USER
okta-app-36,okta-2126,USER
okta-app-29,okta-2329,USER
okta-app-27,okta-2160,USER
okta-app-6,okta-2388,USER
okta-app-16,okta-2185,USER
okta-app-38,okta-2290,USER
okta-app-6,okta-2312,USER
okta-app-35,okta-2049,USER
okta-app-22,okta-2334,USER
okta-app-18,okta-2255,USER
okta-app-5,okta-2309,USER
okta-app-14,okta-2056,USER
okta-app-25,okta-2095,USER
okta-app-34,okta-2094,USER
okta-app-19,okta-2175,USER
okta-app-18,okta-2223,USER
okta-app-6,okta-2135,USER
okta-app-20,okta-2094,USER
okta-app-25,okta-2031,USER
okta-app-34,okta-2372,USER
okta-app-11,okta-2103,USER
okta-app-25,okta-2356,USER
okta-app-38,okta-2311,USER
okta-app-1,okta-2369,USER
okta-app-14,okta-2374,USER
okta-app-17,okta-2387,USER
okta-app-27,okta-2184,USER
okta-app-31,okta-2091,USER
okta-app-12,okta-2095,USER
okta-app-ceu-legacy,okta-2007,USER
okta-app-21,okta-2268,USER
okta-app-16,okta-2004,USER
okta-app-28,okta-2071,USER
okta-app-33,okta-2141,USER
okta-app-31,okta-2197,USER
okta-app-35,okta-2250,USER
okta-app-9,okta-2237,USER
okta-app-11,okta-2112,USER
okta-app-27,okta-2204,USER
okta-app-24,okta-2295,USER
okta-app-34,okta-2155,USER
okta-app-36,okta-2238,USER
okta-app-9,okta-2193,USER
okta-app-14,okta-2000,USER
okta-app-29,okta-2369,USER
okta-app-19,okta-2084,USER
okta-app-15,okta-2306,USER
okta-app-2,okta-2206,USER
okta-app-26,okta-2370,USER
okta-app-4,okta-2100,USER
okta-app-29,okta-2047,USER
okta-app-17,okta-2337,USER
okta-app-18,okta-2375,USER
okta-app-22,okta-2019,USER
okta-app-15,okta-2076,USER
okta-app-4,okta-2387,USER
okta-app-15,okta-2368,USER
okta-app-16,okta-2391,USER
okta-app-38,okta-2127,USER
okta-app-27,okta-2203,USER
okta-app-29,okta-2007,USER
okta-app-11,okta-2250,USER
okta-app-4,okta-2072,USER
okta-app-8,okta-2214,USER
okta-app-14,okta-2051,USER
okta-app-14,okta-2195,USER
okta-app-26,okta-2285,USER
okta-app-6,okta-2314,USER
okta-app-37,okta-2349,USER
okta-app-25,okta-2031,USER
okta-app-9,okta-2396,USER
okta-app-13,okta-2254,USER
okta-app-7,okta-2201,USER
okta-app-9,okta-2385,USER
okta-app-6,okta-2135,USER
okta-app-13,okta-2297,USER
okta-app-7,okta-2369,USER
okta-app-19,okta-2161,USER
okta-app-9,okta-2029,USER
