id,name,label,status,sign_on_mode,created
okta-app-ceu-legacy,ceu_legacy_portal,CEU Legacy Portal,ACTIVE,SAML_2_0,2021-01-01
okta-app-0,app_0,App 0,ACTIVE,SAML_2_0,2021-01-01
okta-app-1,app_1,App 1,ACTIVE,SAML_2_0,2021-01-01
okta-app-2,app_2,App 2,ACTIVE,SAML_2_0,2021-01-01
okta-app-3,app_3,App 3,ACTIVE,SAML_2_0,2021-01-01
okta-app-4,app_4,App 4,ACTIVE,SAML_2_0,2021-01-01
okta-app-5,app_5,App 5,ACTIVE,SAML_2_0,2021-01-01
okta-app-6,app_6,App 6,ACTIVE,SAML_2_0,2021-01-01
okta-app-7,app_7,App 7,ACTIVE,SAML_2_0,2021-01-01
okta-app-8,app_8,App 8,ACTIVE,SAML_2_0,2021-01-01
okta-app-9,app_9,App 9,ACTIVE,SAML_2_0,2021-01-01
okta-app-10,app_10,App 10,ACTIVE,SAML_2_0,2021-01-01
okta-app-11,app_11,App 11,ACTIVE,SAML_2_0,2021-01-01
okta-app-12,app_12,App 12,ACTIVE,SAML_2_0,2021-01-01
okta-app-13,app_13,App 13,ACTIVE,SAML_2_0,2021-01-01
okta-app-14,app_14,App 14,ACTIVE,SAML_2_0,2021-01-01
okta-app-15,app_15,App 15,ACTIVE,SAML_2_0,2021-01-01
okta-app-16,app_16,App 16,ACTIVE,SAML_2_0,2021-01-01
okta-app-17,app_17,App 17,ACTIVE,SAML_2_0,2021-01-01
okta-app-18,app_18,App 18,ACTIVE,SAML_2_0,2021-01-01
okta-app-19,app_19,App 19,ACTIVE,SAML_2_0,2021-01-01
okta-app-20,app_20,App 20,ACTIVE,SAML_2_0,2021-01-01
okta-app-21,app_21,App 21,ACTIVE,SAML_2_0,2021-01-01
okta-app-22,app_22,App 22,ACTIVE,SAML_2_0,2021-01-01
okta-app-23,app_23,App 23,ACTIVE,SAML_2_0,2021-01-01
okta-app-24,app_24,App 24,ACTIVE,SAML_2_0,2021-01-01
okta-app-25,app_25,App 25,ACTIVE,SAML_2_0,2021-01-01
okta-app-26,app_26,App 26,ACTIVE,SAML_2_0,2021-01-01
okta-app-27,app_27,App 27,ACTIVE,SAML_2_0,2021-01-01
okta-app-28,app_28,App 28,ACTIVE,SAML_2_0,2021-01-01
okta-app-29,app_29,App 29,ACTIVE,SAML_2_0,2021-01-01
okta-app-30,app_30,App 30,ACTIVE,SAML_2_0,2021-01-01
okta-app-31,app_31,App 31,ACTIVE,SAML_2_0,2021-01-01
okta-app-32,app_32,App 32,ACTIVE,SAML_2_0,2021-01-01
okta-app-33,app_33,App 33,ACTIVE,SAML_2_0,2021-01-01
okta-app-34,app_34,App 34,ACTIVE,SAML_2_0,2021-01-01
okta-app-35,app_35,App 35,ACTIVE,SAML_2_0,2021-01-01
okta-app-36,app_36,App 36,ACTIVE,SAML_2_0,2021-01-01
okta-app-37,app_37,App 37,ACTIVE,SAML_2_0,2021-01-01
okta-app-38,app_38,App 38,ACTIVE,SAML_2_0,2021-01-01
okta-app-gen-40,app_generic_40,Generic App 40,ACTIVE,SECURE_PASSWORD_STORE,2025-01-15T00:00:00Z
okta-app-gen-41,app_generic_41,Generic App 41,ACTIVE,AUTO_LOGIN,2025-01-15T00:00:00Z
okta-app-gen-42,app_generic_42,Generic App 42,ACTIVE,SECURE_PASSWORD_STORE,2025-01-15T00:00:00Z
okta-app-gen-43,app_generic_43,Generic App 43,ACTIVE,SECURE_PASSWORD_STORE,2025-01-15T00:00:00Z
okta-app-gen-44,app_generic_44,Generic App 44,ACTIVE,SECURE_PASSWORD_STORE,2025-01-15T00:00:00Z
okta-app-gen-45,app_generic_45,Generic App 45,ACTIVE,OPENID_CONNECT,2025-01-15T00:00:00Z
okta-app-gen-46,app_generic_46,Generic App 46,ACTIVE,AUTO_LOGIN,2025-01-15T00:00:00Z
okta-app-gen-47,app_generic_47,Generic App 47,ACTIVE,AUTO_LOGIN,2025-01-15T00:00:00Z
okta-app-gen-48,app_generic_48,Generic App 48,ACTIVE,OPENID_CONNECT,2025-01-15T00:00:00Z
okta-app-gen-49,app_generic_49,Generic App 49,ACTIVE,OPENID_CONNECT,2025-01-15T00:00:00Z
