Game_No	Date	Opponent	Result	Team_Score	Opp_Score	DR_Points	DR_Rebounds	DR_Assists	Minutes
1	2025-10-09	Dorchester Heat	W	58	52	11	6	4	28
2	2025-10-16	Ashmont Athletics	L	49	61	8	5	3	26
3	2025-10-23	Southie Saints	W	64	55	14	8	5	30
4	2025-10-30	Roxbury Rovers	W	60	57	9	7	6	27
5	2025-11-06	JP Jumpers	L	53	59	12	4	2	29
6	2025-11-13	Quincy Quakers	W	67	50	15	9	4	31
7	2025-11-20	Dorchester Heat	W	61	54	10	6	7	28
8	2025-12-04	Ashmont Athletics	W	55	48	13	5	3	26
9	2025-12-11	Southie Saints	L	50	56	7	8	5	30
10	2026-01-08	Roxbury Rovers	W	62	59	12	7	6	29
11	2026-01-15	JP Jumpers	W	58	51	9	6	4	27
12	2026-01-22	Quincy Quakers	L	54	60	11	5	3	28
13	2026-02-05	Dorchester Heat	W	65	57	14	9	5	31
