id,name,color,description,teamId,createdAt,updatedAt
lbl-0,bug,#dd2b69,bug label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-1,feature,#ee933d,feature label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-2,mentor-match,#2a9f51,mentor-match label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-3,reporting,#4f7511,reporting label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-4,onboarding,#4f70ca,onboarding label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-5,accessibility,#cf8df4,accessibility label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-6,data,#ffd56f,data label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-7,ui,#8fb057,ui label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-8,content,#7e95d5,content label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-9,urgent,#75e1e6,urgent label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-10,backend-10,#a4f51d,backend label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-11,frontend-11,#cc8ccd,frontend label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-12,docs-12,#a5a13d,docs label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-13,research-13,#595d23,research label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-14,cleanup-14,#c14d5d,cleanup label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-15,bug-15,#f97d30,bug label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-16,feature-16,#a0717f,feature label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-17,mentor-match-17,#ff4a98,mentor-match label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-18,reporting-18,#6962c0,reporting label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-19,onboarding-19,#eb4bb0,onboarding label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-20,accessibility-20,#f331e9,accessibility label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-21,data-21,#1fb939,data label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-22,ui-22,#2c05d2,ui label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-23,content-23,#431da5,content label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-24,urgent-24,#819635,urgent label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-25,backend-25,#b3740c,backend label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-26,frontend-26,#b2f555,frontend label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-27,docs-27,#4887b2,docs label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-28,research-28,#0e19d6,research label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-29,cleanup-29,#57fc7d,cleanup label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-30,bug-30,#d4f6c3,bug label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-31,feature-31,#af013a,feature label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-32,mentor-match-32,#5cb941,mentor-match label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-33,reporting-33,#4ff0b2,reporting label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-34,onboarding-34,#187568,onboarding label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-35,accessibility-35,#c0f279,accessibility label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-36,data-36,#2b1956,data label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-37,ui-37,#dfe267,ui label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-38,content-38,#28d7d9,content label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-39,urgent-39,#3e687d,urgent label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-40,backend-40,#243245,backend label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-41,frontend-41,#553375,frontend label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-42,docs-42,#9b979c,docs label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-43,research-43,#0c0b59,research label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-44,cleanup-44,#439805,cleanup label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-45,bug-45,#5bf9a0,bug label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-46,feature-46,#f6a491,feature label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-47,mentor-match-47,#9514e0,mentor-match label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-48,reporting-48,#8e8e3b,reporting label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-49,onboarding-49,#df5ea0,onboarding label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-50,accessibility-50,#870eef,accessibility label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
