id,name,number,teamId,startsAt,endsAt,completedAt,createdAt,updatedAt
cyc-0,Cycle 1,1,team-transition,2026-09-01T00:00:00.000Z,2026-09-22T00:00:00.000Z,2026-09-22T00:00:00.000Z,2026-09-01T00:00:00.000Z,2026-09-01T00:00:00.000Z
cyc-1,Cycle 2,2,team-transition,2026-09-22T00:00:00.000Z,2026-10-13T00:00:00.000Z,2026-10-13T00:00:00.000Z,2026-09-22T00:00:00.000Z,2026-09-22T00:00:00.000Z
cyc-2,Cycle 3,3,team-transition,2026-10-13T00:00:00.000Z,2026-11-03T00:00:00.000Z,2026-11-03T00:00:00.000Z,2026-10-13T00:00:00.000Z,2026-10-13T00:00:00.000Z
cyc-3,Cycle 4,4,team-transition,2026-11-03T00:00:00.000Z,2026-11-24T00:00:00.000Z,2026-11-24T00:00:00.000Z,2026-11-03T00:00:00.000Z,2026-11-03T00:00:00.000Z
cyc-4,Cycle 5,5,team-transition,2026-11-24T00:00:00.000Z,2026-12-15T00:00:00.000Z,,2026-11-24T00:00:00.000Z,2026-11-24T00:00:00.000Z
cyc-5,Cycle 6,6,team-transition,2026-12-15T00:00:00.000Z,2027-01-05T00:00:00.000Z,,2026-12-15T00:00:00.000Z,2026-12-15T00:00:00.000Z
cyc-ext-6,Cycle 13,13,team-transition,2027-05-07T00:00:00.000Z,2027-05-27T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-7,Cycle 14,14,team-transition,2027-05-28T00:00:00.000Z,2027-06-17T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-8,Cycle 15,15,team-transition,2027-06-18T00:00:00.000Z,2027-07-08T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-9,Cycle 16,16,team-transition,2027-07-09T00:00:00.000Z,2027-07-29T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-10,Cycle 17,17,team-transition,2027-07-30T00:00:00.000Z,2027-08-19T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-11,Cycle 18,18,team-transition,2027-08-20T00:00:00.000Z,2027-09-09T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-12,Cycle 19,19,team-transition,2027-09-10T00:00:00.000Z,2027-09-30T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-13,Cycle 20,20,team-transition,2027-10-01T00:00:00.000Z,2027-10-21T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-14,Cycle 21,21,team-transition,2027-10-22T00:00:00.000Z,2027-11-11T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
